Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,22.070,TEN,@,CLE,W 43-13,True,4,3,100,33.33,0,75.0%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,42%,0,0%,0,0%,True,A.J. Brown
2019,2019-09-15,2,2,22.077,TEN,,IND,L 17-19,True,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,46%,0,0%,0,0%,False,A.J. Brown
2019,2019-09-19,3,3,22.081,TEN,@,JAX,L 7-20,True,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,49%,0,0%,0,0%,True,A.J. Brown
2019,2019-09-29,4,4,22.091,TEN,@,ATL,W 24-10,False,3,3,94,31.33,2,100.0%,31.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,26,42%,0,0%,0,0%,True,A.J. Brown
2019,2019-10-06,5,5,22.098,TEN,,BUF,L 7-14,True,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,64%,0,0%,0,0%,False,A.J. Brown
2019,2019-10-13,6,6,22.105,TEN,@,DEN,L 0-16,True,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,38,58%,0,0%,0,0%,True,A.J. Brown
2019,2019-10-20,7,7,22.112,TEN,,LAC,W 23-20,False,8,6,64,10.67,0,75.0%,8.00,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,63%,0,0%,0,0%,False,A.J. Brown
2019,2019-10-27,8,8,22.119,TEN,,TAM,W 27-23,False,3,2,11,5.50,1,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,False,A.J. Brown
2019,2019-11-03,9,9,22.126,TEN,@,CAR,L 20-30,False,7,4,81,20.25,0,57.1%,11.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,0,0%,True,A.J. Brown
2019,2019-11-10,10,10,22.133,TEN,,KAN,W 35-32,True,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,94%,0,0%,0,0%,False,A.J. Brown
2019,2019-11-24,11,12,22.147,TEN,,JAX,W 42-20,False,5,4,135,33.75,1,80.0%,27.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,70%,0,0%,0,0%,False,A.J. Brown
2019,2019-12-01,12,13,22.154,TEN,@,IND,W 31-17,True,4,3,45,15.00,0,75.0%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,True,A.J. Brown
2019,2019-12-08,13,14,22.161,TEN,@,OAK,W 42-21,True,7,5,153,30.60,2,71.4%,21.86,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,51,84%,0,0%,0,0%,True,A.J. Brown
2019,2019-12-15,14,15,22.168,TEN,,HOU,L 21-24,True,13,8,114,14.25,1,61.5%,8.77,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,False,A.J. Brown
2019,2019-12-22,15,16,22.175,TEN,,NOR,L 28-38,True,2,1,34,34.00,0,50.0%,17.00,1,49,49.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,A.J. Brown
2019,2019-12-29,16,17,22.182,TEN,@,HOU,W 35-14,True,8,4,124,31.00,1,50.0%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,79%,0,0%,0,0%,True,A.J. Brown
2020,2020-09-14,1,1,23.076,TEN,@,DEN,W 16-14,True,8,5,39,7.80,0,62.5%,4.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,81%,0,0%,0,0%,True,A.J. Brown
2020,2020-09-20,2,2,,TEN,,JAX,W 33-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,A.J. Brown
2020,2020-09-27,3,3,,TEN,@,MIN,W 31-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,A.J. Brown
2020,2020-10-13,4,5,23.105,TEN,,BUF,W 42-16,False,9,7,82,11.71,1,77.8%,9.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,71%,0,0%,0,0%,False,A.J. Brown
