Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,24.029,JAX,TEN,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,5,211,42.20,0,,,,,,,False,False,10,13,Adam Podlesh
2007,2007-09-16,2,2,24.036,JAX,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,4,134,33.50,0,,,,,,,False,True,13,7,Adam Podlesh
2007,2007-09-23,3,3,24.043,JAX,DEN,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,2,80,40.00,0,,,,,,,True,True,23,14,Adam Podlesh
2007,2007-10-07,4,5,24.057,JAX,KAN,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,180,45.00,0,,,,,,,True,True,17,7,Adam Podlesh
2007,2007-10-14,5,6,24.064,JAX,HOU,False,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,True,37,17,Adam Podlesh
2007,2007-10-22,6,7,24.072,JAX,IND,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,1,47,47.00,0,,,,,,,False,False,7,29,Adam Podlesh
2007,2007-10-28,7,8,24.078,JAX,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,8,364,45.50,0,,,,,,,True,True,24,23,Adam Podlesh
2007,2007-11-04,8,9,24.085,JAX,NOR,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,5,193,38.60,0,,,,,,,True,False,24,41,Adam Podlesh
2007,2007-11-11,9,10,24.092,JAX,TEN,False,2,-2,-1.00,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,1,0,0,0,-12,0,5,215,43.00,0,,,,,,,True,True,28,13,Adam Podlesh
2007,2007-11-18,10,11,24.099,JAX,SDG,False,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,,,,0,0,0,0,0,0,5,203,40.60,0,,,,,,,False,True,24,17,Adam Podlesh
