Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,23.133,HOU,,WAS,W 17-6,False,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,17,77%,False,Alfred Blue
2014,2014-09-14,2,2,23.140,HOU,@,OAK,W 30-14,False,11,40,3.64,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,16,64%,True,Alfred Blue
2014,2014-09-21,3,3,23.147,HOU,@,NYG,L 17-30,True,13,78,6.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,51%,0,0%,8,26%,True,Alfred Blue
2014,2014-09-28,4,4,23.154,HOU,,BUF,W 23-17,False,9,9,1.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,47%,0,0%,12,36%,False,Alfred Blue
2014,2014-10-05,5,5,23.161,HOU,@,DAL,L 17-20,False,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,11,19%,0,0%,12,43%,True,Alfred Blue
2014,2014-10-09,6,6,23.165,HOU,,IND,L 28-33,False,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,13%,0,0%,19,61%,False,Alfred Blue
2014,2014-10-20,7,7,23.176,HOU,@,PIT,L 23-30,False,5,14,2.80,0,1,1,11,11.00,1,100.0%,11.00,0,0,,0,1,6,0.0,0,1,1,0,0,0,0,0,0,0,0,7,11%,0,0%,19,59%,True,Alfred Blue
2014,2014-10-26,8,8,23.182,HOU,@,TEN,W 30-16,False,14,42,3.00,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,29%,0,0%,22,71%,True,Alfred Blue
2014,2014-11-02,9,9,23.189,HOU,,PHI,L 21-31,False,7,13,1.86,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,22%,0,0%,16,59%,False,Alfred Blue
2014,2014-11-16,10,11,23.203,HOU,@,CLE,W 23-7,True,36,156,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,58,67%,0,0%,7,24%,True,Alfred Blue
