Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-11,1,1,22.048,NOR,@,MIN,L 19-29,False,7,18,2.57,0,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,1,26,26.00,0,0,0,,0,,0,0,0,0,0,0,0,0,31,50%,0,0%,8,28%,True,Alvin Kamara
2017,2017-09-17,2,2,22.054,NOR,,NWE,L 20-36,False,1,3,3.00,0,7,3,51,17.00,0,42.9%,7.29,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,,0,0,0,0,0,0,0,0,17,26%,0,0%,8,26%,False,Alvin Kamara
2017,2017-09-24,3,3,22.061,NOR,@,CAR,W 34-13,False,2,37,18.50,1,5,3,5,1.67,0,60.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,17,29%,0,0%,4,15%,True,Alvin Kamara
2017,2017-10-01,4,4,22.068,NOR,@,MIA,W 20-0,False,5,25,5.00,0,10,10,71,7.10,1,100.0%,7.10,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,,1,6,0,0,0,0,0,0,26,35%,0,0%,1,5%,True,Alvin Kamara
2017,2017-10-15,5,6,22.082,NOR,,DET,W 52-38,True,10,75,7.50,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,44%,0,0%,7,15%,False,Alvin Kamara
2017,2017-10-22,6,7,22.089,NOR,@,GNB,W 26-17,False,9,57,6.33,0,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,49%,0,0%,0,0%,True,Alvin Kamara
2017,2017-10-29,7,8,22.096,NOR,,CHI,W 20-12,False,8,28,3.50,1,3,3,48,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,31,51%,0,0%,1,4%,False,Alvin Kamara
2017,2017-11-05,8,9,22.103,NOR,,TAM,W 30-10,False,10,68,6.80,1,7,6,84,14.00,1,85.7%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,1,1,0,0,0,0,26,43%,0,0%,1,4%,False,Alvin Kamara
2017,2017-11-12,9,10,22.110,NOR,@,BUF,W 47-10,False,12,106,8.83,1,5,5,32,6.40,0,100.0%,6.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,29,38%,0,0%,1,4%,True,Alvin Kamara
2017,2017-11-19,10,11,22.117,NOR,,WAS,W 34-31,False,8,42,5.25,0,9,6,74,12.33,1,66.7%,8.22,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0,0,0,0,0,0,46,65%,0,0%,0,0%,False,Alvin Kamara
2017,2017-11-26,11,12,22.124,NOR,@,LAR,L 20-26,True,5,87,17.40,1,6,6,101,16.83,1,100.0%,16.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,32,56%,0,0%,1,3%,True,Alvin Kamara
2017,2017-12-03,12,13,22.131,NOR,,CAR,W 31-21,True,9,60,6.67,2,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,37,58%,0,0%,1,3%,False,Alvin Kamara
