Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-09-07,1,1,22.058,HOU,MIA,True,9,6,76,12.67,0,66.7%,8.44,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,21,20,Andre Johnson
2003,2003-09-14,2,2,22.065,HOU,NOR,True,10,5,71,14.20,0,50.0%,7.10,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,31,Andre Johnson
2003,2003-09-21,3,3,22.072,HOU,KAN,True,11,7,102,14.57,2,63.6%,9.27,0,0,,0,,2,12,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,False,14,42,Andre Johnson
2003,2003-09-28,4,4,22.079,HOU,JAX,True,11,8,97,12.13,0,72.7%,8.82,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,20,Andre Johnson
2003,2003-10-12,5,6,22.093,HOU,TEN,True,4,2,49,24.50,0,50.0%,12.25,0,0,,0,,0,0,0.0,0,1,1,0,,0,,0,0,0,0,,,,,,,True,False,17,38,Andre Johnson
2003,2003-10-19,6,7,22.100,HOU,NYJ,True,6,3,71,23.67,0,50.0%,11.83,1,10,10.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,19,Andre Johnson
2003,2003-10-26,7,8,22.107,HOU,IND,True,5,4,29,7.25,0,80.0%,5.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,21,30,Andre Johnson
2003,2003-11-02,8,9,22.114,HOU,CAR,True,5,4,64,16.00,0,80.0%,12.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,14,10,Andre Johnson
2003,2003-11-09,9,10,22.121,HOU,CIN,True,5,3,30,10.00,0,60.0%,6.00,1,11,11.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,27,34,Andre Johnson
2003,2003-11-16,10,11,22.128,HOU,BUF,True,7,4,122,30.50,1,57.1%,17.43,1,-34,-34.00,0,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,True,12,10,Andre Johnson
