Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,22.245,MIA,WAS,W 17-10,False,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0,0,0,,,0.0,0%,0.0,0%,7.0,35%,True,Andrew Franks,True,17,10
2015.0,2015-09-20,2.0,2.0,22.252,MIA,JAX,L 20-23,False,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0,0,0,,,0.0,0%,0.0,0%,10.0,29%,True,Andrew Franks,False,20,23
2015.0,2015-09-27,3.0,3.0,22.259,MIA,BUF,L 14-41,False,,1.0,0.0,,,,0,0,0.0,0,0,0,,,0.0,0%,0.0,0%,4.0,14%,False,Andrew Franks,False,14,41
2015.0,2015-10-04,4.0,4.0,22.266,MIA,NYJ,L 14-27,False,2.0,2.0,100.0,,,,0,2,0.0,0,0,0,,,0.0,0%,0.0,0%,5.0,17%,False,Andrew Franks,False,14,27
2015.0,2015-10-18,5.0,6.0,22.28,MIA,TEN,W 38-10,False,5.0,5.0,100.0,1.0,1.0,100.0,0,8,0.0,0,0,0,,,0.0,0%,0.0,0%,13.0,54%,True,Andrew Franks,True,38,10
2015.0,2015-10-25,6.0,7.0,22.287,MIA,HOU,W 44-26,False,5.0,6.0,83.3,1.0,1.0,100.0,0,8,0.0,0,0,0,,,0.0,0%,0.0,0%,15.0,41%,False,Andrew Franks,True,44,26
2015.0,2015-10-29,7.0,8.0,22.291,MIA,NWE,L 7-36,False,1.0,1.0,100.0,,1.0,0.0,0,1,0.0,0,0,0,,,0.0,0%,0.0,0%,4.0,13%,True,Andrew Franks,False,7,36
2015.0,2015-11-08,8.0,9.0,22.301,MIA,BUF,L 17-33,False,2.0,2.0,100.0,1.0,1.0,100.0,0,5,0.0,0,0,0,,,0.0,0%,0.0,0%,7.0,28%,True,Andrew Franks,False,17,33
2015.0,2015-11-15,9.0,10.0,22.308,MIA,PHI,W 20-19,False,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0,0,0,,,0.0,0%,0.0,0%,9.0,27%,True,Andrew Franks,True,20,19
2015.0,2015-11-22,10.0,11.0,22.315,MIA,DAL,L 14-24,False,2.0,2.0,100.0,,,,0,2,0.0,0,0,0,,,0.0,0%,0.0,0%,5.0,21%,False,Andrew Franks,False,14,24
2015.0,2015-11-29,11.0,12.0,22.322,MIA,NYJ,L 20-38,False,2.0,3.0,66.7,,,,0,2,0.0,0,0,0,,,0.0,0%,0.0,0%,7.0,21%,True,Andrew Franks,False,20,38
2015.0,2015-12-06,12.0,13.0,22.329,MIA,BAL,W 15-13,False,1.0,1.0,100.0,,,,0,1,0.0,0,0,0,,,0.0,0%,0.0,0%,6.0,21%,False,Andrew Franks,True,15,13
2015.0,2015-12-14,13.0,14.0,22.337,MIA,NYG,L 24-31,False,3.0,3.0,100.0,1.0,1.0,100.0,0,6,0.0,0,0,0,,,0.0,0%,0.0,0%,9.0,28%,False,Andrew Franks,False,24,31
2015.0,2015-12-20,14.0,15.0,22.343,MIA,SDG,L 14-30,False,2.0,2.0,100.0,,,,0,2,0.0,0,0,0,,,0.0,0%,0.0,0%,5.0,17%,True,Andrew Franks,False,14,30
2015.0,2015-12-27,15.0,16.0,22.35,MIA,IND,L 12-18,False,,,,2.0,2.0,100.0,0,6,0.0,0,0,0,,,0.0,0%,0.0,0%,6.0,26%,False,Andrew Franks,False,12,18
2015.0,2016-01-03,16.0,17.0,22.357,MIA,NWE,W 20-10,False,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0,0,0,,,0.0,0%,0.0,0%,10.0,33%,False,Andrew Franks,True,20,10
2016.0,2016-09-11,1.0,1.0,23.244,MIA,SEA,L 10-12,False,1.0,1.0,100.0,1.0,2.0,50.0,0,4,0.0,0,0,0,,,0.0,0%,0.0,0%,6.0,24%,True,Andrew Franks,False,10,12
