Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,27.167,WAS,DAL,False,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,13,7,Anthony Armstrong
2010,2010-09-19,2,2,27.174,WAS,HOU,False,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,27,30,Anthony Armstrong
2010,2010-09-26,3,3,,WAS,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,30,Anthony Armstrong
2010,2010-10-03,4,4,27.188,WAS,PHI,False,3,1,57,57.00,0,33.3%,19.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,17,12,Anthony Armstrong
2010,2010-10-10,5,5,27.195,WAS,GNB,True,7,3,84,28.00,1,42.9%,12.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,16,13,Anthony Armstrong
2010,2010-10-17,6,6,27.202,WAS,IND,True,7,5,46,9.20,0,71.4%,6.57,0,0,,0,0,0,,0,0,0,0.0,1,2,3,0,0,0,,0,0,0,0,,,,,,,False,False,24,27,Anthony Armstrong
2010,2010-10-24,7,7,27.209,WAS,CHI,True,4,2,42,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,True,17,14,Anthony Armstrong
2010,2010-10-31,8,8,27.216,WAS,DET,True,6,3,92,30.67,0,50.0%,15.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,25,37,Anthony Armstrong
2010,2010-11-15,9,10,27.231,WAS,PHI,True,5,3,83,27.67,0,60.0%,16.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,28,59,Anthony Armstrong
2010,2010-11-21,10,11,27.237,WAS,TEN,True,7,3,41,13.67,0,42.9%,5.86,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,19,16,Anthony Armstrong
2010,2010-11-28,11,12,27.244,WAS,MIN,True,7,2,53,26.50,0,28.6%,7.57,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,17,Anthony Armstrong
2010,2010-12-05,12,13,27.251,WAS,NYG,False,10,6,97,16.17,1,60.0%,9.70,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,False,7,31,Anthony Armstrong
2010,2010-12-12,13,14,27.258,WAS,TAM,True,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,16,17,Anthony Armstrong
2010,2010-12-19,14,15,27.265,WAS,DAL,True,6,5,100,20.00,0,83.3%,16.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,30,33,Anthony Armstrong
2010,2010-12-26,15,16,27.272,WAS,JAX,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,True,20,17,Anthony Armstrong
