Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,,PIT,ATL,W 15-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Antonio Brown,True,15,9
2010.0,2010-09-19,2.0,2.0,22.071,PIT,TEN,W 19-11,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,107,53.50,1,1,21,21.00,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,19,11
2010.0,2010-09-26,3.0,3.0,22.078,PIT,TAM,W 38-13,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,67,22.33,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,38,13
2010.0,2010-10-03,4.0,4.0,22.085,PIT,BAL,L 14-17,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,2,45,22.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,False,14,17
2010.0,2010-10-17,5.0,6.0,,PIT,CLE,W 28-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Antonio Brown,True,28,10
2010.0,2010-10-24,6.0,7.0,,PIT,MIA,W 23-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Antonio Brown,True,23,22
2010.0,2010-10-31,7.0,8.0,,PIT,NOR,L 10-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Antonio Brown,False,10,20
2010.0,2010-11-08,8.0,9.0,,PIT,CIN,W 27-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Antonio Brown,True,27,21
2010.0,2010-11-14,9.0,10.0,,PIT,NWE,L 26-39,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Antonio Brown,False,26,39
2010.0,2010-11-21,10.0,11.0,22.134,PIT,OAK,W 35-3,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,66,9.43,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,35,3
2010.0,2010-11-28,11.0,12.0,,PIT,BUF,W 19-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Antonio Brown,True,19,16
2010.0,2010-12-05,12.0,13.0,22.148,PIT,BAL,W 13-10,False,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,13,10
2010.0,2010-12-12,13.0,14.0,22.155,PIT,CIN,W 23-7,False,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,,,,,2,40,20.00,0,2,1,0.50,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Antonio Brown,True,23,7
2010.0,2010-12-19,14.0,15.0,22.162,PIT,NYJ,L 17-22,False,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,,,,,4,57,14.25,0,1,4,4.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Antonio Brown,False,17,22
2010.0,2010-12-23,15.0,16.0,22.166,PIT,CAR,W 27-3,False,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,2,45,22.50,0,4,3,0.75,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,27,3
2010.0,2011-01-02,16.0,17.0,22.176,PIT,CLE,W 41-9,False,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,2,36,18.00,0,2,4,2.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,41,9
2011.0,2011-09-11,1.0,1.0,23.063,PIT,BAL,L 7-35,False,9,2,14,7.00,0,22.2%,1.56,0,0,,0,0,0,,0,0,0,,0,0,,,3,103,34.33,0,2,7,3.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,False,7,35
2011.0,2011-09-18,2.0,2.0,23.07,PIT,SEA,W 24-0,False,6,4,67,16.75,0,66.7%,11.17,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,4,56,14.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,24,0
2011.0,2011-09-25,3.0,3.0,23.077,PIT,IND,W 23-20,False,8,4,75,18.75,0,50.0%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,65,16.25,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,23,20
2011.0,2011-10-02,4.0,4.0,23.084,PIT,HOU,L 10-17,False,10,5,67,13.40,0,50.0%,6.70,1,8,8.00,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,1,33,33.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Antonio Brown,False,10,17
2011.0,2011-10-09,5.0,5.0,23.091,PIT,TEN,W 38-17,False,4,2,23,11.50,0,50.0%,5.75,1,10,10.00,0,0,0,,0,0,0,,0,0,,,2,83,41.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,38,17
2011.0,2011-10-16,6.0,6.0,23.098,PIT,JAX,W 17-13,False,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,34,34.00,0,4,9,2.25,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,17,13
2011.0,2011-10-23,7.0,7.0,23.105,PIT,ARI,W 32-20,False,9,7,102,14.57,0,77.8%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,3,66,22.00,0,2,47,23.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,32,20
2011.0,2011-10-30,8.0,8.0,23.112,PIT,NWE,W 25-17,False,15,9,67,7.44,1,60.0%,4.47,0,0,,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,2,12,6.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,25,17
2011.0,2011-11-06,9.0,9.0,23.119,PIT,BAL,L 20-23,False,11,5,109,21.80,0,45.5%,9.91,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,2,21,10.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,False,20,23
2011.0,2011-11-13,10.0,10.0,23.126,PIT,CIN,W 24-17,True,6,5,86,17.20,0,83.3%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,3,15,5.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,24,17
2011.0,2011-11-27,11.0,12.0,23.14,PIT,KAN,W 13-9,False,6,4,81,20.25,0,66.7%,13.50,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,13,9
2011.0,2011-12-04,12.0,13.0,23.147,PIT,CIN,W 35-7,False,4,2,67,33.50,0,50.0%,16.75,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,65,21.67,1,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,35,7
2011.0,2011-12-08,13.0,14.0,23.151,PIT,CLE,W 14-3,True,8,5,151,30.20,1,62.5%,18.88,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,14,3
2011.0,2011-12-19,14.0,15.0,23.162,PIT,SFO,L 3-20,True,10,5,59,11.80,0,50.0%,5.90,0,0,,0,0,0,,0,0,0,,0,0,,,3,85,28.33,0,2,-10,-5.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,False,3,20
2011.0,2011-12-24,15.0,16.0,23.167,PIT,STL,W 27-0,False,6,3,34,11.33,0,50.0%,5.67,1,8,8.00,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,1,5,5.00,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Antonio Brown,True,27,0
2011.0,2012-01-01,16.0,17.0,23.175,PIT,CLE,W 13-9,False,10,6,90,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Antonio Brown,True,13,9
2012.0,2012-09-09,1.0,1.0,24.061,PIT,DEN,L 19-31,True,8,4,74,18.50,0,50.0%,9.25,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,89%,0,0%,2,9%,True,Antonio Brown,False,19,31
2012.0,2012-09-16,2.0,2.0,24.068,PIT,NYJ,W 27-10,True,10,7,79,11.29,0,70.0%,7.90,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,61%,0,0%,5,19%,False,Antonio Brown,True,27,10
2012.0,2012-09-23,3.0,3.0,24.075,PIT,OAK,L 31-34,False,11,7,87,12.43,1,63.6%,7.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,22,11.00,0,,1,6,0.0,0,0,0,0,0,2,1,0,1,0,0,63,86%,0,0%,3,11%,True,Antonio Brown,False,31,34
2012.0,2012-10-07,4.0,5.0,24.089,PIT,PHI,W 16-14,True,10,7,86,12.29,0,70.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,4,17%,False,Antonio Brown,True,16,14
2012.0,2012-10-11,5.0,6.0,24.093,PIT,TEN,L 23-26,True,10,4,20,5.00,0,40.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,78%,0,0%,3,9%,True,Antonio Brown,False,23,26
2012.0,2012-10-21,6.0,7.0,24.103,PIT,CIN,W 24-17,True,8,7,96,13.71,0,87.5%,12.00,2,13,6.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,3,10,3.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,78%,0,0%,7,27%,True,Antonio Brown,True,24,17
2012.0,2012-10-28,7.0,8.0,24.11,PIT,WAS,W 27-12,True,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,69%,0,0%,4,16%,False,Antonio Brown,True,27,12
2012.0,2012-11-04,8.0,9.0,24.117,PIT,NYG,W 24-20,False,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,2,7%,True,Antonio Brown,True,24,20
