Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-11,1,1,22.117,LAC,@,DEN,L 21-24,False,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,5%,0,0%,17,65%,True,Austin Ekeler
2017,2017-09-17,2,2,22.123,LAC,,MIA,L 17-19,False,0,0,,0,0,0,0,,0,0.0%,,3,49,16.33,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,63%,False,Austin Ekeler
2017,2017-09-24,3,3,22.130,LAC,,KAN,L 10-24,False,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,19,73%,False,Austin Ekeler
2017,2017-10-01,4,4,22.137,LAC,,PHI,L 24-26,False,1,35,35.00,1,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,1,6,0.0,1,1,2,0,0,0,0,0,0,0,0,3,5%,0,0%,17,63%,False,Austin Ekeler
2017,2017-10-08,5,5,22.144,LAC,@,NYG,W 27-22,False,4,0,0.00,0,6,3,28,9.33,0,50.0%,4.67,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,12,15%,0,0%,16,50%,True,Austin Ekeler
2017,2017-10-15,6,6,22.151,LAC,@,OAK,W 17-16,False,1,1,1.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,7,11%,0,0%,11,50%,True,Austin Ekeler
2017,2017-10-22,7,7,22.158,LAC,,DEN,W 21-0,False,7,38,5.43,0,4,4,6,1.50,1,100.0%,1.50,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,18,31%,0,0%,13,54%,False,Austin Ekeler
2017,2017-10-29,8,8,22.165,LAC,@,NWE,L 13-21,False,2,8,4.00,0,1,1,13,13.00,0,100.0%,13.00,2,36,18.00,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,30%,0,0%,14,50%,True,Austin Ekeler
2017,2017-11-12,9,10,22.179,LAC,@,JAX,L 17-20,False,10,42,4.20,0,5,5,77,15.40,2,100.0%,15.40,0,0,,0,,2,12,0.0,3,0,3,0,0,1,1,0,0,0,0,23,33%,0,0%,16,44%,True,Austin Ekeler
2017,2017-11-19,10,11,22.186,LAC,,BUF,W 54-24,False,6,40,6.67,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,43%,0,0%,14,40%,False,Austin Ekeler
