Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,21.318,ATL,TAM,L 24-31,False,1,1,14,14.00,0,100.0%,14.00,,0,0,0.0,0,0,0,,,9,14%,0,0%,22,71%,False,Austin Hooper,False,24,31
2016.0,2016-09-18,2.0,2.0,21.325,ATL,OAK,W 35-28,False,3,3,84,28.00,0,100.0%,28.00,,0,0,0.0,0,0,0,,,20,31%,0,0%,19,63%,True,Austin Hooper,True,35,28
2016.0,2016-09-26,3.0,3.0,21.333,ATL,NOR,W 45-32,False,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,14,22%,0,0%,18,62%,True,Austin Hooper,True,45,32
2016.0,2016-10-02,4.0,4.0,21.339,ATL,CAR,W 48-33,False,1,1,42,42.00,1,100.0%,42.00,,1,6,0.0,0,0,0,,,19,28%,0,0%,24,69%,False,Austin Hooper,True,48,33
2016.0,2016-10-09,5.0,5.0,21.346,ATL,DEN,W 23-16,False,1,1,14,14.00,0,100.0%,14.00,,0,0,0.0,0,0,0,,,18,27%,0,0%,21,70%,True,Austin Hooper,True,23,16
2016.0,2016-10-16,6.0,6.0,21.353,ATL,SEA,L 24-26,False,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,12,18%,0,0%,20,67%,True,Austin Hooper,False,24,26
2016.0,2016-10-23,7.0,7.0,21.36,ATL,SDG,L 30-33,False,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,15,23%,0,0%,17,52%,False,Austin Hooper,False,30,33
2016.0,2016-10-30,8.0,8.0,22.001,ATL,GNB,W 33-32,True,5,5,41,8.20,0,100.0%,8.20,,0,0,0.0,0,0,0,,,46,73%,0,0%,12,46%,False,Austin Hooper,True,33,32
2016.0,2016-11-03,9.0,9.0,22.005,ATL,TAM,W 43-28,False,6,3,46,15.33,1,50.0%,7.67,,1,6,0.0,0,0,0,,,55,75%,0,0%,5,19%,True,Austin Hooper,True,43,28
2016.0,2016-11-13,10.0,10.0,22.015,ATL,PHI,L 15-24,False,3,1,8,8.00,0,33.3%,2.67,,0,0,0.0,0,0,0,,,36,72%,0,0%,6,21%,True,Austin Hooper,False,15,24
2016.0,2016-11-27,11.0,12.0,22.029,ATL,ARI,W 38-19,False,2,2,8,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,,,33,47%,0,0%,4,15%,False,Austin Hooper,True,38,19
2016.0,2016-12-04,12.0,13.0,22.036,ATL,KAN,L 28-29,True,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,46,63%,0,0%,5,21%,False,Austin Hooper,False,28,29
2016.0,2016-12-11,13.0,14.0,22.043,ATL,LAR,W 42-14,True,3,1,5,5.00,0,33.3%,1.67,,0,0,0.0,0,0,0,,,42,72%,0,0%,3,9%,True,Austin Hooper,True,42,14
2016.0,2016-12-18,14.0,15.0,22.05,ATL,SFO,W 41-13,False,1,1,9,9.00,1,100.0%,9.00,,1,6,0.0,0,0,0,,,40,59%,0,0%,5,17%,False,Austin Hooper,True,41,13
2016.0,2016-12-24,15.0,16.0,,ATL,CAR,W 33-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Austin Hooper,True,33,16
2016.0,2017-01-01,16.0,17.0,,ATL,NOR,W 38-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Austin Hooper,True,38,32
2017.0,2017-09-10,1.0,1.0,22.316,ATL,CHI,W 23-17,True,2,2,128,64.00,1,100.0%,64.00,,1,6,0.0,0,0,0,,,47,80%,0,0%,5,19%,True,Austin Hooper,True,23,17
2017.0,2017-09-17,2.0,2.0,22.323,ATL,GNB,W 34-23,True,2,2,7,3.50,0,100.0%,3.50,,0,0,0.0,0,0,0,,,41,71%,0,0%,8,29%,False,Austin Hooper,True,34,23
2017.0,2017-09-24,3.0,3.0,22.33,ATL,DET,W 30-26,False,2,1,9,9.00,0,50.0%,4.50,,0,0,0.0,0,0,0,0,0,49,72%,0,0%,6,18%,True,Austin Hooper,True,30,26
