Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-09,1,1,22.245,MIN,,JAX,W 26-23,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,12,38%,False,Blair Walsh
2012,2012-09-16,2,2,22.252,MIN,@,IND,L 20-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,30%,True,Blair Walsh
2012,2012-09-23,3,3,22.259,MIN,,SFO,W 24-13,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,8,35%,False,Blair Walsh
2012,2012-09-30,4,4,22.266,MIN,@,DET,W 20-13,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,36%,True,Blair Walsh
2012,2012-10-07,5,5,22.273,MIN,,TEN,W 30-7,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,13,52%,False,Blair Walsh
2012,2012-10-14,6,6,22.280,MIN,@,WAS,L 26-38,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,11,38%,True,Blair Walsh
2012,2012-10-21,7,7,22.287,MIN,,ARI,W 21-14,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,27%,False,Blair Walsh
2012,2012-10-25,8,8,22.291,MIN,,TAM,L 17-36,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,21%,False,Blair Walsh
2012,2012-11-04,9,9,22.301,MIN,@,SEA,L 20-30,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,33%,True,Blair Walsh
2012,2012-11-11,10,10,22.308,MIN,,DET,W 34-24,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,14,41%,False,Blair Walsh
2012,2012-11-25,11,12,22.322,MIN,@,CHI,L 10-28,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,23%,True,Blair Walsh
2012,2012-12-02,12,13,22.329,MIN,@,GNB,L 14-23,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,6,21%,True,Blair Walsh
2012,2012-12-09,13,14,22.336,MIN,,CHI,W 21-14,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,28%,False,Blair Walsh
