Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,22.294,NYJ,BUF,L 17-27,False,0,0,,0,0.0,0,0,0,0,0,6,278,46.33,0,0,0%,0,0%,9,35%,True,Braden Mann,False,17,27
2020.0,2020-09-20,2.0,2.0,22.301,NYJ,SFO,L 13-31,False,0,0,,0,0.0,0,0,0,0,0,5,222,44.40,0,0,0%,0,0%,8,30%,False,Braden Mann,False,13,31
2020.0,2020-09-27,3.0,3.0,22.308,NYJ,IND,L 7-36,False,0,0,,0,0.0,0,0,0,0,0,5,210,42.00,0,0,0%,0,0%,7,26%,True,Braden Mann,False,7,36
2020.0,2020-10-01,4.0,4.0,22.312,NYJ,DEN,L 28-37,False,0,0,,0,0.0,1,0,1,0,0,3,146,48.67,0,0,0%,0,0%,10,29%,False,Braden Mann,False,28,37
2020.0,2020-10-11,5.0,5.0,22.322,NYJ,ARI,L 10-30,False,0,0,,0,0.0,0,0,0,0,0,6,279,46.50,0,0,0%,0,0%,8,32%,False,Braden Mann,False,10,30
2020.0,2020-10-18,6.0,6.0,22.329,NYJ,MIA,L 0-24,False,0,0,,0,0.0,1,0,1,0,0,10,462,46.20,0,0,0%,0,0%,11,38%,True,Braden Mann,False,0,24
2020.0,2020-10-25,7.0,7.0,22.336,NYJ,BUF,L 10-18,False,0,0,,0,0.0,0,0,0,0,0,4,168,42.00,0,0,0%,0,0%,9,39%,False,Braden Mann,False,10,18
2020.0,2020-11-01,8.0,8.0,22.343,NYJ,KAN,L 9-35,False,0,0,,0,0.0,1,0,1,0,0,5,227,45.40,0,0,0%,0,0%,13,45%,True,Braden Mann,False,9,35
2020.0,2020-11-09,9.0,9.0,22.351,NYJ,NWE,L 27-30,False,0,0,,0,0.0,0,0,0,0,0,2,83,41.50,0,0,0%,0,0%,13,48%,False,Braden Mann,False,27,30
2020.0,2020-11-22,10.0,11.0,22.364,NYJ,LAC,L 28-34,False,0,0,,0,0.0,0,0,0,0,0,4,164,41.00,0,0,0%,0,0%,13,43%,True,Braden Mann,False,28,34
2020.0,2020-11-29,11.0,12.0,23.005,NYJ,MIA,L 3-20,False,0,0,,0,0.0,0,0,0,0,0,6,286,47.67,0,0,0%,0,0%,10,44%,False,Braden Mann,False,3,20
2020.0,2020-12-06,12.0,13.0,23.012,NYJ,LVR,L 28-31,False,0,0,,0,0.0,0,0,0,0,0,4,182,45.50,0,0,0%,0,0%,12,46%,False,Braden Mann,False,28,31
2020.0,2020-12-13,13.0,14.0,23.019,NYJ,SEA,L 3-40,False,0,0,,0,0.0,0,0,0,0,0,5,197,39.40,0,0,0%,0,0%,11,39%,True,Braden Mann,False,3,40
2020.0,2020-12-20,14.0,15.0,23.026,NYJ,LAR,W 23-20,False,0,0,,0,0.0,1,0,1,0,0,5,247,49.40,0,0,0%,0,0%,10,34%,True,Braden Mann,True,23,20
2020.0,2020-12-27,15.0,16.0,23.033,NYJ,CLE,W 23-16,False,0,0,,0,0.0,0,0,0,0,0,7,260,37.14,0,0,0%,0,0%,14,41%,False,Braden Mann,True,23,16
2020.0,2021-01-03,16.0,17.0,23.04,NYJ,NWE,L 14-28,False,0,0,,0,0.0,0,0,0,0,0,5,187,37.40,0,0,0%,0,0%,7,27%,True,Braden Mann,False,14,28
2021.0,2021-09-12,1.0,1.0,23.292,NYJ,CAR,L 14-19,False,0,0,,0,0.0,0,0,0,0,0,1,56,56.00,0,0,0%,0,0%,2,7%,True,Braden Mann,False,14,19
2021.0,2021-09-19,2.0,2.0,,NYJ,NWE,L 6-25,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Braden Mann,False,6,25
