Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,20.347,NOR,ATL,L 34-37,False,8,7,77,11.00,1,87.5%,9.63,1,18,18.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,52,69%,0,0%,3,10%,True,Brandin Cooks,False,34,37
2014.0,2014-09-14,2.0,2.0,20.354,NOR,CLE,L 24-26,True,6,3,17,5.67,0,50.0%,2.83,2,31,15.50,0,0,0,,0,1,-2,-2.00,0,,0,0,0,0,0,0,0,0,54,78%,0,0%,3,10%,True,Brandin Cooks,False,24,26
2014.0,2014-09-21,3.0,3.0,20.361,NOR,MIN,W 20-9,True,10,8,74,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,1,-3,-3.00,0,,0,0,0,0,0,0,0,0,50,70%,0,0%,2,9%,False,Brandin Cooks,True,20,9
2014.0,2014-09-28,4.0,4.0,21.003,NOR,DAL,L 17-38,True,6,5,31,6.20,0,83.3%,5.17,0,0,,0,0,0,,0,2,15,7.50,0,,0,0,0,0,0,0,0,0,50,82%,0,0%,3,11%,True,Brandin Cooks,False,17,38
2014.0,2014-10-05,5.0,5.0,21.01,NOR,TAM,W 37-31,True,11,9,56,6.22,0,81.8%,5.09,2,15,7.50,0,1,12,12.00,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,68,75%,0,0%,4,13%,False,Brandin Cooks,True,37,31
2014.0,2014-10-19,6.0,7.0,21.024,NOR,DET,L 23-24,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,1,15,15.00,0,,0,0,0,0,0,0,0,0,65,88%,0,0%,6,21%,True,Brandin Cooks,False,23,24
2014.0,2014-10-26,7.0,8.0,21.031,NOR,GNB,W 44-23,True,7,6,94,15.67,1,85.7%,13.43,1,4,4.00,1,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,46,68%,0,0%,1,4%,False,Brandin Cooks,True,44,23
2014.0,2014-10-30,8.0,9.0,21.035,NOR,CAR,W 28-10,True,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,2,2,1.00,0,,0,0,0,0,0,0,0,0,46,61%,0,0%,6,25%,True,Brandin Cooks,True,28,10
2014.0,2014-11-09,9.0,10.0,21.045,NOR,SFO,L 24-27,False,8,5,90,18.00,1,62.5%,11.25,0,0,,0,0,0,,0,1,4,4.00,0,,1,6,0,0,0,0,0,0,50,62%,0,0%,7,21%,False,Brandin Cooks,False,24,27
2014.0,2014-11-16,10.0,11.0,21.052,NOR,CIN,L 10-27,False,7,5,50,10.00,0,71.4%,7.14,1,5,5.00,0,0,0,,0,1,4,4.00,0,,0,0,1,0,0,0,0,0,52,73%,0,0%,2,10%,False,Brandin Cooks,False,10,27
2014.0,2014-11-24,11.0,12.0,,NOR,BAL,L 27-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Brandin Cooks,False,27,34
2014.0,2014-11-30,12.0,13.0,,NOR,PIT,W 35-32,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Brandin Cooks,True,35,32
2014.0,2014-12-07,13.0,14.0,,NOR,CAR,L 10-41,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Brandin Cooks,False,10,41
2014.0,2014-12-15,14.0,15.0,,NOR,CHI,W 31-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Brandin Cooks,True,31,15
2014.0,2014-12-21,15.0,16.0,,NOR,ATL,L 14-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Brandin Cooks,False,14,30
2014.0,2014-12-28,16.0,17.0,,NOR,TAM,W 23-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Brandin Cooks,True,23,20
2015.0,2015-09-13,1.0,1.0,21.353,NOR,ARI,L 19-31,True,8,4,49,12.25,0,50.0%,6.13,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,True,Brandin Cooks,False,19,31
