Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandon Aiyuk
2020,2020-09-20,2,2,22.187,SFO,@,NYJ,W 31-13,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,44,72%,0,0%,0,0%,True,Brandon Aiyuk
2020,2020-09-27,3,3,22.194,SFO,@,NYG,W 36-9,True,8,5,70,14.00,0,62.5%,8.75,3,31,10.33,1,0,0,,0,,1,6,0,0,0,0,0,0,56,71%,0,0%,0,0%,True,Brandon Aiyuk
2020,2020-10-04,4,4,22.201,SFO,,PHI,L 20-25,True,5,2,18,9.00,0,40.0%,3.60,1,38,38.00,1,0,0,,0,,1,6,0,0,0,0,0,0,64,88%,0,0%,0,0%,False,Brandon Aiyuk
2020,2020-10-11,5,5,22.208,SFO,,MIA,L 17-43,True,6,3,44,14.67,0,50.0%,7.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,False,Brandon Aiyuk
2020,2020-10-18,6,6,22.215,SFO,,LAR,W 24-16,True,3,2,12,6.00,1,66.7%,4.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,62,85%,0,0%,0,0%,False,Brandon Aiyuk
2020,2020-10-25,7,7,22.222,SFO,@,NWE,W 33-6,True,7,6,115,19.17,0,85.7%,16.43,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,76%,0,0%,0,0%,True,Brandon Aiyuk
2020,2020-11-01,8,8,22.229,SFO,@,SEA,L 27-37,True,10,8,91,11.38,1,80.0%,9.10,0,0,,0,0,0,,0,,1,6,0,0,0,1,5,0,63,90%,0,0%,0,0%,True,Brandon Aiyuk
2020,2020-11-05,9,9,,SFO,,GNB,L 17-34,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,False,Brandon Aiyuk
2020,2020-11-15,10,10,22.243,SFO,@,NOR,L 13-27,True,14,7,75,10.71,1,50.0%,5.36,1,-8,-8.00,0,0,0,,0,,1,6,0,0,0,0,0,0,68,96%,0,0%,0,0%,True,Brandon Aiyuk
2020,2020-11-29,11,12,,SFO,@,LAR,W 23-20,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Brandon Aiyuk
2020,2020-12-07,12,13,22.265,SFO,,BUF,L 24-34,False,9,5,95,19.00,1,55.6%,10.56,0,0,,0,1,16,16.00,0,,1,6,0,0,0,0,0,0,53,87%,0,0%,1,4%,False,Brandon Aiyuk
2020,2020-12-13,13,14,22.271,SFO,,WAS,L 15-23,True,16,10,119,11.90,0,62.5%,7.44,0,0,,0,1,10,10.00,0,,0,0,0,0,0,0,0,0,74,91%,0,0%,2,6%,False,Brandon Aiyuk
2020,2020-12-20,14,15,22.278,SFO,@,DAL,L 33-41,True,13,9,73,8.11,1,69.2%,5.62,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,80,95%,0,0%,1,3%,True,Brandon Aiyuk
2020,2020-12-26,15,16,22.284,SFO,@,ARI,W 20-12,True,2,1,15,15.00,0,50.0%,7.50,1,16,16.00,0,0,0,,0,,0,0,0,0,0,0,0,0,52,93%,0,0%,1,4%,True,Brandon Aiyuk
2020,2021-01-03,16,17,,SFO,,SEA,L 23-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandon Aiyuk
2021,2021-09-12,1,1,23.179,SFO,@,DET,W 41-33,False,0,0,0,,0,0.0%,,0,0,,0,1,7,7.00,0,,0,0,0,0,0,0,0,0,26,47%,0,0%,1,3%,True,Brandon Aiyuk
2021,2021-09-19,2,2,23.186,SFO,@,PHI,W 17-11,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,1,13,13.00,0,,0,0,0,0,0,0,0,0,38,54%,0,0%,2,10%,True,Brandon Aiyuk
2021,2021-09-26,3,3,23.193,SFO,,GNB,L 28-30,True,6,4,37,9.25,1,66.7%,6.17,1,8,8.00,0,2,23,11.50,0,,1,6,0,0,0,0,0,0,60,86%,0,0%,3,11%,False,Brandon Aiyuk
2021,2021-10-03,4,4,23.200,SFO,,SEA,L 21-28,True,3,1,15,15.00,0,33.3%,5.00,0,0,,0,4,32,8.00,0,,0,0,0,0,0,0,0,0,51,67%,0,0%,6,19%,False,Brandon Aiyuk
2021,2021-10-10,5,5,23.207,SFO,@,ARI,L 10-17,True,4,2,32,16.00,0,50.0%,8.00,0,0,,0,2,6,3.00,0,,0,0,0,0,0,0,0,0,46,71%,0,0%,3,16%,True,Brandon Aiyuk
2021,2021-10-24,6,7,23.221,SFO,,IND,L 18-30,True,1,1,6,6.00,0,100.0%,6.00,1,3,3.00,0,2,8,4.00,0,,0,0,0,0,0,0,0,0,40,71%,0,0%,3,11%,False,Brandon Aiyuk
2021,2021-10-31,7,8,23.228,SFO,@,CHI,W 33-22,True,7,4,45,11.25,0,57.1%,6.43,0,0,,0,2,28,14.00,0,1,0,2,0,0,0,0,0,0,49,88%,0,0%,2,7%,True,Brandon Aiyuk
2021,2021-11-07,8,9,23.235,SFO,,ARI,L 17-31,True,8,6,89,14.83,1,75.0%,11.13,1,-2,-2.00,0,3,34,11.33,0,,1,6,1,1,0,0,0,0,55,93%,0,0%,3,12%,False,Brandon Aiyuk
2021,2021-11-15,9,10,23.243,SFO,,LAR,W 31-10,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,90%,0,0%,4,17%,False,Brandon Aiyuk
2021,2021-11-21,10,11,23.249,SFO,@,JAX,W 30-10,True,7,7,85,12.14,1,100.0%,12.14,0,0,,0,1,1,1.00,0,,1,6,0,0,0,0,0,0,64,93%,0,0%,5,22%,True,Brandon Aiyuk
2021,2021-11-28,11,12,23.256,SFO,,MIN,W 34-26,True,6,3,91,30.33,0,50.0%,15.17,1,4,4.00,0,2,14,7.00,0,,0,0,0,0,0,0,0,0,63,90%,0,0%,3,11%,False,Brandon Aiyuk
2021,2021-12-05,12,13,23.263,SFO,@,SEA,L 23-30,True,6,3,55,18.33,0,50.0%,9.17,0,0,,0,1,-4,-4.00,0,,0,0,0,0,0,0,0,0,54,93%,0,0%,5,17%,True,Brandon Aiyuk
2021,2021-12-12,13,14,23.270,SFO,@,CIN,W 26-23,True,10,6,62,10.33,1,60.0%,6.20,1,4,4.00,0,2,4,2.00,0,,1,6,0,0,0,0,0,0,67,94%,0,0%,4,12%,True,Brandon Aiyuk
2021,2021-12-19,14,15,23.277,SFO,,ATL,W 31-13,True,2,1,36,36.00,0,50.0%,18.00,0,0,,0,2,8,4.00,0,,0,0,0,0,0,0,0,0,56,98%,0,0%,2,8%,False,Brandon Aiyuk
2021,2021-12-23,15,16,23.281,SFO,@,TEN,L 17-20,True,5,4,40,10.00,1,80.0%,8.00,0,0,,0,1,12,12.00,0,,1,6,0,0,0,1,-4,0,55,93%,0,0%,5,22%,True,Brandon Aiyuk
2021,2022-01-02,16,17,23.291,SFO,,HOU,W 23-7,True,6,4,94,23.50,0,66.7%,15.67,0,0,,0,3,22,7.33,0,,0,0,1,0,0,1,0,0,56,90%,0,0%,5,20%,False,Brandon Aiyuk
2021,2022-01-09,17,18,23.298,SFO,@,LAR,W 27-24,True,7,6,107,17.83,0,85.7%,15.29,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,True,Brandon Aiyuk
,29 Games,,,,,,,15-14-0,False,180,116,1574,13.57,10,64.4%,8.74,11,94,8.55,2,31,234,7.55,0,1,12,74,2,1,0,3,1,0,,,,,,,False,Brandon Aiyuk
