Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,,SEA,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,34,Brandon Coutu
2008,2008-09-14,2,2,,SEA,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,30,33,Brandon Coutu
2008,2008-09-21,3,3,,SEA,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,13,Brandon Coutu
2008,2008-10-05,4,5,,SEA,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,44,Brandon Coutu
2008,2008-10-12,5,6,,SEA,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,27,Brandon Coutu
2008,2008-10-19,6,7,,SEA,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,20,Brandon Coutu
2008,2008-10-26,7,8,,SEA,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,13,Brandon Coutu
2008,2008-11-02,8,9,,SEA,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,26,Brandon Coutu
2008,2008-11-09,9,10,,SEA,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,21,Brandon Coutu
2008,2008-11-16,10,11,,SEA,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,26,Brandon Coutu
2008,2008-11-23,11,12,,SEA,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,20,Brandon Coutu
2008,2008-11-27,12,13,,SEA,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,34,Brandon Coutu
2008,2008-12-07,13,14,,SEA,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,24,Brandon Coutu
2008,2008-12-14,14,15,,SEA,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,23,20,Brandon Coutu
2008,2008-12-21,15,16,,SEA,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,3,Brandon Coutu
2008,2008-12-28,16,17,,SEA,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,34,Brandon Coutu
2011,2012-01-01,16,17,27.094,BUF,NWE,False,3,3,100.0,,1,0.0,0,3,True,False,21,49,Brandon Coutu
,1 Games,,,,,,False,3,3,100.0,,1,,0,3,False,False,1,0,Brandon Coutu
