Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,21.342,GNB,PHI,True,15,40,2.67,0,6,4,35,8.75,0,66.7%,5.83,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,16,13,Brandon Jackson
2007,2007-09-16,2,2,21.349,GNB,NYG,True,17,35,2.06,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,35,13,Brandon Jackson
2007,2007-09-23,3,3,21.356,GNB,SDG,True,6,22,3.67,1,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,24,Brandon Jackson
2007,2007-09-30,4,4,,GNB,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,23,16,Brandon Jackson
2007,2007-10-07,5,5,,GNB,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,27,Brandon Jackson
2007,2007-10-14,6,6,,GNB,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,17,14,Brandon Jackson
2007,2007-10-29,7,8,,GNB,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,19,13,Brandon Jackson
2007,2007-11-04,8,9,22.033,GNB,KAN,False,5,18,3.60,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,33,22,Brandon Jackson
2007,2007-11-11,9,10,22.040,GNB,MIN,False,4,1,0.25,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,0,Brandon Jackson
2007,2007-11-18,10,11,22.047,GNB,CAR,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,17,Brandon Jackson
