Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,23.312,CAR,NYG,L 18-31,True,8,2,22,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,18,31
2010.0,2010-09-19,2.0,2.0,,CAR,TAM,L 7-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandon LaFell,False,7,20
2010.0,2010-09-26,3.0,3.0,23.326,CAR,CIN,L 7-20,False,6,1,44,44.00,0,16.7%,7.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,7,20
2010.0,2010-10-03,4.0,4.0,23.333,CAR,NOR,L 14-16,False,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,14,16
2010.0,2010-10-10,5.0,5.0,23.34,CAR,CHI,L 6-23,True,8,1,16,16.00,0,12.5%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,6,23
2010.0,2010-10-24,6.0,7.0,23.354,CAR,SFO,W 23-20,False,6,6,91,15.17,0,100.0%,15.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,True,23,20
2010.0,2010-10-31,7.0,8.0,23.361,CAR,STL,L 10-20,False,8,4,40,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,10,20
2010.0,2010-11-07,8.0,9.0,24.003,CAR,NOR,L 3-34,False,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,3,34
2010.0,2010-11-14,9.0,10.0,24.01,CAR,TAM,L 16-31,False,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,16,31
2010.0,2010-11-21,10.0,11.0,,CAR,BAL,L 13-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandon LaFell,False,13,37
2010.0,2010-11-28,11.0,12.0,24.024,CAR,CLE,L 23-24,False,4,2,37,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,23,24
2010.0,2010-12-05,12.0,13.0,24.031,CAR,SEA,L 14-31,False,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,14,31
2010.0,2010-12-12,13.0,14.0,24.038,CAR,ATL,L 10-31,False,9,6,38,6.33,0,66.7%,4.22,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,10,31
2010.0,2010-12-19,14.0,15.0,24.045,CAR,ARI,W 19-12,False,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,True,19,12
2010.0,2010-12-23,15.0,16.0,24.049,CAR,PIT,L 3-27,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Brandon LaFell,False,3,27
2010.0,2011-01-02,16.0,17.0,24.059,CAR,ATL,L 10-31,False,8,4,63,15.75,0,50.0%,7.88,1,60,60.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,Brandon LaFell,False,10,31
2011.0,2011-09-11,1.0,1.0,24.311,CAR,ARI,L 21-28,False,5,4,70,17.50,0,80.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,21,28
2011.0,2011-09-18,2.0,2.0,24.318,CAR,GNB,L 23-30,False,5,4,49,12.25,1,80.0%,9.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,23,30
2011.0,2011-09-25,3.0,3.0,24.325,CAR,JAX,W 16-10,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Brandon LaFell,True,16,10
2011.0,2011-10-02,4.0,4.0,24.332,CAR,CHI,L 29-34,False,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,29,34
2011.0,2011-10-09,5.0,5.0,24.339,CAR,NOR,L 27-30,False,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,27,30
2011.0,2011-10-16,6.0,6.0,24.346,CAR,ATL,L 17-31,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,17,31
2011.0,2011-10-23,7.0,7.0,24.353,CAR,WAS,W 33-20,False,3,2,39,19.50,1,66.7%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,True,33,20
2011.0,2011-10-30,8.0,8.0,24.36,CAR,MIN,L 21-24,False,2,1,44,44.00,0,50.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,21,24
2011.0,2011-11-13,9.0,10.0,25.009,CAR,TEN,L 3-30,False,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Brandon LaFell,False,3,30
2011.0,2011-11-20,10.0,11.0,25.016,CAR,DET,L 35-49,False,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Brandon LaFell,False,35,49
