Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.044,DEN,IND,W 31-24,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,False,Brandon McManus,True,31,24
2014.0,2014-09-14,2.0,2.0,23.051,DEN,KAN,W 24-17,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,41%,False,Brandon McManus,True,24,17
2014.0,2014-09-21,3.0,3.0,23.058,DEN,SEA,L 20-26,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,22%,True,Brandon McManus,False,20,26
2014.0,2014-10-05,4.0,5.0,23.072,DEN,ARI,W 41-20,False,0,0,,0,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,16,39%,False,Brandon McManus,True,41,20
2014.0,2014-10-12,5.0,6.0,23.079,DEN,NYJ,W 31-17,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,32%,True,Brandon McManus,True,31,17
2014.0,2014-10-19,6.0,7.0,23.086,DEN,SFO,W 42-17,False,0,0,,0,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,43%,False,Brandon McManus,True,42,17
2014.0,2014-10-23,7.0,8.0,23.09,DEN,SDG,W 35-21,False,0,0,,0,5,5,100.0,,1,0.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,44%,False,Brandon McManus,True,35,21
2014.0,2014-11-02,8.0,9.0,23.1,DEN,NWE,L 21-43,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,24%,True,Brandon McManus,False,21,43
2014.0,2014-11-09,9.0,10.0,23.107,DEN,OAK,W 41-17,False,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,42%,True,Brandon McManus,True,41,17
2014.0,2014-11-16,10.0,11.0,23.114,DEN,STL,L 7-22,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,11%,True,Brandon McManus,False,7,22
2014.0,2014-11-23,11.0,12.0,23.121,DEN,MIA,W 39-36,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,48%,False,Brandon McManus,True,39,36
2014.0,2014-12-07,13.0,14.0,23.135,DEN,BUF,W 24-17,False,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,0,0%,0,0%,5,23%,False,Brandon McManus,True,24,17
2014.0,2014-12-14,14.0,15.0,23.142,DEN,SDG,W 22-10,False,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,0,0%,0,0%,7,26%,True,Brandon McManus,True,22,10
2014.0,2014-12-22,15.0,16.0,23.15,DEN,CIN,L 28-37,False,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,0,0%,0,0%,5,14%,True,Brandon McManus,False,28,37
2014.0,2014-12-28,16.0,17.0,23.156,DEN,OAK,W 47-14,False,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,0,0%,0,0%,10,28%,False,Brandon McManus,True,47,14
2015.0,2015-09-13,1.0,1.0,24.05,DEN,BAL,W 19-13,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,False,Brandon McManus,True,19,13
2015.0,2015-09-17,2.0,2.0,24.054,DEN,KAN,W 31-24,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,35%,True,Brandon McManus,True,31,24
2015.0,2015-09-27,3.0,3.0,24.064,DEN,DET,W 24-12,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,42%,True,Brandon McManus,True,24,12
2015.0,2015-10-04,4.0,4.0,24.071,DEN,MIN,W 23-20,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,False,Brandon McManus,True,23,20
2015.0,2015-10-11,5.0,5.0,24.078,DEN,OAK,W 16-10,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,1,41,41.00,0,0,0%,0,0%,10,38%,True,Brandon McManus,True,16,10
2015.0,2015-10-18,6.0,6.0,24.085,DEN,CLE,W 26-23,False,0,0,,0,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,35%,True,Brandon McManus,True,26,23
2015.0,2015-11-01,7.0,8.0,24.099,DEN,GNB,W 29-10,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,44%,False,Brandon McManus,True,29,10
2015.0,2015-11-08,8.0,9.0,24.106,DEN,IND,L 24-27,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,8,27%,True,Brandon McManus,False,24,27
2015.0,2015-11-15,9.0,10.0,24.113,DEN,KAN,L 13-29,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,13%,False,Brandon McManus,False,13,29
2015.0,2015-11-22,10.0,11.0,24.12,DEN,CHI,W 17-15,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,24%,True,Brandon McManus,True,17,15
2015.0,2015-11-29,11.0,12.0,24.127,DEN,NWE,W 30-24,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,30%,False,Brandon McManus,True,30,24
2015.0,2015-12-06,12.0,13.0,24.134,DEN,SDG,W 17-3,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,38%,True,Brandon McManus,True,17,3
2015.0,2015-12-13,13.0,14.0,24.141,DEN,OAK,L 12-15,False,0,0,,0,,,,4,5,80.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,32%,False,Brandon McManus,False,12,15
2015.0,2015-12-20,14.0,15.0,24.148,DEN,PIT,L 27-34,False,0,0,,0,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,26%,True,Brandon McManus,False,27,34
2015.0,2015-12-28,15.0,16.0,24.156,DEN,CIN,W 20-17,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,34%,False,Brandon McManus,True,20,17
2015.0,2016-01-03,16.0,17.0,24.162,DEN,SDG,W 27-20,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,37%,False,Brandon McManus,True,27,20
2016.0,2016-09-08,1.0,1.0,25.045,DEN,CAR,W 21-20,False,0,0,,0,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,29%,False,Brandon McManus,True,21,20
2016.0,2016-09-18,2.0,2.0,25.055,DEN,IND,W 34-20,False,0,0,,0,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,50%,False,Brandon McManus,True,34,20
2016.0,2016-09-25,3.0,3.0,25.062,DEN,CIN,W 29-17,False,0,0,,0,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,37%,True,Brandon McManus,True,29,17
2016.0,2016-10-02,4.0,4.0,25.069,DEN,TAM,W 27-7,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Brandon McManus,True,27,7
2016.0,2016-10-09,5.0,5.0,25.076,DEN,ATL,L 16-23,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,10,33%,False,Brandon McManus,False,16,23
2016.0,2016-10-13,6.0,6.0,25.08,DEN,SDG,L 13-21,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,27%,True,Brandon McManus,False,13,21
2016.0,2016-10-24,7.0,7.0,25.091,DEN,HOU,W 27-9,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,37%,False,Brandon McManus,True,27,9
2016.0,2016-10-30,8.0,8.0,25.097,DEN,SDG,W 27-19,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,False,Brandon McManus,True,27,19
2016.0,2016-11-06,9.0,9.0,25.104,DEN,OAK,L 20-30,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,25%,True,Brandon McManus,False,20,30
