Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-14,1,1,,OAK,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,24,Brandon Myers
2009,2009-09-20,2,2,,OAK,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,13,10,Brandon Myers
2009,2009-09-27,3,3,,OAK,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,3,23,Brandon Myers
2009,2009-10-04,4,4,,OAK,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,29,Brandon Myers
2009,2009-10-11,5,5,24.037,OAK,NYG,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,7,44,Brandon Myers
2009,2009-10-18,6,6,24.044,OAK,PHI,False,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,True,13,9,Brandon Myers
2009,2009-10-25,7,7,24.051,OAK,NYJ,False,0,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,0,38,Brandon Myers
2009,2009-11-01,8,8,24.058,OAK,SDG,True,2,2,7,3.50,0,100.0%,3.50,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,False,16,24,Brandon Myers
2009,2009-11-15,9,10,24.072,OAK,KAN,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,10,16,Brandon Myers
2009,2009-11-22,10,11,24.079,OAK,CIN,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,1,1,0,0,,,,,,,False,True,20,17,Brandon Myers
2009,2009-11-26,11,12,24.083,OAK,DAL,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,7,24,Brandon Myers
2009,2009-12-06,12,13,24.093,OAK,PIT,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,27,24,Brandon Myers
2009,2009-12-13,13,14,24.100,OAK,WAS,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,13,34,Brandon Myers
2009,2009-12-20,14,15,24.107,OAK,DEN,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,19,Brandon Myers
2009,2009-12-27,15,16,,OAK,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,23,Brandon Myers
2009,2010-01-03,16,17,24.121,OAK,BAL,False,0,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,13,21,Brandon Myers
2010,2010-09-12,1,1,25.008,OAK,TEN,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,38,Brandon Myers
2010,2010-09-19,2,2,25.015,OAK,STL,False,1,0,0,,0,0.0%,0.00,1,0,0.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,16,14,Brandon Myers
2010,2010-09-26,3,3,25.022,OAK,ARI,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,24,Brandon Myers
2010,2010-10-03,4,4,25.029,OAK,HOU,False,0,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,24,31,Brandon Myers
2010,2010-10-10,5,5,25.036,OAK,SDG,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,35,27,Brandon Myers
2010,2010-10-17,6,6,25.043,OAK,SFO,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,9,17,Brandon Myers
2010,2010-10-24,7,7,,OAK,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,59,14,Brandon Myers
2010,2010-10-31,8,8,25.057,OAK,SEA,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,True,33,3,Brandon Myers
2010,2010-11-07,9,9,25.064,OAK,KAN,True,4,3,20,6.67,0,75.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Brandon Myers
2010,2010-11-21,10,11,25.078,OAK,PIT,False,5,3,28,9.33,0,60.0%,5.60,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,3,35,Brandon Myers
2010,2010-11-28,11,12,25.085,OAK,MIA,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,17,33,Brandon Myers
2010,2010-12-05,12,13,25.092,OAK,SDG,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,28,13,Brandon Myers
2010,2010-12-12,13,14,25.099,OAK,JAX,True,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,31,38,Brandon Myers
2010,2010-12-19,14,15,25.106,OAK,DEN,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,39,23,Brandon Myers
2010,2010-12-26,15,16,25.113,OAK,IND,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,31,Brandon Myers
2010,2011-01-02,16,17,25.120,OAK,KAN,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Brandon Myers
2011,2011-09-12,1,1,26.008,OAK,DEN,True,5,2,10,5.00,0,40.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,20,Brandon Myers
2011,2011-09-18,2,2,26.014,OAK,BUF,True,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,35,38,Brandon Myers
2011,2011-09-25,3,3,26.021,OAK,NYJ,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,24,Brandon Myers
2011,2011-10-02,4,4,26.028,OAK,NWE,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,19,31,Brandon Myers
2011,2011-10-09,5,5,26.035,OAK,HOU,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,25,20,Brandon Myers
2011,2011-10-16,6,6,26.042,OAK,CLE,False,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,17,Brandon Myers
