Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,22.202,CLE,CIN,False,5,2,16,8.00,0,40.0%,3.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,27,Braylon Edwards
2005,2005-09-18,2,2,22.209,CLE,GNB,True,4,3,107,35.67,1,75.0%,26.75,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,26,24,Braylon Edwards
2005,2005-09-25,3,3,22.216,CLE,IND,True,7,4,43,10.75,0,57.1%,6.14,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,13,Braylon Edwards
2005,2005-10-09,4,5,,CLE,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,10,Braylon Edwards
2005,2005-10-16,5,6,,CLE,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,16,Braylon Edwards
2005,2005-10-23,6,7,22.244,CLE,DET,False,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,13,Braylon Edwards
2005,2005-10-30,7,8,22.251,CLE,HOU,False,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,16,19,Braylon Edwards
2005,2005-11-06,8,9,22.258,CLE,TEN,True,6,1,2,2.00,0,16.7%,0.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,14,Braylon Edwards
2005,2005-11-13,9,10,22.265,CLE,PIT,True,8,2,64,32.00,0,25.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,21,34,Braylon Edwards
2005,2005-11-20,10,11,22.272,CLE,MIA,True,7,6,90,15.00,0,85.7%,12.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,22,0,Braylon Edwards
2005,2005-11-27,11,12,22.279,CLE,MIN,True,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,12,24,Braylon Edwards
2005,2005-12-04,12,13,22.286,CLE,JAX,True,7,5,86,17.20,2,71.4%,12.29,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,14,20,Braylon Edwards
2005,2005-12-11,13,14,,CLE,CIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,20,23,Braylon Edwards
2005,2005-12-18,14,15,,CLE,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,9,7,Braylon Edwards
2005,2005-12-24,15,16,,CLE,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,0,41,Braylon Edwards
2005,2006-01-01,16,17,,CLE,BAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,20,16,Braylon Edwards
2006,2006-09-10,1,1,23.201,CLE,NOR,True,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,14,19,Braylon Edwards
2006,2006-09-17,2,2,23.208,CLE,CIN,True,9,4,110,27.50,0,44.4%,12.22,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,34,Braylon Edwards
2006,2006-09-24,3,3,23.215,CLE,BAL,True,10,5,116,23.20,1,50.0%,11.60,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,14,15,Braylon Edwards
2006,2006-10-01,4,4,23.222,CLE,OAK,True,8,6,75,12.50,0,75.0%,9.38,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,24,21,Braylon Edwards
2006,2006-10-08,5,5,23.229,CLE,CAR,True,11,3,27,9.00,0,27.3%,2.45,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,12,20,Braylon Edwards
2006,2006-10-22,6,7,23.243,CLE,DEN,True,7,2,6,3.00,0,28.6%,0.86,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,7,17,Braylon Edwards
2006,2006-10-29,7,8,23.250,CLE,NYJ,True,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,13,Braylon Edwards
2006,2006-11-05,8,9,23.257,CLE,SDG,True,12,7,66,9.43,1,58.3%,5.50,1,8,8.00,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,25,32,Braylon Edwards
2006,2006-11-12,9,10,23.264,CLE,ATL,True,5,3,31,10.33,1,60.0%,6.20,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,17,13,Braylon Edwards
2006,2006-11-19,10,11,23.271,CLE,PIT,True,10,7,137,19.57,0,70.0%,13.70,1,-8,-8.00,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Braylon Edwards
2006,2006-11-26,11,12,23.278,CLE,CIN,True,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,0,30,Braylon Edwards
2006,2006-12-03,12,13,23.285,CLE,KAN,True,6,3,36,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,31,28,Braylon Edwards
2006,2006-12-07,13,14,23.289,CLE,PIT,True,7,4,86,21.50,1,57.1%,12.29,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,27,Braylon Edwards
2006,2006-12-17,14,15,23.299,CLE,BAL,True,9,5,68,13.60,1,55.6%,7.56,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,27,Braylon Edwards
2006,2006-12-24,15,16,23.306,CLE,TAM,False,7,2,7,3.50,0,28.6%,1.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,7,22,Braylon Edwards
2006,2006-12-31,16,17,23.313,CLE,HOU,True,10,4,46,11.50,0,40.0%,4.60,1,7,7.00,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,14,Braylon Edwards
2007,2007-09-09,1,1,24.200,CLE,PIT,True,9,3,49,16.33,0,33.3%,5.44,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,7,34,Braylon Edwards
2007,2007-09-16,2,2,24.207,CLE,CIN,True,14,8,146,18.25,2,57.1%,10.43,0,0,,0,0,0,,0,0,0,,,,,,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,51,45,Braylon Edwards
2007,2007-09-23,3,3,24.214,CLE,OAK,True,5,4,83,20.75,1,80.0%,16.60,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,24,26,Braylon Edwards
2007,2007-09-30,4,4,24.221,CLE,BAL,True,5,3,97,32.33,1,60.0%,19.40,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,13,Braylon Edwards
