Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,22.299,KAN,,TEN,L 10-26,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,18%,False,Cairo Santos
2014,2014-09-14,2,2,22.306,KAN,@,DEN,L 17-24,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,8,36%,True,Cairo Santos
2014,2014-09-21,3,3,22.313,KAN,@,MIA,W 34-15,False,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,10,33%,True,Cairo Santos
2014,2014-09-29,4,4,22.321,KAN,,NWE,W 41-14,False,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,14,48%,False,Cairo Santos
2014,2014-10-05,5,5,22.327,KAN,@,SFO,L 17-22,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,26%,True,Cairo Santos
2014,2014-10-19,6,7,22.341,KAN,@,SDG,W 23-20,False,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,38%,True,Cairo Santos
2014,2014-10-26,7,8,22.348,KAN,,STL,W 34-7,False,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,13,48%,False,Cairo Santos
2014,2014-11-02,8,9,22.355,KAN,,NYJ,W 24-10,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,45%,False,Cairo Santos
2014,2014-11-09,9,10,22.362,KAN,@,BUF,W 17-13,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,True,Cairo Santos
2014,2014-11-16,10,11,23.004,KAN,,SEA,W 24-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,43%,False,Cairo Santos
2014,2014-11-20,11,12,23.008,KAN,@,OAK,L 20-24,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,28%,True,Cairo Santos
2014,2014-11-30,12,13,23.018,KAN,,DEN,L 16-29,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,19%,False,Cairo Santos
2014,2014-12-07,13,14,23.025,KAN,@,ARI,L 14-17,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,1,0,1,0,0,0,0%,0,0%,5,22%,True,Cairo Santos
2014,2014-12-14,14,15,23.032,KAN,,OAK,W 31-13,False,0,0,,0,0,0,,0,0,,,4,4,100.0,1,3,33.3,0,7,0.0,0,0,0,,,0,0%,0,0%,13,35%,False,Cairo Santos
2014,2014-12-21,15,16,23.039,KAN,@,PIT,L 12-20,False,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,10,45%,True,Cairo Santos
2014,2014-12-28,16,17,23.046,KAN,,SDG,W 19-7,False,0,0,,0,0,0,,0,0,,,1,1,100.0,4,5,80.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,46%,False,Cairo Santos
2015,2015-09-13,1,1,23.305,KAN,@,HOU,W 27-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,,,0,0%,0,0%,12,35%,True,Cairo Santos
2015,2015-09-17,2,2,23.309,KAN,,DEN,L 24-31,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,29%,False,Cairo Santos
2015,2015-09-28,3,3,23.320,KAN,@,GNB,L 28-38,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,7,23%,True,Cairo Santos
2015,2015-10-04,4,4,23.326,KAN,@,CIN,L 21-36,False,0,0,,0,0,0,,0,0,,,,,,7,7,100.0,0,21,0.0,0,0,0,,,0,0%,0,0%,15,50%,True,Cairo Santos
2015,2015-10-11,5,5,23.333,KAN,,CHI,L 17-18,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0%,0,0%,9,32%,False,Cairo Santos
2015,2015-10-18,6,6,23.340,KAN,@,MIN,L 10-16,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,21%,True,Cairo Santos
2015,2015-10-25,7,7,23.347,KAN,,PIT,W 23-13,False,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0%,0,0%,12,50%,False,Cairo Santos
2015,2015-11-01,8,8,23.354,KAN,,DET,W 45-10,False,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,15,50%,False,Cairo Santos
2015,2015-11-15,9,10,24.003,KAN,@,DEN,W 29-13,False,0,0,,0,0,0,,0,0,,,2,2,100.0,5,6,83.3,0,17,0.0,0,0,0,,,0,0%,0,0%,15,50%,True,Cairo Santos
2015,2015-11-22,10,11,24.010,KAN,@,SDG,W 33-3,False,0,0,,0,0,0,,0,0,,,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,14,50%,True,Cairo Santos
2015,2015-11-29,11,12,24.017,KAN,,BUF,W 30-22,False,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,15,52%,False,Cairo Santos
2015,2015-12-06,12,13,24.024,KAN,@,OAK,W 34-20,False,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,10,37%,True,Cairo Santos
2015,2015-12-13,13,14,24.031,KAN,,SDG,W 10-3,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,32%,False,Cairo Santos
2015,2015-12-20,14,15,24.038,KAN,@,BAL,W 34-14,False,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0%,0,0%,13,45%,True,Cairo Santos
2015,2015-12-27,15,16,24.045,KAN,,CLE,W 17-13,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,30%,False,Cairo Santos
2015,2016-01-03,16,17,24.052,KAN,,OAK,W 23-17,False,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,9,31%,False,Cairo Santos
2016,2016-09-11,1,1,24.304,KAN,,SDG,W 33-27,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,32%,False,Cairo Santos
2016,2016-09-18,2,2,24.311,KAN,@,HOU,L 12-19,False,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,9,28%,True,Cairo Santos
2016,2016-09-25,3,3,24.318,KAN,,NYJ,W 24-3,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,50%,False,Cairo Santos
2016,2016-10-02,4,4,24.325,KAN,@,PIT,L 14-43,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,6,21%,True,Cairo Santos
2016,2016-10-16,5,6,24.339,KAN,@,OAK,W 26-10,False,0,0,,0,0,0,,0,0,,,2,3,66.7,2,3,66.7,0,8,0.0,1,0,1,0,0,0,0%,0,0%,12,52%,True,Cairo Santos
2016,2016-10-23,6,7,24.346,KAN,,NOR,W 27-21,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,42%,False,Cairo Santos
2016,2016-10-30,7,8,24.353,KAN,@,IND,W 30-14,False,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,14,44%,True,Cairo Santos
2016,2016-11-06,8,9,24.360,KAN,,JAX,W 19-14,False,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,11,39%,False,Cairo Santos
2016,2016-11-13,9,10,25.001,KAN,@,CAR,W 20-17,False,0,0,,0,0,0,,0,0,,,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,9,35%,True,Cairo Santos
