Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,21.083,LAR,DAL,W 20-17,True,14,39,2.79,0,1,1,4,4.00,0,100.0%,4.00,0,0,0,0,0,0,0,0,24,33%,0,0%,0,0%,False,Cam Akers,True,20,17
2020.0,2020-09-20,2.0,2.0,21.09,LAR,PHI,W 37-19,True,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,Cam Akers,True,37,19
2020.0,2020-09-27,3.0,3.0,,LAR,BUF,L 32-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Cam Akers,False,32,35
2020.0,2020-10-04,4.0,4.0,,LAR,NYG,W 17-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cam Akers,True,17,9
2020.0,2020-10-11,5.0,5.0,21.111,LAR,WAS,W 30-10,False,9,61,6.78,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,True,Cam Akers,True,30,10
2020.0,2020-10-18,6.0,6.0,21.118,LAR,SFO,L 16-24,False,,,,,,,,,,0.0%,,0,0,0,,,0,0,0,1,2%,0,0%,0,0%,True,Cam Akers,False,16,24
2020.0,2020-10-26,7.0,7.0,21.126,LAR,CHI,W 24-10,False,,,,,,,,,,0.0%,,0,0,0,,,0,0,0,3,4%,0,0%,0,0%,False,Cam Akers,True,24,10
2020.0,2020-11-01,8.0,8.0,21.132,LAR,MIA,L 17-28,False,9,35,3.89,0,1,1,19,19.00,0,100.0%,19.00,0,0,0,0,0,0,0,0,20,21%,0,0%,0,0%,True,Cam Akers,False,17,28
2020.0,2020-11-15,9.0,10.0,21.146,LAR,SEA,W 23-16,False,10,38,3.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,18,26%,0,0%,0,0%,False,Cam Akers,True,23,16
2020.0,2020-11-23,10.0,11.0,21.154,LAR,TAM,W 27-24,False,5,15,3.00,0,1,1,4,4.00,1,100.0%,4.00,1,6,0,0,0,0,0,0,12,17%,0,0%,0,0%,True,Cam Akers,True,27,24
