Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,,CHI,GNB,L 23-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cameron Meredith,False,23,31
2015.0,2015-09-20,2.0,2.0,22.364,CHI,ARI,L 23-48,False,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,18,25%,0,0%,1,3%,False,Cameron Meredith,False,23,48
2015.0,2015-09-27,3.0,3.0,23.006,CHI,SEA,L 0-26,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,9,19%,0,0%,0,0%,True,Cameron Meredith,False,0,26
2015.0,2015-10-04,4.0,4.0,23.013,CHI,OAK,W 22-20,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,14,18%,0,0%,0,0%,False,Cameron Meredith,True,22,20
2015.0,2015-10-11,5.0,5.0,23.02,CHI,KAN,W 18-17,False,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,24,30%,0,0%,6,21%,True,Cameron Meredith,True,18,17
2015.0,2015-10-18,6.0,6.0,23.027,CHI,DET,L 34-37,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,9,11%,0,0%,5,13%,True,Cameron Meredith,False,34,37
2015.0,2015-11-01,7.0,8.0,,CHI,MIN,L 20-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cameron Meredith,False,20,23
2015.0,2015-11-09,8.0,9.0,23.049,CHI,SDG,W 22-19,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,True,Cameron Meredith,True,22,19
2015.0,2015-11-15,9.0,10.0,23.055,CHI,STL,W 37-13,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,True,Cameron Meredith,True,37,13
2015.0,2015-11-22,10.0,11.0,23.062,CHI,DEN,L 15-17,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,19,30%,0,0%,0,0%,False,Cameron Meredith,False,15,17
2015.0,2015-11-26,11.0,12.0,,CHI,GNB,W 17-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Cameron Meredith,True,17,13
