Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.352,SFO,DAL,W 28-17,False,7,50,7.14,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,15,26%,0,0%,4,17%,True,Carlos Hyde,True,28,17
2014.0,2014-09-14,2.0,2.0,23.359,SFO,CHI,L 20-28,False,4,0,0.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,20,30%,0,0%,1,4%,False,Carlos Hyde,False,20,28
2014.0,2014-09-21,3.0,3.0,24.001,SFO,ARI,L 14-23,False,3,13,4.33,1,2,2,-2,-1.00,0,100.0%,-1.00,0,0,,0,,1,6,0,0,0,0,0,0,17,27%,0,0%,1,5%,True,Carlos Hyde,False,14,23
2014.0,2014-09-28,4.0,4.0,24.008,SFO,PHI,W 26-21,False,10,26,2.60,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,23,28%,0,0%,0,0%,False,Carlos Hyde,True,26,21
2014.0,2014-10-05,5.0,5.0,24.015,SFO,KAN,W 22-17,False,10,43,4.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,30,43%,0,0%,0,0%,False,Carlos Hyde,True,22,17
2014.0,2014-10-13,6.0,6.0,24.023,SFO,STL,W 31-17,False,11,14,1.27,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,31,46%,0,0%,2,6%,True,Carlos Hyde,True,31,17
2014.0,2014-10-19,7.0,7.0,24.029,SFO,DEN,L 17-42,False,3,15,5.00,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,23,31%,0,0%,0,0%,True,Carlos Hyde,False,17,42
2014.0,2014-11-02,8.0,9.0,24.043,SFO,STL,L 10-13,False,2,17,8.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,29,43%,0,0%,0,0%,False,Carlos Hyde,False,10,13
2014.0,2014-11-09,9.0,10.0,24.05,SFO,NOR,W 27-24,False,4,36,9.00,1,0,0,0,,0,0.0%,,3,82,27.33,0,,1,6,0,0,0,0,0,0,13,19%,0,0%,3,9%,True,Carlos Hyde,True,27,24
2014.0,2014-11-16,10.0,11.0,24.057,SFO,NYG,W 16-10,False,9,25,2.78,0,1,1,5,5.00,0,100.0%,5.00,1,26,26.00,0,,0,0,0,0,0,0,0,0,22,32%,0,0%,3,14%,True,Carlos Hyde,True,16,10
2014.0,2014-11-23,11.0,12.0,24.064,SFO,WAS,W 17-13,False,7,16,2.29,1,0,0,0,,0,0.0%,,4,98,24.50,0,,1,6,1,1,0,0,0,0,15,25%,0,0%,4,15%,False,Carlos Hyde,True,17,13
2014.0,2014-11-27,12.0,13.0,24.068,SFO,SEA,L 3-19,False,5,19,3.80,0,3,3,38,12.67,0,100.0%,12.67,3,62,20.67,0,,0,0,0,0,0,0,0,0,17,29%,0,0%,6,25%,False,Carlos Hyde,False,3,19
2014.0,2014-12-07,13.0,14.0,24.078,SFO,OAK,L 13-24,False,2,4,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0,0,0,0,0,0,20,33%,0,0%,0,0%,True,Carlos Hyde,False,13,24
2014.0,2014-12-14,14.0,15.0,24.085,SFO,SEA,L 7-17,False,6,55,9.17,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,17,29%,0,0%,0,0%,True,Carlos Hyde,False,7,17
2014.0,2014-12-20,15.0,16.0,,SFO,SDG,L 35-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,False,35,38
2014.0,2014-12-28,16.0,17.0,,SFO,ARI,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,True,20,17
2015.0,2015-09-14,1.0,1.0,24.359,SFO,MIN,W 20-3,True,26,168,6.46,2,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,2,12,0,0,0,0,0,0,53,76%,0,0%,0,0%,False,Carlos Hyde,True,20,3
