Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,22.257,CHI,WAS,False,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,7,9,Cedric Benson
2005,2005-09-18,2,2,22.264,CHI,DET,False,16,49,3.06,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,38,6,Cedric Benson
2005,2005-09-25,3,3,,CHI,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,7,24,Cedric Benson
2005,2005-10-09,4,5,22.285,CHI,CLE,False,5,6,1.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,1,0,0,0,0,,,,,,,True,False,10,20,Cedric Benson
2005,2005-10-16,5,6,22.292,CHI,MIN,False,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,28,3,Cedric Benson
2005,2005-10-23,6,7,22.299,CHI,BAL,False,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,,,,,,,False,True,10,6,Cedric Benson
2005,2005-10-30,7,8,22.306,CHI,DET,False,3,35,11.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,19,13,Cedric Benson
2005,2005-11-06,8,9,22.313,CHI,NOR,False,14,79,5.64,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,20,17,Cedric Benson
2005,2005-11-13,9,10,22.320,CHI,SFO,True,12,50,4.17,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,17,9,Cedric Benson
2005,2005-11-20,10,11,,CHI,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,3,Cedric Benson
2005,2005-11-27,11,12,,CHI,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,13,10,Cedric Benson
2005,2005-12-04,12,13,,CHI,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,7,Cedric Benson
2005,2005-12-11,13,14,,CHI,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,21,Cedric Benson
2005,2005-12-18,14,15,,CHI,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,3,Cedric Benson
2005,2005-12-25,15,16,,CHI,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,17,Cedric Benson
2005,2006-01-01,16,17,23.004,CHI,MIN,False,9,35,3.89,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,34,Cedric Benson
2006,2006-09-10,1,1,23.256,CHI,GNB,False,11,34,3.09,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,26,0,Cedric Benson
2006,2006-09-17,2,2,23.263,CHI,DET,False,10,25,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,7,Cedric Benson
