Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-09-09,1,1,23.243,CIN,NWE,False,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,True,23,17,Chad Johnson
2001,2001-09-23,2,2,23.257,CIN,BAL,True,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,True,21,10,Chad Johnson
2001,2001-09-30,3,3,23.264,CIN,SDG,False,4,2,28,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,14,28,Chad Johnson
2001,2001-10-07,4,4,23.271,CIN,PIT,True,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,7,16,Chad Johnson
2001,2001-10-14,5,5,23.278,CIN,CLE,False,8,5,68,13.60,0,62.5%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,24,14,Chad Johnson
2001,2001-10-21,6,6,,CIN,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,0,24,Chad Johnson
2001,2001-10-28,7,7,,CIN,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,27,Chad Johnson
2001,2001-11-11,8,9,,CIN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,30,Chad Johnson
2001,2001-11-18,9,10,,CIN,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,20,Chad Johnson
2001,2001-11-25,10,11,23.320,CIN,CLE,False,8,1,7,7.00,0,12.5%,0.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,0,18,Chad Johnson
2001,2001-12-02,11,12,23.327,CIN,TAM,False,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,13,16,Chad Johnson
2001,2001-12-09,12,13,23.334,CIN,JAX,False,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,10,14,Chad Johnson
