Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-08,1,1,23.194,ARI,,SDG,W 18-17,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,25%,False,Chandler Catanzaro
2014,2014-09-14,2,2,23.200,ARI,@,NYG,W 25-14,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,48%,True,Chandler Catanzaro
2014,2014-09-21,3,3,23.207,ARI,,SFO,W 23-14,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,50%,False,Chandler Catanzaro
2014,2014-10-05,4,5,23.221,ARI,@,DEN,L 20-41,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,22%,True,Chandler Catanzaro
2014,2014-10-12,5,6,23.228,ARI,,WAS,W 30-20,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,38%,False,Chandler Catanzaro
2014,2014-10-19,6,7,23.235,ARI,@,OAK,W 24-13,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,True,Chandler Catanzaro
2014,2014-10-26,7,8,23.242,ARI,,PHI,W 24-20,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,False,Chandler Catanzaro
2014,2014-11-02,8,9,23.249,ARI,@,DAL,W 28-17,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,True,Chandler Catanzaro
2014,2014-11-09,9,10,23.256,ARI,,STL,W 31-14,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,40%,False,Chandler Catanzaro
2014,2014-11-16,10,11,23.263,ARI,,DET,W 14-6,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,24%,False,Chandler Catanzaro
2014,2014-11-23,11,12,23.270,ARI,@,SEA,L 3-19,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,15%,True,Chandler Catanzaro
2014,2014-11-30,12,13,23.277,ARI,@,ATL,L 18-29,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,True,Chandler Catanzaro
