Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,22.149,ARI,,WAS,L 6-24,False,4,24,6.00,0,4,4,24,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,32%,0,0%,5,25%,False,Chase Edmonds
2018,2018-09-16,2,2,22.156,ARI,@,LAR,L 0-34,False,1,5,5.00,0,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,22%,0,0%,5,28%,True,Chase Edmonds
2018,2018-09-23,3,3,22.163,ARI,,CHI,L 14-16,False,5,10,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,16%,0,0%,9,41%,False,Chase Edmonds
2018,2018-09-30,4,4,22.170,ARI,,SEA,L 17-20,False,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,4,14%,False,Chase Edmonds
2018,2018-10-07,5,5,22.177,ARI,@,SFO,W 28-18,False,1,-1,-1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,6%,0,0%,4,15%,True,Chase Edmonds
2018,2018-10-14,6,6,22.184,ARI,@,MIN,L 17-27,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,7%,0,0%,6,21%,True,Chase Edmonds
2018,2018-10-18,7,7,22.188,ARI,,DEN,L 10-45,False,5,9,1.80,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,33%,0,0%,8,25%,False,Chase Edmonds
2018,2018-10-28,8,8,22.198,ARI,,SFO,W 18-15,False,2,9,4.50,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,20%,0,0%,9,35%,False,Chase Edmonds
2018,2018-11-11,9,10,22.212,ARI,@,KAN,L 14-26,False,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,23%,0,0%,6,24%,True,Chase Edmonds
2018,2018-11-18,10,11,22.219,ARI,,OAK,L 21-23,False,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,20%,0,0%,12,36%,False,Chase Edmonds
2018,2018-11-25,11,12,22.226,ARI,@,LAC,L 10-45,False,5,0,0.00,0,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,9,19%,0,0%,16,57%,True,Chase Edmonds
2018,2018-12-02,12,13,22.233,ARI,@,GNB,W 20-17,False,5,53,10.60,2,2,2,13,6.50,0,100.0%,6.50,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,13,21%,0,0%,15,48%,True,Chase Edmonds
2018,2018-12-09,13,14,22.240,ARI,,DET,L 3-17,False,3,14,4.67,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,10,14%,0,0%,12,50%,False,Chase Edmonds
2018,2018-12-16,14,15,22.247,ARI,@,ATL,L 14-40,False,8,22,2.75,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,25,37%,0,0%,18,55%,True,Chase Edmonds
2018,2018-12-23,15,16,22.254,ARI,,LAR,L 9-31,False,4,20,5.00,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,25%,0,0%,15,58%,False,Chase Edmonds
2018,2018-12-30,16,17,22.261,ARI,@,SEA,L 24-27,False,6,14,2.33,0,2,2,4,2.00,0,100.0%,2.00,1,18,18.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,24%,0,0%,23,70%,True,Chase Edmonds
2019,2019-09-08,1,1,23.148,ARI,,DET,T 27-27,False,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,11%,0,0%,15,38%,False,Chase Edmonds
