Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,22.278,STL,DET,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,30%,0,0%,3,10%,True,False,23,27,Chris Givens
2012,2012-09-16,2,2,22.285,STL,WAS,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,26%,0,0%,3,9%,False,True,31,28,Chris Givens
2012,2012-09-23,3,3,22.292,STL,CHI,True,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,21%,0,0%,4,14%,True,False,6,23,Chris Givens
2012,2012-09-30,4,4,22.299,STL,SEA,False,3,1,52,52.00,0,33.3%,17.33,0,0,,0,0,-2,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,69%,0,0%,4,15%,False,True,19,13,Chris Givens
2012,2012-10-04,5,5,22.303,STL,ARI,True,5,1,51,51.00,1,20.0%,10.20,0,0,,0,1,36,36.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,79%,0,0%,2,8%,False,True,17,3,Chris Givens
2012,2012-10-14,6,6,22.313,STL,MIA,True,7,3,85,28.33,0,42.9%,12.14,0,0,,0,1,20,20.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,84%,0,0%,4,15%,True,False,14,17,Chris Givens
2012,2012-10-21,7,7,22.320,STL,GNB,True,5,3,73,24.33,0,60.0%,14.60,1,14,14.00,0,2,50,25.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,63%,0,0%,6,21%,False,False,20,30,Chris Givens
2012,2012-10-28,8,8,22.327,STL,NWE,True,4,3,63,21.00,1,75.0%,15.75,0,0,,0,2,48,24.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,54%,0,0%,5,19%,False,False,7,45,Chris Givens
2012,2012-11-11,9,10,,STL,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,24,Chris Givens
2012,2012-11-18,10,11,22.348,STL,NYJ,True,7,4,19,4.75,0,57.1%,2.71,0,0,,0,5,127,25.40,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,53%,0,0%,6,23%,False,False,13,27,Chris Givens
2012,2012-11-25,11,12,22.355,STL,ARI,True,6,5,115,23.00,1,83.3%,19.17,1,1,1.00,0,1,31,31.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,3,10%,True,True,31,17,Chris Givens
2012,2012-12-02,12,13,22.362,STL,SFO,True,14,11,92,8.36,0,78.6%,6.57,0,0,,0,1,22,22.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,90%,0,0%,5,17%,False,True,16,13,Chris Givens
2012,2012-12-09,13,14,23.003,STL,BUF,True,10,3,25,8.33,0,30.0%,2.50,1,-3,-3.00,0,4,88,22.00,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,66,96%,0,0%,4,15%,True,True,15,12,Chris Givens
2012,2012-12-16,14,15,23.010,STL,MIN,True,4,1,22,22.00,0,25.0%,5.50,0,0,,0,2,29,14.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,62%,0,0%,5,16%,False,False,22,36,Chris Givens
2012,2012-12-23,15,16,23.017,STL,TAM,True,5,3,38,12.67,0,60.0%,7.60,0,0,,0,2,39,19.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,64%,0,0%,4,17%,True,True,28,13,Chris Givens
2012,2012-12-30,16,17,23.024,STL,SEA,True,3,2,54,27.00,0,66.7%,18.00,0,0,,0,2,51,25.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,77%,0,0%,5,18%,True,False,13,20,Chris Givens
2013,2013-09-08,1,1,23.276,STL,ARI,True,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,0,0%,False,True,27,24,Chris Givens
2013,2013-09-15,2,2,23.283,STL,ATL,True,8,5,105,21.00,0,62.5%,13.13,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,65%,0,0%,0,0%,True,False,24,31,Chris Givens
2013,2013-09-22,3,3,23.290,STL,DAL,True,8,2,54,27.00,0,25.0%,6.75,1,-4,-4.00,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,58,83%,0,0%,0,0%,True,False,7,31,Chris Givens
2013,2013-09-26,4,4,23.294,STL,SFO,True,8,4,49,12.25,0,50.0%,6.13,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,85%,0,0%,0,0%,False,False,11,35,Chris Givens
2013,2013-10-06,5,5,23.304,STL,JAX,True,7,2,16,8.00,0,28.6%,2.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,88%,0,0%,0,0%,False,True,34,20,Chris Givens
2013,2013-10-13,6,6,23.311,STL,HOU,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,86%,0,0%,0,0%,True,True,38,13,Chris Givens
2013,2013-10-20,7,7,23.318,STL,CAR,True,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,82%,0,0%,0,0%,True,False,15,30,Chris Givens
2013,2013-10-28,8,8,23.326,STL,SEA,True,5,4,59,14.75,0,80.0%,11.80,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,87%,0,0%,0,0%,False,False,9,14,Chris Givens
2013,2013-11-03,9,9,23.332,STL,TEN,True,8,4,55,13.75,0,50.0%,6.88,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,90%,0,0%,0,0%,False,False,21,28,Chris Givens
2013,2013-11-10,10,10,23.339,STL,IND,True,4,2,54,27.00,0,50.0%,13.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,78%,0,0%,0,0%,True,True,38,8,Chris Givens
2013,2013-11-24,11,12,23.353,STL,CHI,True,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,82%,0,0%,0,0%,False,True,42,21,Chris Givens
2013,2013-12-01,12,13,23.360,STL,SFO,False,9,2,30,15.00,0,22.2%,3.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,65%,0,0%,0,0%,True,False,13,23,Chris Givens
2013,2013-12-08,13,14,24.002,STL,ARI,True,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,52%,0,0%,0,0%,True,False,10,30,Chris Givens
