Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021.0,2021-09-12,1.0,1.0,,CLE,@,KAN,L 29-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Naggar
2021.0,2021-09-19,2.0,2.0,,CLE,,HOU,W 31-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-09-26,3.0,3.0,,CLE,,CHI,W 26-6,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-10-03,4.0,4.0,,CLE,@,MIN,W 14-7,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Naggar
2021.0,2021-10-10,5.0,5.0,,CLE,@,LAC,L 42-47,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Naggar
2021.0,2021-10-17,6.0,6.0,,CLE,,ARI,L 14-37,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-10-21,7.0,7.0,,CLE,,DEN,W 17-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-10-31,8.0,8.0,,CLE,,PIT,L 10-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-11-07,9.0,9.0,,CLE,@,CIN,W 41-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Naggar
2021.0,2021-11-14,10.0,10.0,,CLE,@,NWE,L 7-45,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Naggar
2021.0,2021-11-21,11.0,11.0,,CLE,,DET,W 13-10,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-11-28,12.0,12.0,,CLE,@,BAL,L 10-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Naggar
2021.0,2021-12-12,13.0,14.0,,CLE,,BAL,W 24-22,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-12-20,14.0,15.0,,CLE,,LVR,L 14-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Naggar
2021.0,2021-12-25,15.0,16.0,24.016,CLE,@,GNB,L 22-24,False,1,2,50.0,1,1,100.0,0,4,0,0%,0,0%,8,35%,True,Chris Naggar
,1 Games,,,,,,,0-1-0,False,1,2,50.0,1,1,100.0,0,4,,,,,,,False,Chris Naggar
