Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,21.295,ARI,,WAS,L 6-24,False,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,44,22.00,0,,0,0,0,0,0,0,0,0,45,85%,0,0%,4,20%,False,Christian Kirk
2018,2018-09-16,2,2,21.302,ARI,@,LAR,L 0-34,False,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,69%,0,0%,2,11%,True,Christian Kirk
2018,2018-09-23,3,3,21.309,ARI,,CHI,L 14-16,True,8,7,90,12.86,0,87.5%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,37,74%,0,0%,2,9%,False,Christian Kirk
2018,2018-09-30,4,4,21.316,ARI,,SEA,L 17-20,False,5,4,28,7.00,0,80.0%,5.60,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,40,67%,0,0%,4,14%,False,Christian Kirk
2018,2018-10-07,5,5,21.323,ARI,@,SFO,W 28-18,True,4,3,85,28.33,1,75.0%,21.25,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,1,6,0,0,0,0,0,0,32,63%,0,0%,5,19%,True,Christian Kirk
2018,2018-10-14,6,6,21.330,ARI,@,MIN,L 17-27,True,7,6,77,12.83,0,85.7%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,0,0,0,0,0,0,46,79%,0,0%,5,17%,True,Christian Kirk
2018,2018-10-18,7,7,21.334,ARI,,DEN,L 10-45,False,6,3,57,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,,0,0,0,0,0,0,0,0,52,79%,0,0%,6,19%,False,Christian Kirk
2018,2018-10-28,8,8,21.344,ARI,,SFO,W 18-15,True,7,3,42,14.00,1,42.9%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,76%,0,0%,7,27%,False,Christian Kirk
2018,2018-11-11,9,10,21.358,ARI,@,KAN,L 14-26,True,6,2,8,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,8,2.67,0,,0,0,0,0,0,0,0,0,65,89%,0,0%,5,20%,True,Christian Kirk
2018,2018-11-18,10,11,22.000,ARI,,OAK,L 21-23,True,4,3,77,25.67,1,75.0%,19.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,38,9.50,0,,1,6,0,0,0,0,0,0,48,89%,0,0%,8,24%,False,Christian Kirk
