Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-10,1.0,1.0,21.152,KAN,HOU,W 34-20,True,25,138,5.52,1,2,0,0,,0,0.0%,0.00,,1,6,0,0,0,0,0,0,46,67%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,34,20
2020.0,2020-09-20,2.0,2.0,21.162,KAN,LAC,W 23-20,True,10,38,3.80,0,8,6,32,5.33,0,75.0%,4.00,,0,0,0,0,0,0,0,0,48,62%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,23,20
2020.0,2020-09-28,3.0,3.0,21.17,KAN,BAL,W 34-20,True,20,64,3.20,0,6,5,70,14.00,0,83.3%,11.67,,0,0,0,0,0,0,0,0,52,69%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,34,20
2020.0,2020-10-05,4.0,4.0,21.177,KAN,NWE,W 26-10,True,16,64,4.00,0,3,3,27,9.00,0,100.0%,9.00,,0,0,0,0,0,0,0,0,41,73%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,26,10
2020.0,2020-10-11,5.0,5.0,21.183,KAN,LVR,L 32-40,True,10,40,4.00,0,8,3,40,13.33,0,37.5%,5.00,,0,0,0,0,0,0,0,0,43,60%,0,0%,0,0%,False,Clyde Edwards-Helaire,False,32,40
2020.0,2020-10-19,6.0,6.0,21.191,KAN,BUF,W 26-17,True,26,161,6.19,0,4,4,8,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,49,67%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,26,17
2020.0,2020-10-25,7.0,7.0,21.197,KAN,DEN,W 43-16,True,8,46,5.75,1,4,1,17,17.00,0,25.0%,4.25,,1,6,0,0,0,0,0,0,27,53%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,43,16
2020.0,2020-11-01,8.0,8.0,21.204,KAN,NYJ,W 35-9,True,6,21,3.50,0,3,3,10,3.33,0,100.0%,3.33,,0,0,0,0,0,0,0,0,33,50%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,35,9
2020.0,2020-11-08,9.0,9.0,21.211,KAN,CAR,W 33-31,True,5,14,2.80,0,5,3,20,6.67,1,60.0%,4.00,,1,6,0,0,0,0,0,0,25,40%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,33,31
2020.0,2020-11-22,10.0,11.0,21.225,KAN,LVR,W 35-31,True,14,69,4.93,2,2,1,8,8.00,0,50.0%,4.00,,2,12,0,0,0,0,0,0,40,51%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,35,31
2020.0,2020-11-29,11.0,12.0,21.232,KAN,TAM,W 27-24,True,11,37,3.36,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,47,59%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,27,24
2020.0,2020-12-06,12.0,13.0,,KAN,DEN,W 22-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Clyde Edwards-Helaire,True,22,16
2020.0,2020-12-13,13.0,14.0,21.246,KAN,MIA,W 33-27,True,16,32,2.00,0,6,5,59,11.80,0,83.3%,9.83,,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,33,27
2020.0,2020-12-20,14.0,15.0,21.253,KAN,NOR,W 32-29,True,14,79,5.64,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0,0,0,0,0,0,45,46%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,32,29
2020.0,2020-12-27,15.0,16.0,,KAN,ATL,W 17-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Clyde Edwards-Helaire,True,17,14
2020.0,2021-01-03,16.0,17.0,,KAN,LAC,L 21-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Clyde Edwards-Helaire,False,21,38
2021.0,2021-09-12,1.0,1.0,22.154,KAN,CLE,W 33-29,True,14,43,3.07,0,3,3,29,9.67,0,100.0%,9.67,,0,0,0,0,0,0,0,0,47,72%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,33,29
2021.0,2021-09-19,2.0,2.0,22.161,KAN,BAL,L 35-36,True,13,46,3.54,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,33,65%,0,0%,0,0%,True,Clyde Edwards-Helaire,False,35,36
2021.0,2021-09-26,3.0,3.0,22.168,KAN,LAC,L 24-30,True,17,100,5.88,0,2,2,9,4.50,1,100.0%,4.50,,1,6,1,1,0,0,0,0,49,62%,0,0%,0,0%,False,Clyde Edwards-Helaire,False,24,30
2021.0,2021-10-03,4.0,4.0,22.175,KAN,PHI,W 42-30,True,14,102,7.29,0,3,2,12,6.00,1,66.7%,4.00,,1,6,0,0,0,0,0,0,35,52%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,42,30
2021.0,2021-10-10,5.0,5.0,22.182,KAN,BUF,L 20-38,True,7,13,1.86,0,2,1,11,11.00,0,50.0%,5.50,,0,0,0,0,0,0,0,0,22,26%,0,0%,0,0%,False,Clyde Edwards-Helaire,False,20,38
2021.0,2021-10-17,6.0,6.0,,KAN,WAS,W 31-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Clyde Edwards-Helaire,True,31,13
2021.0,2021-10-24,7.0,7.0,,KAN,TEN,L 3-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Clyde Edwards-Helaire,False,3,27
2021.0,2021-11-01,8.0,8.0,,KAN,NYG,W 20-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Clyde Edwards-Helaire,True,20,17
2021.0,2021-11-07,9.0,9.0,,KAN,GNB,W 13-7,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Clyde Edwards-Helaire,True,13,7
2021.0,2021-11-14,10.0,10.0,,KAN,LVR,W 41-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Clyde Edwards-Helaire,True,41,14
2021.0,2021-11-21,11.0,11.0,22.224,KAN,DAL,W 19-9,True,12,63,5.25,1,2,2,13,6.50,0,100.0%,6.50,,1,6,0,0,0,0,0,0,32,47%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,19,9
2021.0,2021-12-05,12.0,13.0,22.238,KAN,DEN,W 22-9,True,14,54,3.86,0,3,3,28,9.33,0,100.0%,9.33,,0,0,0,0,0,0,0,0,29,51%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,22,9
2021.0,2021-12-12,13.0,14.0,22.245,KAN,LVR,W 48-9,True,10,37,3.70,2,3,3,5,1.67,0,100.0%,1.67,,2,12,0,0,0,1,0,0,23,35%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,48,9
2021.0,2021-12-16,14.0,15.0,22.249,KAN,LAC,W 34-28,True,9,32,3.56,0,4,2,18,9.00,0,50.0%,4.50,1,0,2,0,0,0,0,0,0,51,71%,0,0%,0,0%,True,Clyde Edwards-Helaire,True,34,28
2021.0,2021-12-26,15.0,16.0,22.259,KAN,PIT,W 36-10,True,9,27,3.00,1,1,1,4,4.00,0,100.0%,4.00,,1,6,0,0,0,0,0,0,21,30%,0,0%,0,0%,False,Clyde Edwards-Helaire,True,36,10
2021.0,2022-01-02,16.0,17.0,,KAN,CIN,L 31-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Clyde Edwards-Helaire,False,31,34
2021.0,2022-01-08,17.0,18.0,,KAN,DEN,W 28-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Clyde Edwards-Helaire,True,28,24
