Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,23.355,IND,CHI,True,10,6,82,13.67,0,60.0%,8.20,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,54,82%,0,0%,4,12%,True,False,21,41,Coby Fleener
2012,2012-09-16,2,2,23.362,IND,MIN,True,4,2,16,8.00,0,50.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,50,75%,0,0%,10,33%,False,True,23,20,Coby Fleener
2012,2012-09-23,3,3,24.003,IND,JAX,True,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,43,54%,0,0%,4,13%,False,False,17,22,Coby Fleener
2012,2012-10-07,4,5,24.017,IND,GNB,True,9,5,41,8.20,0,55.6%,4.56,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,53,55%,0,0%,5,15%,False,True,30,27,Coby Fleener
2012,2012-10-14,5,6,24.024,IND,NYJ,True,6,4,42,10.50,0,66.7%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,35,49%,0,0%,3,11%,True,False,9,35,Coby Fleener
2012,2012-10-21,6,7,24.031,IND,CLE,False,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,35,49%,0,0%,3,13%,False,True,17,13,Coby Fleener
2012,2012-10-28,7,8,24.038,IND,TEN,True,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,18,24%,0,0%,1,5%,True,True,19,13,Coby Fleener
2012,2012-11-04,8,9,,IND,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,20,Coby Fleener
2012,2012-11-08,9,10,,IND,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,10,Coby Fleener
2012,2012-11-18,10,11,,IND,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,59,Coby Fleener
2012,2012-11-25,11,12,,IND,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,13,Coby Fleener
2012,2012-12-02,12,13,24.073,IND,DET,True,2,1,26,26.00,1,50.0%,13.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,23,30%,0,0%,0,0%,True,True,35,33,Coby Fleener
2012,2012-12-09,13,14,24.080,IND,TEN,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,32,46%,0,0%,0,0%,False,True,27,23,Coby Fleener
2012,2012-12-16,14,15,24.087,IND,HOU,True,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,35,57%,0,0%,0,0%,True,False,17,29,Coby Fleener
2012,2012-12-23,15,16,24.094,IND,KAN,False,3,1,2,2.00,0,33.3%,0.67,0,0,,0,,0,0,0,0,0,0,0,0,0,1,0,0,28,42%,0,0%,0,0%,True,True,20,13,Coby Fleener
2012,2012-12-30,16,17,24.101,IND,HOU,True,2,1,1,1.00,1,50.0%,0.50,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,45,66%,0,0%,0,0%,False,True,28,16,Coby Fleener
2013,2013-09-08,1,1,24.353,IND,OAK,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,False,True,21,17,Coby Fleener
2013,2013-09-15,2,2,24.360,IND,MIA,True,8,4,69,17.25,1,50.0%,8.63,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,61,84%,0,0%,0,0%,False,False,20,24,Coby Fleener
2013,2013-09-22,3,3,25.002,IND,SFO,False,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,49,68%,0,0%,0,0%,True,True,27,7,Coby Fleener
2013,2013-09-29,4,4,25.009,IND,JAX,False,7,5,77,15.40,1,71.4%,11.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,59,77%,0,0%,0,0%,True,True,37,3,Coby Fleener
2013,2013-10-06,5,5,25.016,IND,SEA,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,False,True,34,28,Coby Fleener
2013,2013-10-14,6,6,25.024,IND,SDG,True,6,3,16,5.33,0,50.0%,2.67,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,36,75%,0,0%,0,0%,True,False,9,19,Coby Fleener
2013,2013-10-20,7,7,25.030,IND,DEN,True,5,5,38,7.60,1,100.0%,7.60,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,49,66%,0,0%,0,0%,False,True,39,33,Coby Fleener
2013,2013-11-03,8,9,25.044,IND,HOU,True,5,3,64,21.33,0,60.0%,12.80,0,0,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,48,77%,0,0%,0,0%,True,True,27,24,Coby Fleener
2013,2013-11-10,9,10,25.051,IND,STL,True,10,4,33,8.25,0,40.0%,3.30,0,0,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,56,76%,0,0%,0,0%,False,False,8,38,Coby Fleener
2013,2013-11-14,10,11,25.055,IND,TEN,False,10,8,107,13.38,0,80.0%,10.70,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,54,76%,0,0%,0,0%,True,True,30,27,Coby Fleener
2013,2013-11-24,11,12,25.065,IND,ARI,True,8,4,55,13.75,1,50.0%,6.88,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,53,88%,0,0%,0,0%,True,False,11,40,Coby Fleener
2013,2013-12-01,12,13,25.072,IND,TEN,True,5,3,50,16.67,0,60.0%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,55,85%,0,0%,0,0%,False,True,22,14,Coby Fleener
2013,2013-12-08,13,14,25.079,IND,CIN,True,9,5,31,6.20,0,55.6%,3.44,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,True,False,28,42,Coby Fleener
2013,2013-12-15,14,15,25.086,IND,HOU,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,False,True,25,3,Coby Fleener
2013,2013-12-22,15,16,25.093,IND,KAN,True,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,53,71%,0,0%,0,0%,True,True,23,7,Coby Fleener
2013,2013-12-29,16,17,25.100,IND,JAX,True,4,1,25,25.00,0,25.0%,6.25,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,35,50%,0,0%,0,0%,False,True,30,10,Coby Fleener
2014,2014-09-07,1,1,25.352,IND,DEN,True,8,3,21,7.00,0,37.5%,2.63,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,49,66%,0,0%,0,0%,True,False,24,31,Coby Fleener
2014,2014-09-15,2,2,25.360,IND,PHI,False,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,52,72%,0,0%,0,0%,False,False,27,30,Coby Fleener
2014,2014-09-21,3,3,26.001,IND,JAX,True,7,4,49,12.25,1,57.1%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,50,67%,0,0%,0,0%,True,True,44,17,Coby Fleener
2014,2014-09-28,4,4,26.008,IND,TEN,False,3,2,26,13.00,1,66.7%,8.67,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,45,52%,0,0%,0,0%,False,True,41,17,Coby Fleener
2014,2014-10-05,5,5,26.015,IND,BAL,True,2,1,30,30.00,0,50.0%,15.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,42,51%,0,0%,0,0%,False,True,20,13,Coby Fleener
2014,2014-10-09,6,6,26.019,IND,HOU,False,4,2,11,5.50,1,50.0%,2.75,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,51,59%,0,0%,0,0%,True,True,33,28,Coby Fleener
2014,2014-10-19,7,7,26.029,IND,CIN,True,5,4,64,16.00,0,80.0%,12.80,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,60,76%,0,0%,0,0%,False,True,27,0,Coby Fleener
2014,2014-10-26,8,8,26.036,IND,PIT,True,4,1,4,4.00,0,25.0%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,True,False,34,51,Coby Fleener
2014,2014-11-03,9,9,26.044,IND,NYG,False,11,4,77,19.25,1,36.4%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,39,52%,0,0%,0,0%,True,True,40,24,Coby Fleener
2014,2014-11-16,10,11,26.057,IND,NWE,True,7,7,144,20.57,0,100.0%,20.57,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,40,70%,0,0%,0,0%,False,False,20,42,Coby Fleener
2014,2014-11-23,11,12,26.064,IND,JAX,True,4,2,28,14.00,0,50.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,56,76%,0,0%,0,0%,False,True,23,3,Coby Fleener
