Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,22.2,PHI,JAX,W 34-17,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,13,36%,False,Cody Parkey,True,34,17
2014.0,2014-09-15,2.0,2.0,22.208,PHI,IND,W 30-27,False,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0%,0,0%,13,41%,True,Cody Parkey,True,30,27
2014.0,2014-09-21,3.0,3.0,22.214,PHI,WAS,W 37-34,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,15,39%,False,Cody Parkey,True,37,34
2014.0,2014-09-28,4.0,4.0,22.221,PHI,SFO,L 21-26,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,22%,True,Cody Parkey,False,21,26
2014.0,2014-10-05,5.0,5.0,22.228,PHI,STL,W 34-28,False,4,4,100.0,2,2,100.0,0,10,0.0,1,0,1,0,0,0,0%,0,0%,13,42%,False,Cody Parkey,True,34,28
2014.0,2014-10-12,6.0,6.0,22.235,PHI,NYG,W 27-0,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,39%,False,Cody Parkey,True,27,0
2014.0,2014-10-26,7.0,8.0,22.249,PHI,ARI,L 20-24,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,28%,True,Cody Parkey,False,20,24
2014.0,2014-11-02,8.0,9.0,22.256,PHI,HOU,W 31-21,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,10,37%,True,Cody Parkey,True,31,21
2014.0,2014-11-10,9.0,10.0,22.264,PHI,CAR,W 45-21,False,6,6,100.0,1,1,100.0,0,9,0.0,0,1,1,0,0,0,0%,0,0%,15,42%,False,Cody Parkey,True,45,21
2014.0,2014-11-16,10.0,11.0,22.27,PHI,GNB,L 20-53,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,8,24%,True,Cody Parkey,False,20,53
2014.0,2014-11-23,11.0,12.0,22.277,PHI,TEN,W 43-24,False,4,4,100.0,5,6,83.3,0,19,0.0,0,0,0,,,0,0%,0,0%,20,53%,False,Cody Parkey,True,43,24
2014.0,2014-11-27,12.0,13.0,22.281,PHI,DAL,W 33-10,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0%,0,0%,15,54%,True,Cody Parkey,True,33,10
2014.0,2014-12-07,13.0,14.0,22.291,PHI,SEA,L 14-24,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,5,17%,False,Cody Parkey,False,14,24
2014.0,2014-12-14,14.0,15.0,22.298,PHI,DAL,L 27-38,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,34%,False,Cody Parkey,False,27,38
2014.0,2014-12-20,15.0,16.0,22.304,PHI,WAS,L 24-27,False,3,3,100.0,1,3,33.3,0,6,0.0,1,0,1,0,0,0,0%,0,0%,11,41%,True,Cody Parkey,False,24,27
2014.0,2014-12-28,16.0,17.0,22.312,PHI,NYG,W 34-26,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,12,31%,True,Cody Parkey,True,34,26
2015.0,2015-09-14,1.0,1.0,23.207,PHI,ATL,L 24-26,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,31%,True,Cody Parkey,False,24,26
2015.0,2015-09-20,2.0,2.0,23.213,PHI,DAL,L 10-20,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,19%,False,Cody Parkey,False,10,20
2015.0,2015-09-27,3.0,3.0,23.22,PHI,NYJ,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,27%,True,Cody Parkey,True,24,17
2015.0,2015-10-04,4.0,4.0,,PHI,WAS,L 20-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Cody Parkey,False,20,23
2015.0,2015-10-11,5.0,5.0,,PHI,NOR,W 39-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Cody Parkey,True,39,17
