Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,21.243,DET,CHI,L 23-27,False,3,8,2.67,1,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,34,44%,0,0%,0,0%,False,D'Andre Swift,False,23,27
2020.0,2020-09-20,2.0,2.0,21.25,DET,GNB,L 21-42,False,5,12,2.40,0,5,5,60,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,20,34%,0,0%,0,0%,True,D'Andre Swift,False,21,42
2020.0,2020-09-27,3.0,3.0,21.257,DET,ARI,W 26-23,False,0,0,,0,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,6,9%,0,0%,5,18%,True,D'Andre Swift,True,26,23
2020.0,2020-10-04,4.0,4.0,21.264,DET,NOR,L 29-35,False,4,22,5.50,0,4,4,30,7.50,1,100.0%,7.50,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,23,38%,0,0%,6,24%,False,D'Andre Swift,False,29,35
2020.0,2020-10-18,5.0,6.0,21.278,DET,JAX,W 34-16,False,14,116,8.29,2,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,0,,,2,12,0,0,0,0,0,0,29,38%,0,0%,3,12%,True,D'Andre Swift,True,34,16
2020.0,2020-10-25,6.0,7.0,21.285,DET,ATL,W 23-22,False,9,27,3.00,1,5,4,21,5.25,0,80.0%,4.20,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,28,46%,0,0%,3,13%,True,D'Andre Swift,True,23,22
2020.0,2020-11-01,7.0,8.0,21.292,DET,IND,L 21-41,False,6,1,0.17,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,38,62%,0,0%,7,23%,False,D'Andre Swift,False,21,41
2020.0,2020-11-08,8.0,9.0,21.299,DET,MIN,L 20-34,False,13,64,4.92,0,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,,,0,0,1,0,0,0,0,0,30,40%,0,0%,6,20%,True,D'Andre Swift,False,20,34
2020.0,2020-11-15,9.0,10.0,21.306,DET,WAS,W 30-27,True,16,81,5.06,0,5,5,68,13.60,1,100.0%,13.60,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,43,73%,0,0%,6,19%,False,D'Andre Swift,True,30,27
2020.0,2020-11-22,10.0,11.0,,DET,CAR,L 0-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,D'Andre Swift,False,0,20
