Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,21.148,CAR,DAL,W 16-8,False,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,25%,0,0%,14,64%,False,D.J. Moore,True,16,8
2018.0,2018-09-16,2.0,2.0,21.155,CAR,ATL,L 24-31,False,2,1,51,51.00,1,50.0%,25.50,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,2,9,4.50,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,25%,0,0%,19,68%,True,D.J. Moore,False,24,31
2018.0,2018-09-23,3.0,3.0,21.162,CAR,CIN,W 31-21,False,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,49%,0,0%,13,50%,False,D.J. Moore,True,31,21
2018.0,2018-10-07,4.0,5.0,21.176,CAR,NYG,W 33-31,False,4,4,49,12.25,0,100.0%,12.25,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,41%,0,0%,3,9%,False,D.J. Moore,True,33,31
2018.0,2018-10-14,5.0,6.0,21.183,CAR,WAS,L 17-23,False,5,4,59,14.75,0,80.0%,11.80,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,,0,0,0.0,0,0,0,,,2,2,0,0,0,0,27,45%,0,0%,12,50%,True,D.J. Moore,False,17,23
2018.0,2018-10-21,6.0,7.0,21.19,CAR,PHI,W 21-17,False,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,1,3,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,46%,0,0%,10,45%,True,D.J. Moore,True,21,17
2018.0,2018-10-28,7.0,8.0,21.197,CAR,BAL,W 36-21,True,6,5,90,18.00,0,83.3%,15.00,2,39,19.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,46,71%,0,0%,2,7%,False,D.J. Moore,True,36,21
2018.0,2018-11-04,8.0,9.0,21.204,CAR,TAM,W 42-28,True,2,1,16,16.00,0,50.0%,8.00,1,32,32.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,53,85%,0,0%,0,0%,False,D.J. Moore,True,42,28
2018.0,2018-11-08,9.0,10.0,21.208,CAR,PIT,L 21-52,True,5,4,20,5.00,0,80.0%,4.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,86%,0,0%,0,0%,True,D.J. Moore,False,21,52
2018.0,2018-11-18,10.0,11.0,21.218,CAR,DET,L 19-20,True,8,7,157,22.43,1,87.5%,19.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,78%,0,0%,1,4%,True,D.J. Moore,False,19,20
