Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,21.268,SEA,,CIN,W 21-20,True,6,4,89,22.25,0,66.7%,14.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,78%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-09-15,2,2,21.275,SEA,@,PIT,W 28-26,True,7,3,61,20.33,1,42.9%,8.71,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,88%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-09-22,3,3,21.282,SEA,,NOR,L 27-33,True,6,2,67,33.50,0,33.3%,11.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,84%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-09-29,4,4,21.289,SEA,@,ARI,W 27-10,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,63%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-10-03,5,5,21.293,SEA,,LAR,W 30-29,False,3,2,44,22.00,1,66.7%,14.67,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,70%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-10-13,6,6,21.303,SEA,@,CLE,W 32-28,True,5,4,69,17.25,0,80.0%,13.80,1,4,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,72%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-10-20,7,7,21.310,SEA,,BAL,L 16-30,True,9,4,53,13.25,0,44.4%,5.89,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,54,76%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-10-27,8,8,21.317,SEA,@,ATL,W 27-20,True,5,3,13,4.33,2,60.0%,2.60,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-11-03,9,9,21.324,SEA,,TAM,W 40-34,True,9,6,123,20.50,1,66.7%,13.67,1,7,7.00,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,70,95%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-11-11,10,10,21.332,SEA,@,SFO,W 27-24,True,10,6,70,11.67,0,60.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,71,97%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-11-24,11,12,21.345,SEA,@,PHI,W 17-9,True,6,3,35,11.67,0,50.0%,5.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,87%,0,0%,0,0%,True,D.K. Metcalf
2019,2019-12-02,12,13,21.353,SEA,,MIN,W 37-30,True,7,6,75,12.50,0,85.7%,10.71,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,60,80%,0,0%,1,3%,False,D.K. Metcalf
2019,2019-12-08,13,14,21.359,SEA,@,LAR,L 12-28,True,6,6,78,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,79%,0,0%,3,12%,True,D.K. Metcalf
2019,2019-12-15,14,15,22.001,SEA,@,CAR,W 30-24,True,4,2,36,18.00,1,50.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,82%,0,0%,3,11%,True,D.K. Metcalf
2019,2019-12-22,15,16,22.008,SEA,,ARI,L 13-27,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,98%,0,0%,0,0%,False,D.K. Metcalf
2019,2019-12-29,16,17,22.015,SEA,,SFO,L 21-26,True,12,6,81,13.50,1,50.0%,6.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,74,99%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-09-13,1,1,22.274,SEA,@,ATL,W 38-25,True,8,4,95,23.75,1,50.0%,11.88,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,98%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-09-20,2,2,22.281,SEA,,NWE,W 35-30,True,6,4,92,23.00,1,66.7%,15.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-09-27,3,3,22.288,SEA,,DAL,W 38-31,True,8,4,110,27.50,1,50.0%,13.75,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,73,96%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-10-04,4,4,22.295,SEA,@,MIA,W 31-23,True,6,4,106,26.50,0,66.7%,17.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-10-11,5,5,22.302,SEA,,MIN,W 27-26,True,11,6,93,15.50,2,54.5%,8.45,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-10-25,6,7,22.316,SEA,@,ARI,L 34-37,True,5,2,23,11.50,0,40.0%,4.60,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,81,96%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-11-01,7,8,22.323,SEA,,SFO,W 37-27,True,15,12,161,13.42,2,80.0%,10.73,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-11-08,8,9,22.330,SEA,@,BUF,L 34-44,True,9,7,108,15.43,1,77.8%,12.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-11-15,9,10,22.337,SEA,@,LAR,L 16-23,True,4,2,28,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,96%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-11-19,10,11,22.341,SEA,,ARI,W 28-21,True,5,3,46,15.33,1,60.0%,9.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-11-30,11,12,22.352,SEA,@,PHI,W 23-17,True,13,10,177,17.70,0,76.9%,13.62,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,82%,0,0%,1,4%,True,D.K. Metcalf
2020,2020-12-06,12,13,22.358,SEA,,NYG,L 12-17,True,8,5,80,16.00,0,62.5%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-12-13,13,14,22.365,SEA,,NYJ,W 40-3,True,8,6,61,10.17,1,75.0%,7.63,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,63%,0,0%,0,0%,False,D.K. Metcalf
2020,2020-12-20,14,15,23.006,SEA,@,WAS,W 20-15,True,6,5,43,8.60,0,83.3%,7.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,89%,0,0%,0,0%,True,D.K. Metcalf
2020,2020-12-27,15,16,23.013,SEA,,LAR,W 20-9,True,8,6,59,9.83,0,75.0%,7.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,False,D.K. Metcalf
2020,2021-01-03,16,17,23.020,SEA,@,SFO,W 26-23,True,9,3,21,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,88%,0,0%,1,3%,True,D.K. Metcalf
2021,2021-09-12,1,1,23.272,SEA,@,IND,W 28-16,True,5,4,60,15.00,1,80.0%,12.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,93%,0,0%,1,4%,True,D.K. Metcalf
2021,2021-09-19,2,2,23.279,SEA,,TEN,L 30-33,True,11,6,53,8.83,0,54.5%,4.82,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,False,D.K. Metcalf
2021,2021-09-26,3,3,23.286,SEA,@,MIN,L 17-30,True,9,6,107,17.83,1,66.7%,11.89,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,89%,0,0%,0,0%,True,D.K. Metcalf
2021,2021-10-03,4,4,23.293,SEA,@,SFO,W 28-21,True,8,4,65,16.25,1,50.0%,8.13,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,1,3%,True,D.K. Metcalf
2021,2021-10-07,5,5,23.297,SEA,,LAR,L 17-26,True,5,5,98,19.60,2,100.0%,19.60,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,False,D.K. Metcalf
2021,2021-10-17,6,6,23.307,SEA,@,PIT,L 20-23,True,7,6,58,9.67,0,85.7%,8.29,0,0,,0,,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,49,75%,0,0%,0,0%,True,D.K. Metcalf
2021,2021-10-25,7,7,23.315,SEA,,NOR,L 10-13,True,5,2,96,48.00,1,40.0%,19.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,False,D.K. Metcalf
2021,2021-10-31,8,8,23.321,SEA,,JAX,W 31-7,True,6,6,43,7.17,2,100.0%,7.17,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,41,72%,0,0%,1,4%,False,D.K. Metcalf
2021,2021-11-14,9,10,23.335,SEA,@,GNB,L 0-17,True,8,3,26,8.67,0,37.5%,3.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,0,0%,True,D.K. Metcalf
2021,2021-11-21,10,11,23.342,SEA,,ARI,L 13-23,True,8,4,31,7.75,0,50.0%,3.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,92%,0,0%,0,0%,False,D.K. Metcalf
2021,2021-11-29,11,12,23.350,SEA,@,WAS,L 15-17,True,4,1,13,13.00,0,25.0%,3.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,94%,0,0%,0,0%,True,D.K. Metcalf
2021,2021-12-05,12,13,23.356,SEA,,SFO,W 30-23,True,8,5,60,12.00,0,62.5%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,89%,0,0%,0,0%,False,D.K. Metcalf
2021,2021-12-12,13,14,23.363,SEA,@,HOU,W 33-13,True,8,4,43,10.75,0,50.0%,5.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,74%,0,0%,1,4%,True,D.K. Metcalf
2021,2021-12-21,14,15,24.007,SEA,@,LAR,L 10-20,True,12,6,52,8.67,0,50.0%,4.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,True,D.K. Metcalf
2021,2021-12-26,15,16,24.012,SEA,,CHI,L 24-25,True,5,2,41,20.50,1,40.0%,8.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,88%,0,0%,0,0%,False,D.K. Metcalf
2021,2022-01-02,16,17,24.019,SEA,,DET,W 51-29,True,9,6,63,10.50,3,66.7%,7.00,1,6,6.00,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,48,67%,0,0%,2,6%,False,D.K. Metcalf
2021,2022-01-09,17,18,24.026,SEA,@,ARI,W 38-30,True,11,5,58,11.60,0,45.5%,5.27,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,88%,0,0%,1,3%,True,D.K. Metcalf
,49 Games,,,,,,,30-19-0,False,358,216,3170,14.68,29,60.3%,8.85,3,17,5.67,0,1,29,176,0.0,1,0,1,0,0,5,4,0,0,0,0,,,,,,,False,D.K. Metcalf
