Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,23.229,MIN,,SFO,W 24-16,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,32%,False,Daniel Carlson
2018,2018-09-16,2,2,23.236,MIN,@,GNB,T 29-29,False,3,3,100.0,,3,0.0,0,3,0.0,0,0,0,,,0,0%,0,0%,11,30%,True,Daniel Carlson
2018,2018-10-28,7,8,23.278,OAK,,IND,L 28-42,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,35%,False,Daniel Carlson
2018,2018-11-01,8,9,23.282,OAK,@,SFO,L 3-34,False,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0%,0,0%,4,15%,True,Daniel Carlson
2018,2018-11-11,9,10,23.292,OAK,,LAC,L 6-20,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,23%,False,Daniel Carlson
2018,2018-11-18,10,11,23.299,OAK,@,ARI,W 23-21,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,10,30%,True,Daniel Carlson
2018,2018-11-25,11,12,23.306,OAK,@,BAL,L 17-34,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,25%,True,Daniel Carlson
2018,2018-12-02,12,13,23.313,OAK,,KAN,L 33-40,False,3,3,100.0,2,2,100.0,0,9,0.0,1,0,1,0,0,0,0%,0,0%,12,38%,False,Daniel Carlson
2018,2018-12-09,13,14,23.320,OAK,,PIT,W 24-21,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,36%,False,Daniel Carlson
2018,2018-12-16,14,15,23.327,OAK,@,CIN,L 16-30,False,1,1,100.0,3,3,100.0,0,10,0.0,0,1,1,0,0,0,0%,0,0%,9,27%,True,Daniel Carlson
2018,2018-12-24,15,16,23.335,OAK,,DEN,W 27-14,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,39%,False,Daniel Carlson
2018,2018-12-30,16,17,23.341,OAK,@,KAN,L 3-35,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,3,16%,True,Daniel Carlson
2019,2019-09-09,1,1,24.229,OAK,,DEN,W 24-16,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,36%,False,Daniel Carlson
2019,2019-09-15,2,2,24.235,OAK,,KAN,L 10-28,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,False,Daniel Carlson
2019,2019-09-22,3,3,24.242,OAK,@,MIN,L 14-34,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,0,0,0%,0,0%,6,24%,True,Daniel Carlson
2019,2019-09-29,4,4,24.249,OAK,@,IND,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,True,Daniel Carlson
2019,2019-10-06,5,5,24.256,OAK,,CHI,W 24-21,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,False,Daniel Carlson
2019,2019-10-20,6,7,24.270,OAK,@,GNB,L 24-42,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,True,Daniel Carlson
2019,2019-10-27,7,8,24.277,OAK,@,HOU,L 24-27,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,30%,True,Daniel Carlson
2019,2019-11-03,8,9,24.284,OAK,,DET,W 31-24,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,12,46%,False,Daniel Carlson
2019,2019-11-07,9,10,24.288,OAK,,LAC,W 26-24,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0%,0,0%,12,41%,False,Daniel Carlson
2019,2019-11-17,10,11,24.298,OAK,,CIN,W 17-10,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,31%,False,Daniel Carlson
2019,2019-11-24,11,12,24.305,OAK,@,NYJ,L 3-34,False,,,,1,2,50.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,13%,True,Daniel Carlson
2019,2019-12-01,12,13,24.312,OAK,@,KAN,L 9-40,False,,1,0.0,1,2,50.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,6,26%,True,Daniel Carlson
2019,2019-12-08,13,14,24.319,OAK,,TEN,L 21-42,False,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0%,0,0%,7,25%,False,Daniel Carlson
2019,2019-12-15,14,15,24.326,OAK,,JAX,L 16-20,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,10,36%,False,Daniel Carlson
2019,2019-12-22,15,16,24.333,OAK,@,LAC,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,33%,True,Daniel Carlson
2019,2019-12-29,16,17,24.340,OAK,@,DEN,L 15-16,False,,,,3,4,75.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,True,Daniel Carlson
2020,2020-09-13,1,1,25.234,LVR,@,CAR,W 34-30,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,13,45%,True,Daniel Carlson
2020,2020-09-21,2,2,25.242,LVR,,NOR,W 34-24,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,12,44%,False,Daniel Carlson
2020,2020-09-27,3,3,25.248,LVR,@,NWE,L 20-36,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0%,0,0%,10,32%,True,Daniel Carlson
2020,2020-10-04,4,4,25.255,LVR,,BUF,L 23-30,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,11,41%,False,Daniel Carlson
2020,2020-10-11,5,5,25.262,LVR,@,KAN,W 40-32,False,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,15,47%,True,Daniel Carlson
2020,2020-10-25,6,7,25.276,LVR,,TAM,L 20-45,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,29%,False,Daniel Carlson
2020,2020-11-01,7,8,25.283,LVR,@,CLE,W 16-6,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,50%,True,Daniel Carlson
