Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,22.104,NYG,@,DAL,L 17-35,False,3,4,75.00,17,0,0,82.3,0,0,4.25,4.25,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,5,7%,0,0%,0,0%,True,Daniel Jones
2019,2019-09-15,2,2,,NYG,,BUF,L 14-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Daniel Jones
2019,2019-09-22,3,3,22.118,NYG,@,TAM,W 32-31,True,23,36,63.89,336,2,0,112.7,5,24,9.33,10.44,4,28,7.00,2,0,0,0,,0,0.0%,,,2,12,2,2,0,0,0,0,62,100%,0,0%,0,0%,True,Daniel Jones
2019,2019-09-29,4,4,22.125,NYG,,WAS,W 24-3,True,23,31,74.19,225,1,2,78.0,0,0,7.26,5.00,5,33,6.60,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,77,100%,0,0%,0,0%,False,Daniel Jones
2019,2019-10-06,5,5,22.132,NYG,,MIN,L 10-28,True,21,38,55.26,182,1,1,65.9,4,35,4.79,4.13,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,False,Daniel Jones
2019,2019-10-10,6,6,22.136,NYG,@,NWE,L 14-35,True,15,31,48.39,161,1,3,35.2,1,0,5.19,1.48,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,True,Daniel Jones
2019,2019-10-20,7,7,22.146,NYG,,ARI,L 21-27,True,22,35,62.86,223,1,1,78.6,8,67,6.37,5.66,4,35,8.75,0,0,0,0,,0,0.0%,,,0,0,3,2,0,0,0,0,70,100%,0,0%,0,0%,False,Daniel Jones
2019,2019-10-27,8,8,22.153,NYG,@,DET,L 26-31,True,28,41,68.29,322,4,0,124.2,3,32,7.85,9.80,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,74,100%,0,0%,0,0%,True,Daniel Jones
2019,2019-11-04,9,9,22.161,NYG,,DAL,L 18-37,True,26,41,63.41,210,1,1,74.2,5,39,5.12,4.51,6,54,9.00,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,0,0,71,100%,0,0%,0,0%,False,Daniel Jones
2019,2019-11-10,10,10,22.167,NYG,@,NYJ,L 27-34,True,26,40,65.00,308,4,0,121.7,6,50,7.70,9.70,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,3,1,0,1,0,0,69,99%,0,0%,0,0%,True,Daniel Jones
