Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-09-27,3.0,3.0,23.329,STL,GNB,L 17-36,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,8,187,23.38,0,2,23,11.50,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,17,36
2009.0,2009-10-04,4.0,4.0,23.336,STL,SFO,L 0-35,False,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,4,82,20.50,0,2,9,4.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,False,0,35
2009.0,2009-10-11,5.0,5.0,23.343,STL,MIN,L 10-38,False,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,6,135,22.50,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Danny Amendola,False,10,38
2009.0,2009-10-18,6.0,6.0,23.35,STL,JAX,L 20-23,False,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,4,125,31.25,0,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,False,20,23
2009.0,2009-10-25,7.0,7.0,23.357,STL,IND,L 6-42,False,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,7,176,25.14,0,2,16,8.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,6,42
2009.0,2009-11-01,8.0,8.0,23.364,STL,DET,W 17-10,False,3,1,13,13.00,0,33.3%,4.33,1,0,0.00,0,0,0,,0,0,0,,,,,,2,40,20.00,0,3,28,9.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,True,17,10
2009.0,2009-11-15,9.0,10.0,24.013,STL,NOR,L 23-28,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,3,64,21.33,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,23,28
2009.0,2009-11-22,10.0,11.0,24.02,STL,ARI,L 13-21,False,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,0,0,,,,,,3,91,30.33,0,2,19,9.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,13,21
2009.0,2009-11-29,11.0,12.0,24.027,STL,SEA,L 17-27,True,11,7,55,7.86,0,63.6%,5.00,0,0,,0,0,0,,0,0,0,,,,,,2,51,25.50,0,2,8,4.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,17,27
2009.0,2009-12-06,12.0,13.0,24.034,STL,CHI,L 9-17,False,3,1,0,0.00,0,33.3%,0.00,1,8,8.00,0,0,0,,0,0,0,,,,,,4,108,27.00,0,5,60,12.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,Danny Amendola,False,9,17
2009.0,2009-12-13,13.0,14.0,24.041,STL,TEN,L 7-47,False,7,5,19,3.80,0,71.4%,2.71,1,-10,-10.00,0,0,0,,0,0,0,,,,,,9,217,24.11,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,False,7,47
2009.0,2009-12-20,14.0,15.0,24.048,STL,HOU,L 13-16,False,3,2,7,3.50,1,66.7%,2.33,0,0,,0,0,0,,0,0,0,,,,,,5,159,31.80,0,1,12,12.00,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,13,16
2009.0,2009-12-27,15.0,16.0,24.055,STL,ARI,L 10-31,False,8,6,38,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,0,,,,,,4,72,18.00,0,3,79,26.33,0,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,,,,,,,True,Danny Amendola,False,10,31
2009.0,2010-01-03,16.0,17.0,24.062,STL,SFO,L 6-28,True,6,3,18,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,5,111,22.20,0,5,73,14.60,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,6,28
2010.0,2010-09-12,1.0,1.0,24.314,STL,ARI,L 13-17,True,9,6,67,11.17,0,66.7%,7.44,0,0,,0,0,0,,0,0,0,,,,,,1,22,22.00,0,3,28,9.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,False,13,17
2010.0,2010-09-19,2.0,2.0,24.321,STL,OAK,L 14-16,True,7,4,39,9.75,0,57.1%,5.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,False,14,16
2010.0,2010-09-26,3.0,3.0,24.328,STL,WAS,W 30-16,False,7,6,56,9.33,0,85.7%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,21,10.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,True,30,16
2010.0,2010-10-03,4.0,4.0,24.335,STL,SEA,W 20-3,False,8,5,46,9.20,0,62.5%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,19,4.75,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,True,20,3
2010.0,2010-10-10,5.0,5.0,24.342,STL,DET,L 6-44,True,19,12,95,7.92,0,63.2%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,37,18.50,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,Danny Amendola,False,6,44
2010.0,2010-10-17,6.0,6.0,24.349,STL,SDG,W 20-17,False,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,0,,,,,,2,46,23.00,0,4,72,18.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,True,20,17
2010.0,2010-10-24,7.0,7.0,24.356,STL,TAM,L 17-18,False,5,3,29,9.67,1,60.0%,5.80,1,21,21.00,0,0,0,,0,0,0,,,,,,6,138,23.00,0,2,18,9.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Amendola,False,17,18
2010.0,2010-10-31,8.0,8.0,24.363,STL,CAR,W 20-10,False,7,6,28,4.67,1,85.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,2,45,22.50,0,3,13,4.33,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Amendola,True,20,10
