Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,22.320,CHI,@,DET,W 27-23,False,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,0,0%,True,Darnell Mooney
2020,2020-09-20,2,2,22.327,CHI,,NYG,W 17-13,True,3,3,36,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,39,60%,0,0%,0,0%,False,Darnell Mooney
2020,2020-09-27,3,3,22.334,CHI,@,ATL,W 30-26,False,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,62%,0,0%,0,0%,True,Darnell Mooney
2020,2020-10-04,4,4,22.341,CHI,,IND,L 11-19,False,9,5,52,10.40,0,55.6%,5.78,1,-3,-3.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,1,4%,False,Darnell Mooney
2020,2020-10-08,5,5,22.345,CHI,,TAM,W 20-19,False,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,False,Darnell Mooney
2020,2020-10-18,6,6,22.355,CHI,@,CAR,W 23-16,False,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,True,Darnell Mooney
2020,2020-10-26,7,7,22.363,CHI,@,LAR,L 10-24,False,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,0,0%,True,Darnell Mooney
2020,2020-11-01,8,8,23.003,CHI,,NOR,L 23-26,True,6,5,69,13.80,1,83.3%,11.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,False,Darnell Mooney
2020,2020-11-08,9,9,23.010,CHI,@,TEN,L 17-24,True,11,5,43,8.60,0,45.5%,3.91,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,1,3%,True,Darnell Mooney
2020,2020-11-16,10,10,23.018,CHI,,MIN,L 13-19,True,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,92%,0,0%,0,0%,False,Darnell Mooney
