Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-09-08,1,1,21.012,OAK,,DEN,L 14-41,True,9,46,5.11,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2008,2008-09-14,2,2,21.018,OAK,@,KAN,W 23-8,True,21,164,7.81,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,2,1,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-09-21,3,3,21.025,OAK,@,BUF,L 23-24,True,14,42,3.00,0,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-09-28,4,4,21.032,OAK,,SDG,L 18-28,True,7,20,2.86,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2008,2008-10-12,5,6,21.046,OAK,@,NOR,L 3-34,False,8,30,3.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-10-19,6,7,21.053,OAK,,NYJ,W 16-13,False,8,39,4.88,0,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2008,2008-10-26,7,8,,OAK,@,BAL,L 10-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2008,2008-11-02,8,9,,OAK,,ATL,L 0-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2008,2008-11-09,9,10,,OAK,,CAR,L 6-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2008,2008-11-16,10,11,21.081,OAK,@,MIA,L 15-17,False,3,13,4.33,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,1,5,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-11-23,11,12,21.088,OAK,@,DEN,W 31-10,False,10,38,3.80,2,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-11-30,12,13,21.095,OAK,,KAN,L 13-20,False,7,13,1.86,0,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,0,0,1,0,0,,,,,,,False,Darren McFadden
2008,2008-12-04,13,14,21.099,OAK,@,SDG,L 7-34,False,1,0,0.00,0,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2008,2008-12-14,14,15,21.109,OAK,,NWE,L 26-49,False,12,46,3.83,1,3,3,68,22.67,0,100.0%,22.67,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Darren McFadden
2008,2008-12-21,15,16,21.116,OAK,,HOU,W 27-16,False,12,46,3.83,0,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2008,2008-12-28,16,17,21.123,OAK,@,TAM,W 31-24,True,1,2,2.00,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-09-14,1,1,22.018,OAK,,SDG,L 20-24,True,17,68,4.00,0,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Darren McFadden
2009,2009-09-20,2,2,22.024,OAK,@,KAN,W 13-10,True,12,35,2.92,1,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-09-27,3,3,22.031,OAK,,DEN,L 3-23,True,12,45,3.75,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,3,1,0,0,0,0,,,,,,,False,Darren McFadden
2009,2009-10-04,4,4,22.038,OAK,@,HOU,L 6-29,True,6,-2,-0.33,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-10-11,5,5,,OAK,@,NYG,L 7-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2009,2009-10-18,6,6,,OAK,,PHI,W 13-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2009,2009-10-25,7,7,,OAK,,NYJ,L 0-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2009,2009-11-01,8,8,,OAK,@,SDG,L 16-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2009,2009-11-15,9,10,22.080,OAK,,KAN,L 10-16,False,4,11,2.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2009,2009-11-22,10,11,22.087,OAK,,CIN,W 20-17,False,6,25,4.17,0,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2009,2009-11-26,11,12,22.091,OAK,@,DAL,L 7-24,True,6,23,3.83,0,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-12-06,12,13,22.101,OAK,@,PIT,W 27-24,False,9,25,2.78,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-12-13,13,14,22.108,OAK,,WAS,L 13-34,False,8,21,2.63,0,4,3,84,28.00,0,75.0%,21.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2009,2009-12-20,14,15,22.115,OAK,@,DEN,W 20-19,False,12,74,6.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,Darren McFadden
2009,2009-12-27,15,16,22.122,OAK,@,CLE,L 9-23,True,7,23,3.29,0,5,4,55,13.75,0,80.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
