Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-09,1.0,1.0,21.095,HOU,SDG,W 31-28,True,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,61,80%,0,0%,0,0%,True,DeAndre Hopkins,True,31,28
2013.0,2013-09-15,2.0,2.0,21.101,HOU,TEN,W 30-24,True,13,7,117,16.71,1,53.8%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,75,91%,0,0%,0,0%,False,DeAndre Hopkins,True,30,24
2013.0,2013-09-22,3.0,3.0,21.108,HOU,BAL,L 9-30,True,7,6,60,10.00,0,85.7%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,DeAndre Hopkins,False,9,30
2013.0,2013-09-29,4.0,4.0,21.115,HOU,SEA,L 20-23,True,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,81,89%,0,0%,0,0%,False,DeAndre Hopkins,False,20,23
2013.0,2013-10-06,5.0,5.0,21.122,HOU,SFO,L 3-34,True,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,67,89%,0,0%,0,0%,True,DeAndre Hopkins,False,3,34
2013.0,2013-10-13,6.0,6.0,21.129,HOU,STL,L 13-38,True,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,1,1,0,0,0,0,61,80%,0,0%,0,0%,False,DeAndre Hopkins,False,13,38
2013.0,2013-10-20,7.0,7.0,21.136,HOU,KAN,L 16-17,True,4,3,76,25.33,1,75.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,0,0%,True,DeAndre Hopkins,False,16,17
2013.0,2013-11-03,8.0,9.0,21.15,HOU,IND,L 24-27,True,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,65,96%,0,0%,0,0%,False,DeAndre Hopkins,False,24,27
2013.0,2013-11-10,9.0,10.0,21.157,HOU,ARI,L 24-27,True,11,6,69,11.50,0,54.5%,6.27,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,61,90%,0,0%,0,0%,True,DeAndre Hopkins,False,24,27
2013.0,2013-11-17,10.0,11.0,21.164,HOU,OAK,L 23-28,True,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,46,63%,0,0%,0,0%,False,DeAndre Hopkins,False,23,28
2013.0,2013-11-24,11.0,12.0,21.171,HOU,JAX,L 6-13,True,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,54,95%,0,0%,0,0%,False,DeAndre Hopkins,False,6,13
2013.0,2013-12-01,12.0,13.0,21.178,HOU,NWE,L 31-34,True,5,2,77,38.50,0,40.0%,15.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,56,93%,0,0%,0,0%,False,DeAndre Hopkins,False,31,34
2013.0,2013-12-05,13.0,14.0,21.182,HOU,JAX,L 20-27,True,7,3,76,25.33,0,42.9%,10.86,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,74,89%,0,0%,0,0%,True,DeAndre Hopkins,False,20,27
2013.0,2013-12-15,14.0,15.0,21.192,HOU,IND,L 3-25,True,5,3,52,17.33,0,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,True,DeAndre Hopkins,False,3,25
2013.0,2013-12-22,15.0,16.0,21.199,HOU,DEN,L 13-37,True,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,0,0%,False,DeAndre Hopkins,False,13,37
2013.0,2013-12-29,16.0,17.0,21.206,HOU,TEN,L 10-16,True,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,True,DeAndre Hopkins,False,10,16
2014.0,2014-09-07,1.0,1.0,22.093,HOU,WAS,W 17-6,True,5,4,89,22.25,1,80.0%,17.80,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,55,92%,1,2%,0,0%,False,DeAndre Hopkins,True,17,6
2014.0,2014-09-14,2.0,2.0,22.1,HOU,OAK,W 30-14,True,5,3,22,7.33,1,60.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,True,DeAndre Hopkins,True,30,14
2014.0,2014-09-21,3.0,3.0,22.107,HOU,NYG,L 17-30,True,9,6,116,19.33,0,66.7%,12.89,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,True,DeAndre Hopkins,False,17,30
2014.0,2014-09-28,4.0,4.0,22.114,HOU,BUF,W 23-17,True,6,5,64,12.80,1,83.3%,10.67,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,0,0,0,63,93%,0,0%,0,0%,False,DeAndre Hopkins,True,23,17
2014.0,2014-10-05,5.0,5.0,22.121,HOU,DAL,L 17-20,True,6,6,63,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,2,7%,True,DeAndre Hopkins,False,17,20
2014.0,2014-10-09,6.0,6.0,22.125,HOU,IND,L 28-33,True,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,False,DeAndre Hopkins,False,28,33
2014.0,2014-10-20,7.0,7.0,22.136,HOU,PIT,L 23-30,True,9,6,108,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,1,1,0,0,0,0,58,92%,0,0%,0,0%,True,DeAndre Hopkins,False,23,30
2014.0,2014-10-26,8.0,8.0,22.142,HOU,TEN,W 30-16,True,11,5,95,19.00,0,45.5%,8.64,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,75,91%,0,0%,1,3%,True,DeAndre Hopkins,True,30,16
2014.0,2014-11-02,9.0,9.0,22.149,HOU,PHI,L 21-31,True,11,6,115,19.17,1,54.5%,10.45,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,0,1,0,0,56,93%,0,0%,0,0%,False,DeAndre Hopkins,False,21,31
2014.0,2014-11-16,10.0,11.0,22.163,HOU,CLE,W 23-7,True,8,4,80,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,82,95%,0,0%,0,0%,True,DeAndre Hopkins,True,23,7
