Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,23.202,OAK,NOR,W 35-34,False,5,14,2.80,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,DeAndre Washington,True,35,34
2016.0,2016-09-18,2.0,2.0,23.209,OAK,ATL,L 28-35,False,7,46,6.57,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,20%,0,0%,1,3%,False,DeAndre Washington,False,28,35
2016.0,2016-09-25,3.0,3.0,23.216,OAK,TEN,W 17-10,False,6,57,9.50,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,0,0%,True,DeAndre Washington,True,17,10
2016.0,2016-10-02,4.0,4.0,23.223,OAK,BAL,W 28-27,False,5,30,6.00,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,10,17%,0,0%,6,18%,True,DeAndre Washington,True,28,27
2016.0,2016-10-09,5.0,5.0,23.23,OAK,SDG,W 34-31,False,9,23,2.56,0,6,5,29,5.80,0,83.3%,4.83,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,51%,0,0%,9,30%,False,DeAndre Washington,True,34,31
2016.0,2016-10-16,6.0,6.0,23.237,OAK,KAN,L 10-26,True,10,49,4.90,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,32,58%,0,0%,6,26%,False,DeAndre Washington,False,10,26
2016.0,2016-10-23,7.0,7.0,23.244,OAK,JAX,W 33-16,True,5,16,3.20,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,6,17%,True,DeAndre Washington,True,33,16
2016.0,2016-10-30,8.0,8.0,23.251,OAK,TAM,W 30-24,False,5,32,6.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,30%,0,0%,6,18%,True,DeAndre Washington,True,30,24
2016.0,2016-11-06,9.0,9.0,23.258,OAK,DEN,W 30-20,False,10,35,3.50,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,20%,0,0%,4,12%,False,DeAndre Washington,True,30,20
2016.0,2016-11-21,10.0,11.0,23.273,OAK,HOU,W 27-20,False,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,8%,0,0%,5,19%,False,DeAndre Washington,True,27,20
