Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2006.0,2006-09-10,1.0,1.0,23.138,CAR,ATL,L 6-20,False,0,0,,0,1,1,8,8.00,0,100.0%,8.00,3,64,21.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,DeAngelo Williams,False,6,20
2006.0,2006-09-17,2.0,2.0,23.145,CAR,MIN,L 13-16,False,13,74,5.69,1,7,5,24,4.80,0,71.4%,3.43,4,86,21.50,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,DeAngelo Williams,False,13,16
2006.0,2006-09-24,3.0,3.0,23.152,CAR,TAM,W 26-24,False,4,-1,-0.25,0,0,0,0,,0,0.0%,,3,70,23.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,DeAngelo Williams,True,26,24
2006.0,2006-10-01,4.0,4.0,23.159,CAR,NOR,W 21-18,False,8,62,7.75,0,1,1,9,9.00,0,100.0%,9.00,3,56,18.67,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,DeAngelo Williams,True,21,18
2006.0,2006-10-08,5.0,5.0,23.166,CAR,CLE,W 20-12,False,1,4,4.00,0,0,0,0,,0,0.0%,,1,26,26.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,DeAngelo Williams,True,20,12
2006.0,2006-10-15,6.0,6.0,,CAR,BAL,W 23-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAngelo Williams,True,23,21
2006.0,2006-10-22,7.0,7.0,,CAR,CIN,L 14-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeAngelo Williams,False,14,17
2006.0,2006-10-29,8.0,8.0,,CAR,DAL,L 14-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeAngelo Williams,False,14,35
2006.0,2006-11-13,9.0,10.0,23.202,CAR,TAM,W 24-10,False,7,19,2.71,0,1,1,11,11.00,0,100.0%,11.00,3,54,18.00,0,,0,0,0.0,,,,,,0,0,0,0,0,0,,,,,,,False,DeAngelo Williams,True,24,10
2006.0,2006-11-19,10.0,11.0,23.208,CAR,STL,W 15-0,False,20,114,5.70,0,2,2,24,12.00,0,100.0%,12.00,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,DeAngelo Williams,True,15,0
