Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021.0,2021-09-12,1.0,1.0,22.302,PHI,@,ATL,W 32-6,True,8,6,71,11.83,1,75.0%,8.88,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62.0,87%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-09-19,2.0,2.0,22.309,PHI,,SFO,L 11-17,True,7,2,16,8.0,0,28.6%,2.29,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49.0,84%,0.0,0%,0.0,0%,False,DeVonta Smith
2021.0,2021-09-27,3.0,3.0,22.317,PHI,@,DAL,L 21-41,True,6,3,28,9.33,0,50.0%,4.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57.0,98%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-10-03,4.0,4.0,22.323,PHI,,KAN,L 30-42,True,10,7,122,17.43,0,70.0%,12.2,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68.0,92%,0.0,0%,0.0,0%,False,DeVonta Smith
2021.0,2021-10-10,5.0,5.0,22.33,PHI,@,CAR,W 21-18,True,9,7,77,11.0,0,77.8%,8.56,1.0,0,2,0.0,0,0,0,0,0,1,1,0,0,0,0,62.0,93%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-10-14,6.0,6.0,22.334,PHI,,TAM,L 22-28,True,4,2,31,15.5,0,50.0%,7.75,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51.0,98%,0.0,0%,0.0,0%,False,DeVonta Smith
2021.0,2021-10-24,7.0,7.0,22.344,PHI,@,LVR,L 22-33,True,9,5,61,12.2,0,55.6%,6.78,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60.0,87%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-10-31,8.0,8.0,22.351,PHI,@,DET,W 44-6,True,3,1,15,15.0,0,33.3%,5.0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44.0,68%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-11-07,9.0,9.0,22.358,PHI,,LAC,L 24-27,True,6,5,116,23.2,1,83.3%,19.33,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,44.0,77%,0.0,0%,0.0,0%,False,DeVonta Smith
2021.0,2021-11-14,10.0,10.0,23.0,PHI,@,DEN,W 30-13,True,6,4,66,16.5,2,66.7%,11.0,,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,54.0,84%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-11-21,11.0,11.0,23.007,PHI,,NOR,W 40-29,True,6,4,61,15.25,0,66.7%,10.17,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72.0,92%,0.0,0%,1.0,3%,False,DeVonta Smith
2021.0,2021-11-28,12.0,12.0,23.014,PHI,@,NYG,L 7-13,True,4,2,22,11.0,0,50.0%,5.5,,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,61.0,91%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-12-05,13.0,13.0,23.021,PHI,@,NYJ,W 33-18,False,4,2,15,7.5,0,50.0%,3.75,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44.0,62%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2021-12-21,14.0,15.0,23.037,PHI,,WAS,W 27-17,True,5,3,40,13.33,0,60.0%,8.0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62.0,87%,0.0,0%,0.0,0%,False,DeVonta Smith
2021.0,2021-12-26,15.0,16.0,23.042,PHI,,NYG,W 34-10,True,7,5,80,16.0,1,71.4%,11.43,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54.0,86%,0.0,0%,1.0,3%,False,DeVonta Smith
2021.0,2022-01-02,16.0,17.0,23.049,PHI,@,WAS,W 20-16,True,6,3,54,18.0,0,50.0%,9.0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58.0,95%,0.0,0%,0.0,0%,True,DeVonta Smith
2021.0,2022-01-08,17.0,18.0,23.055,PHI,,DAL,L 26-51,True,4,3,41,13.67,0,75.0%,10.25,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14.0,19%,0.0,0%,0.0,0%,False,DeVonta Smith
,17 Games,,,,,,,9-8-0,False,104,64,916,14.31,5,61.5%,8.81,1.0,5,32,0.0,1,0,1,0,0,1,1,1,0,0,0,,,,,,,False,DeVonta Smith
