Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,23.236,SFO,TAM,W 31-17,True,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,0,0,1,1,0,0,0,0,59,88%,0,0%,0,0%,True,Deebo Samuel,True,31,17
2019.0,2019-09-15,2.0,2.0,23.243,SFO,CIN,W 41-17,True,7,5,86,17.20,1,71.4%,12.29,2,7,3.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,39%,0,0%,0,0%,True,Deebo Samuel,True,41,17
2019.0,2019-09-22,3.0,3.0,23.25,SFO,PIT,W 24-20,False,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,52%,0,0%,0,0%,False,Deebo Samuel,True,24,20
2019.0,2019-10-07,4.0,5.0,23.265,SFO,CLE,W 31-3,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,46%,0,0%,0,0%,False,Deebo Samuel,True,31,3
2019.0,2019-10-13,5.0,6.0,23.271,SFO,LAR,W 20-7,False,5,3,18,6.00,0,60.0%,3.60,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,61%,0,0%,0,0%,True,Deebo Samuel,True,20,7
2019.0,2019-10-20,6.0,7.0,,SFO,WAS,W 9-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Deebo Samuel,True,9,0
2019.0,2019-10-27,7.0,8.0,23.285,SFO,CAR,W 51-13,True,3,3,19,6.33,0,100.0%,6.33,2,29,14.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,False,Deebo Samuel,True,51,13
2019.0,2019-10-31,8.0,9.0,23.289,SFO,ARI,W 28-25,True,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,True,Deebo Samuel,True,28,25
2019.0,2019-11-11,9.0,10.0,23.3,SFO,SEA,L 24-27,True,11,8,112,14.00,0,72.7%,10.18,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,84%,0,0%,0,0%,False,Deebo Samuel,False,24,27
2019.0,2019-11-17,10.0,11.0,23.306,SFO,ARI,W 36-26,True,10,8,134,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,78%,0,0%,0,0%,False,Deebo Samuel,True,36,26
2019.0,2019-11-24,11.0,12.0,23.313,SFO,GNB,W 37-8,False,2,2,50,25.00,1,100.0%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,73%,0,0%,0,0%,False,Deebo Samuel,True,37,8
2019.0,2019-12-01,12.0,13.0,23.32,SFO,BAL,L 17-20,True,4,2,41,20.50,1,50.0%,10.25,1,20,20.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,True,Deebo Samuel,False,17,20
2019.0,2019-12-08,13.0,14.0,23.327,SFO,NOR,W 48-46,True,8,5,76,15.20,0,62.5%,9.50,2,33,16.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,78%,0,0%,0,0%,True,Deebo Samuel,True,48,46
2019.0,2019-12-15,14.0,15.0,23.334,SFO,ATL,L 22-29,True,3,1,29,29.00,0,33.3%,9.67,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,89%,0,0%,1,3%,False,Deebo Samuel,False,22,29
2019.0,2019-12-21,15.0,16.0,23.34,SFO,LAR,W 34-31,True,6,4,31,7.75,0,66.7%,5.17,3,28,9.33,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,82%,0,0%,0,0%,False,Deebo Samuel,True,34,31
2019.0,2019-12-29,16.0,17.0,23.348,SFO,SEA,W 26-21,True,5,5,102,20.40,0,100.0%,20.40,2,33,16.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,39,78%,0,0%,0,0%,True,Deebo Samuel,True,26,21
2020.0,2020-09-13,1.0,1.0,,SFO,ARI,L 20-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Deebo Samuel,False,20,24
2020.0,2020-09-20,2.0,2.0,,SFO,NYJ,W 31-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Deebo Samuel,True,31,13
