Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-09-09,1,1,23.053,NWE,PIT,False,9,6,83,13.83,1,66.7%,9.22,0,0,,0,2,51,25.50,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,30,14,Deion Branch
2002,2002-09-15,2,2,23.059,NWE,NYJ,False,5,3,65,21.67,1,60.0%,13.00,0,0,,0,1,17,17.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,44,7,Deion Branch
2002,2002-09-22,3,3,23.066,NWE,KAN,True,8,6,33,5.50,0,75.0%,4.13,0,0,,0,7,201,28.71,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,41,38,Deion Branch
2002,2002-09-29,4,4,23.073,NWE,SDG,True,15,13,128,9.85,0,86.7%,8.53,1,4,4.00,0,1,26,26.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,21,Deion Branch
2002,2002-10-06,5,5,23.080,NWE,MIA,True,6,4,61,15.25,0,66.7%,10.17,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,26,Deion Branch
2002,2002-10-13,6,6,23.087,NWE,GNB,True,10,5,38,7.60,0,50.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,28,Deion Branch
2002,2002-10-27,7,8,23.101,NWE,DEN,False,2,0,0,,0,0.0%,0.00,0,0,,0,3,60,20.00,0,1,40,40.00,0,0,0,1,0,0,1,0,0,,,,,,,False,False,16,24,Deion Branch
2002,2002-11-03,8,9,23.108,NWE,BUF,True,1,0,0,,0,0.0%,0.00,1,-4,-4.00,0,2,39,19.50,0,1,18,18.00,0,0,0,0,,0,0,0,0,,,,,,,True,True,38,7,Deion Branch
2002,2002-11-10,9,10,23.115,NWE,CHI,False,2,1,9,9.00,0,50.0%,4.50,0,0,,0,7,156,22.29,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,33,30,Deion Branch
2002,2002-11-17,10,11,23.122,NWE,OAK,True,4,3,11,3.67,0,75.0%,2.75,0,0,,0,4,78,19.50,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,27,Deion Branch
