Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-09-08,1,1,22.351,JAX,KAN,False,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,0,0%,False,False,2,28,Denard Robinson
2013,2013-09-15,2,2,22.358,JAX,OAK,False,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,11,38%,True,False,9,19,Denard Robinson
2013,2013-09-22,3,3,23.000,JAX,SEA,False,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,54,27.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,3,5%,0,0%,23,70%,True,False,17,45,Denard Robinson
2013,2013-09-29,4,4,23.007,JAX,IND,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,8,30%,False,False,3,37,Denard Robinson
2013,2013-10-06,5,5,23.014,JAX,STL,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,4,11%,True,False,20,34,Denard Robinson
2013,2013-10-13,6,6,23.021,JAX,DEN,False,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,4,14%,True,False,19,35,Denard Robinson
2013,2013-10-20,7,7,23.028,JAX,SDG,False,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,8,40%,False,False,6,24,Denard Robinson
2013,2013-10-27,8,8,23.035,JAX,SFO,False,4,15,3.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,2,9%,False,False,10,42,Denard Robinson
2013,2013-11-10,9,10,23.049,JAX,TEN,False,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,4,7%,0,0%,13,37%,True,True,29,27,Denard Robinson
2013,2013-11-17,10,11,23.056,JAX,ARI,False,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,19,56%,False,False,14,27,Denard Robinson
2013,2013-11-24,11,12,23.063,JAX,HOU,False,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,19,73%,True,True,13,6,Denard Robinson
2013,2013-12-01,12,13,23.070,JAX,CLE,False,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,1%,0,0%,22,65%,True,True,32,28,Denard Robinson
2013,2013-12-05,13,14,23.074,JAX,HOU,False,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,17,50%,False,True,27,20,Denard Robinson
2013,2013-12-15,14,15,23.084,JAX,BUF,False,2,28,14.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,9,12%,0,0%,3,11%,False,False,20,27,Denard Robinson
2013,2013-12-22,15,16,23.091,JAX,TEN,False,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,12,52%,False,False,16,20,Denard Robinson
2013,2013-12-29,16,17,23.098,JAX,IND,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,1,1%,0,0%,14,52%,True,False,10,30,Denard Robinson
2014,2014-09-07,1,1,23.350,JAX,PHI,False,3,8,2.67,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,16,44%,True,False,17,34,Denard Robinson
2014,2014-09-14,2,2,23.357,JAX,WAS,False,0,0,,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,18%,0,0%,16,48%,True,False,10,41,Denard Robinson
2014,2014-09-21,3,3,23.364,JAX,IND,False,8,33,4.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,33%,0,0%,10,32%,False,False,17,44,Denard Robinson
