Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,22.251,TEN,,MIN,L 16-25,True,5,3,0.60,0,2,2,41,20.50,0,100.0%,20.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,21,31%,0,0%,0,0%,False,Derrick Henry
2016,2016-09-18,2,2,22.258,TEN,@,DET,W 16-15,False,9,40,4.44,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,True,Derrick Henry
2016,2016-09-25,3,3,22.265,TEN,,OAK,L 10-17,False,10,45,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,24,35%,0,0%,0,0%,False,Derrick Henry
2016,2016-10-02,4,4,22.272,TEN,@,HOU,L 20-27,False,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,True,Derrick Henry
2016,2016-10-09,5,5,22.279,TEN,@,MIA,W 30-17,False,7,54,7.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,22,30%,0,0%,0,0%,True,Derrick Henry
2016,2016-10-16,6,6,22.286,TEN,,CLE,W 28-26,False,2,7,3.50,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,False,Derrick Henry
2016,2016-10-23,7,7,22.293,TEN,,IND,L 26-34,False,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,6,8%,0,0%,0,0%,False,Derrick Henry
2016,2016-10-27,8,8,22.297,TEN,,JAX,W 36-22,False,16,60,3.75,1,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,Derrick Henry
2016,2016-11-06,9,9,,TEN,@,SDG,L 35-43,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Derrick Henry
2016,2016-11-13,10,10,22.314,TEN,,GNB,W 47-25,False,9,31,3.44,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,19,32%,0,0%,0,0%,False,Derrick Henry
