Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,22.176,ATL,NOR,W 37-34,False,2,15,7.50,0,2,2,18,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,0,0%,False,Devonta Freeman,True,37,34
2014.0,2014-09-14,2.0,2.0,22.183,ATL,CIN,L 10-24,False,0,0,,0,3,2,22,11.00,0,66.7%,7.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,4,15%,True,Devonta Freeman,False,10,24
2014.0,2014-09-18,3.0,3.0,22.187,ATL,TAM,W 56-14,False,11,12,1.09,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,,,1,1,0,0,0,0,21,31%,0,0%,0,0%,False,Devonta Freeman,True,56,14
2014.0,2014-09-28,4.0,4.0,22.197,ATL,MIN,L 28-41,False,2,8,4.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,2,6%,True,Devonta Freeman,False,28,41
2014.0,2014-10-05,5.0,5.0,22.204,ATL,NYG,L 20-30,False,4,38,9.50,0,6,5,44,8.80,0,83.3%,7.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,22%,0,0%,3,10%,True,Devonta Freeman,False,20,30
2014.0,2014-10-12,6.0,6.0,22.211,ATL,CHI,L 13-27,False,2,5,2.50,0,3,2,26,13.00,0,66.7%,8.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,18%,0,0%,5,18%,False,Devonta Freeman,False,13,27
2014.0,2014-10-19,7.0,7.0,22.218,ATL,BAL,L 7-29,False,2,20,10.00,0,5,5,17,3.40,0,100.0%,3.40,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,4,17%,True,Devonta Freeman,False,7,29
2014.0,2014-10-26,8.0,8.0,22.225,ATL,DET,L 21-22,False,3,5,1.67,0,1,1,7,7.00,1,100.0%,7.00,1,6,0.0,1,0,1,,,0,0,0,0,0,0,7,12%,0,0%,2,9%,False,Devonta Freeman,False,21,22
2014.0,2014-11-09,9.0,10.0,22.239,ATL,TAM,W 27-17,False,3,16,5.33,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,15%,0,0%,9,38%,True,Devonta Freeman,True,27,17
2014.0,2014-11-16,10.0,11.0,22.246,ATL,CAR,W 19-17,False,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,13,18%,0,0%,13,39%,True,Devonta Freeman,True,19,17
2014.0,2014-11-23,11.0,12.0,22.253,ATL,CLE,L 24-26,False,5,7,1.40,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,6,22%,False,Devonta Freeman,False,24,26
2014.0,2014-11-30,12.0,13.0,22.26,ATL,ARI,W 29-18,False,8,26,3.25,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,27%,0,0%,12,41%,False,Devonta Freeman,True,29,18
2014.0,2014-12-08,13.0,14.0,22.268,ATL,GNB,L 37-43,False,2,-2,-1.00,0,2,2,10,5.00,0,100.0%,5.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,19%,0,0%,9,27%,True,Devonta Freeman,False,37,43
