Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,22.155,IND,JAX,False,11,33,3.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,14,12,Donald Brown
2009,2009-09-21,2,2,22.163,IND,MIA,False,4,26,6.50,1,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,23,Donald Brown
2009,2009-09-27,3,3,22.169,IND,ARI,False,14,40,2.86,0,2,1,72,72.00,0,50.0%,36.00,1,21,21.00,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,True,31,10,Donald Brown
2009,2009-10-04,4,4,22.176,IND,SEA,False,9,33,3.67,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,34,17,Donald Brown
2009,2009-10-11,5,5,22.183,IND,TEN,False,6,22,3.67,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,9,Donald Brown
2009,2009-10-25,6,7,22.197,IND,STL,False,2,58,29.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,42,6,Donald Brown
2009,2009-11-01,7,8,,IND,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,18,14,Donald Brown
2009,2009-11-08,8,9,,IND,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,17,Donald Brown
2009,2009-11-15,9,10,22.218,IND,NWE,False,4,14,3.50,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,34,Donald Brown
2009,2009-11-22,10,11,22.225,IND,BAL,False,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,17,15,Donald Brown
2009,2009-11-29,11,12,22.232,IND,HOU,False,5,27,5.40,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,35,27,Donald Brown
2009,2009-12-06,12,13,,IND,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,17,Donald Brown
2009,2009-12-13,13,14,,IND,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,28,16,Donald Brown
