Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,21.032,IND,DEN,L 24-31,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,15,52%,True,Donte Moncrief,False,24,31
2014.0,2014-09-15,2.0,2.0,21.04,IND,PHI,L 27-30,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,16,50%,False,Donte Moncrief,False,27,30
2014.0,2014-09-21,3.0,3.0,21.046,IND,JAX,W 44-17,False,5,4,55,13.75,0,80.0%,11.00,1,7,7.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,32%,0,0%,17,55%,True,Donte Moncrief,True,44,17
2014.0,2014-09-28,4.0,4.0,21.053,IND,TEN,W 41-17,False,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,30%,0,0%,16,50%,False,Donte Moncrief,True,41,17
2014.0,2014-10-05,5.0,5.0,21.06,IND,BAL,W 20-13,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,4,5%,0,0%,9,38%,False,Donte Moncrief,True,20,13
2014.0,2014-10-09,6.0,6.0,21.064,IND,HOU,W 33-28,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,12,14%,0,0%,16,52%,True,Donte Moncrief,True,33,28
2014.0,2014-10-19,7.0,7.0,21.074,IND,CIN,W 27-0,False,2,1,9,9.00,0,50.0%,4.50,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,29%,0,0%,16,55%,False,Donte Moncrief,True,27,0
2014.0,2014-10-26,8.0,8.0,21.081,IND,PIT,L 34-51,False,12,7,113,16.14,1,58.3%,9.42,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,12,35%,True,Donte Moncrief,False,34,51
2014.0,2014-11-03,9.0,9.0,21.089,IND,NYG,W 40-24,False,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,33%,0,0%,20,50%,True,Donte Moncrief,True,40,24
2014.0,2014-11-16,10.0,11.0,21.102,IND,NWE,L 20-42,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,18%,0,0%,6,23%,False,Donte Moncrief,False,20,42
2014.0,2014-11-23,11.0,12.0,21.109,IND,JAX,W 23-3,False,4,4,38,9.50,0,100.0%,9.50,1,4,4.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,41%,0,0%,9,38%,False,Donte Moncrief,True,23,3
2014.0,2014-11-30,12.0,13.0,21.116,IND,WAS,W 49-27,True,4,3,134,44.67,2,75.0%,33.50,1,6,6.00,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,28,55%,0,0%,12,34%,False,Donte Moncrief,True,49,27
2014.0,2014-12-07,13.0,14.0,21.123,IND,CLE,W 25-24,False,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,59%,0,0%,6,17%,True,Donte Moncrief,True,25,24
2014.0,2014-12-14,14.0,15.0,21.13,IND,HOU,W 17-10,False,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,36,53%,0,0%,8,30%,False,Donte Moncrief,True,17,10
2014.0,2014-12-21,15.0,16.0,21.137,IND,DAL,L 7-42,True,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,81%,0,0%,2,8%,True,Donte Moncrief,False,7,42
2014.0,2014-12-28,16.0,17.0,21.144,IND,TEN,W 27-10,False,5,3,16,5.33,0,60.0%,3.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,73%,0,0%,13,45%,True,Donte Moncrief,True,27,10
2015.0,2015-09-13,1.0,1.0,22.038,IND,BUF,L 14-27,True,11,6,46,7.67,1,54.5%,4.18,0,0,,0,1,5,5.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,73%,0,0%,6,25%,True,Donte Moncrief,False,14,27
2015.0,2015-09-21,2.0,2.0,22.046,IND,NYJ,L 7-20,False,8,7,122,17.43,1,87.5%,15.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,78%,0,0%,0,0%,False,Donte Moncrief,False,7,20
2015.0,2015-09-27,3.0,3.0,22.052,IND,TEN,W 35-33,True,7,4,32,8.00,1,57.1%,4.57,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,2,6%,True,Donte Moncrief,True,35,33
2015.0,2015-10-04,4.0,4.0,22.059,IND,JAX,W 16-13,True,9,6,75,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,72%,0,0%,9,27%,False,Donte Moncrief,True,16,13
2015.0,2015-10-08,5.0,5.0,22.063,IND,HOU,W 27-20,True,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,63%,0,0%,0,0%,True,Donte Moncrief,True,27,20
2015.0,2015-10-18,6.0,6.0,22.073,IND,NWE,L 27-34,False,11,6,69,11.50,1,54.5%,6.27,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,73%,0,0%,7,21%,False,Donte Moncrief,False,27,34
2015.0,2015-10-25,7.0,7.0,22.08,IND,NOR,L 21-27,True,6,4,34,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,1,3%,False,Donte Moncrief,False,21,27
2015.0,2015-11-02,8.0,8.0,22.088,IND,CAR,L 26-29,True,7,2,18,9.00,0,28.6%,2.57,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,92%,0,0%,4,11%,True,Donte Moncrief,False,26,29
2015.0,2015-11-08,9.0,9.0,22.094,IND,DEN,W 27-24,False,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,69%,0,0%,0,0%,False,Donte Moncrief,True,27,24
2015.0,2015-11-22,10.0,11.0,22.108,IND,ATL,W 24-21,True,8,5,41,8.20,0,62.5%,5.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,84%,0,0%,1,4%,True,Donte Moncrief,True,24,21
2015.0,2015-11-29,11.0,12.0,22.115,IND,TAM,W 25-12,False,9,8,114,14.25,0,88.9%,12.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,80%,0,0%,1,4%,False,Donte Moncrief,True,25,12
2015.0,2015-12-06,12.0,13.0,22.122,IND,PIT,L 10-45,True,1,1,33,33.00,0,100.0%,33.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,86%,0,0%,3,11%,True,Donte Moncrief,False,10,45
2015.0,2015-12-13,13.0,14.0,22.129,IND,JAX,L 16-51,False,10,3,52,17.33,0,30.0%,5.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,83%,0,0%,1,3%,True,Donte Moncrief,False,16,51
2015.0,2015-12-20,14.0,15.0,22.136,IND,HOU,L 10-16,True,7,5,51,10.20,1,71.4%,7.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,39,72%,0,0%,0,0%,False,Donte Moncrief,False,10,16
2015.0,2015-12-27,15.0,16.0,22.143,IND,MIA,W 18-12,False,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,66%,0,0%,1,4%,True,Donte Moncrief,True,18,12
2015.0,2016-01-03,16.0,17.0,22.15,IND,TEN,W 30-24,True,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,34%,0,0%,0,0%,False,Donte Moncrief,True,30,24
2016.0,2016-09-11,1.0,1.0,23.036,IND,DET,L 35-39,True,7,6,64,10.67,1,85.7%,9.14,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,97%,0,0%,1,3%,False,Donte Moncrief,False,35,39
2016.0,2016-09-18,2.0,2.0,23.043,IND,DEN,L 20-34,False,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,0,0%,True,Donte Moncrief,False,20,34
2016.0,2016-09-25,3.0,3.0,,IND,SDG,W 26-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Donte Moncrief,True,26,22
