Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-20,2.0,2.0,24.354,WAS,STL,W 24-10,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,9,30%,False,Dustin Hopkins,True,24,10
2015.0,2015-09-24,3.0,3.0,24.358,WAS,NYG,L 21-32,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,8,28%,True,Dustin Hopkins,False,21,32
2015.0,2015-10-04,4.0,4.0,25.003,WAS,PHI,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,37%,False,Dustin Hopkins,True,23,20
2015.0,2015-10-11,5.0,5.0,25.01,WAS,ATL,L 19-25,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0%,0,0%,8,33%,True,Dustin Hopkins,False,19,25
2015.0,2015-10-18,6.0,6.0,25.017,WAS,NYJ,L 20-34,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,28%,True,Dustin Hopkins,False,20,34
2015.0,2015-10-25,7.0,7.0,25.024,WAS,TAM,W 31-30,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Dustin Hopkins,True,31,30
2015.0,2015-11-08,8.0,9.0,25.038,WAS,NWE,L 10-27,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,23%,True,Dustin Hopkins,False,10,27
2015.0,2015-11-15,9.0,10.0,25.045,WAS,NOR,W 47-14,False,5,5,100.0,4,4,100.0,0,17,0.0,1,0,1,0,0,0,0%,0,0%,18,62%,False,Dustin Hopkins,True,47,14
2015.0,2015-11-22,10.0,11.0,25.052,WAS,CAR,L 16-44,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,5,16%,True,Dustin Hopkins,False,16,44
2015.0,2015-11-29,11.0,12.0,25.059,WAS,NYG,W 20-14,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,36%,False,Dustin Hopkins,True,20,14
