Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,23.348,NYJ,MIA,False,0,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,20,14,Dustin Keller
2008,2008-09-14,2,2,23.355,NYJ,NWE,False,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,10,19,Dustin Keller
2008,2008-09-22,3,3,23.363,NYJ,SDG,False,8,4,41,10.25,1,50.0%,5.13,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,29,48,Dustin Keller
2008,2008-09-28,4,4,24.003,NYJ,ARI,True,3,1,24,24.00,1,33.3%,8.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,56,35,Dustin Keller
2008,2008-10-12,5,6,24.017,NYJ,CIN,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,26,14,Dustin Keller
2008,2008-10-19,6,7,24.024,NYJ,OAK,False,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Dustin Keller
2008,2008-10-26,7,8,24.031,NYJ,KAN,True,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,28,24,Dustin Keller
2008,2008-11-02,8,9,24.038,NYJ,BUF,True,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,26,17,Dustin Keller
2008,2008-11-09,9,10,24.045,NYJ,STL,True,6,6,107,17.83,1,100.0%,17.83,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,47,3,Dustin Keller
2008,2008-11-13,10,11,24.049,NYJ,NWE,False,10,8,87,10.88,0,80.0%,8.70,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,31,Dustin Keller
2008,2008-11-23,11,12,24.059,NYJ,TEN,False,7,6,42,7.00,0,85.7%,6.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,13,Dustin Keller
2008,2008-11-30,12,13,24.066,NYJ,DEN,False,11,7,77,11.00,0,63.6%,7.00,0,0,,0,1,9,9.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,17,34,Dustin Keller
2008,2008-12-07,13,14,24.073,NYJ,SFO,True,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,24,Dustin Keller
2008,2008-12-14,14,15,24.080,NYJ,BUF,True,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,27,Dustin Keller
2008,2008-12-21,15,16,24.087,NYJ,SEA,False,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,13,Dustin Keller
2008,2008-12-28,16,17,24.094,NYJ,MIA,False,8,2,24,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,17,24,Dustin Keller
2009,2009-09-13,1,1,24.353,NYJ,HOU,True,7,4,94,23.50,0,57.1%,13.43,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,7,Dustin Keller
2009,2009-09-20,2,2,24.360,NYJ,NWE,True,5,3,22,7.33,1,60.0%,4.40,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,16,9,Dustin Keller
2009,2009-09-27,3,3,25.002,NYJ,TEN,True,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Dustin Keller
2009,2009-10-04,4,4,25.009,NYJ,NOR,True,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,24,Dustin Keller
2009,2009-10-12,5,5,25.017,NYJ,MIA,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,False,27,31,Dustin Keller
2009,2009-10-18,6,6,25.023,NYJ,BUF,True,10,2,16,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,13,16,Dustin Keller
2009,2009-10-25,7,7,25.030,NYJ,OAK,False,4,1,26,26.00,0,25.0%,6.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,38,0,Dustin Keller
2009,2009-11-01,8,8,25.037,NYJ,MIA,True,13,8,76,9.50,1,61.5%,5.85,0,0,,0,0,0,,0,,1,6,0,,0,1,0,0,,,,,,,False,False,25,30,Dustin Keller
2009,2009-11-15,9,10,25.051,NYJ,JAX,True,9,6,58,9.67,0,66.7%,6.44,1,7,7.00,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,22,24,Dustin Keller
2009,2009-11-22,10,11,25.058,NYJ,NWE,True,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,31,Dustin Keller
