Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,,WAS,PHI,L 27-32,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Dwayne Haskins,False,27,32
2019.0,2019-09-15,2.0,2.0,,WAS,DAL,L 21-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dwayne Haskins,False,21,31
2019.0,2019-09-23,3.0,3.0,,WAS,CHI,L 15-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dwayne Haskins,False,15,31
2019.0,2019-09-29,4.0,4.0,22.149,WAS,NYG,L 3-24,False,9,17,52.94,107,0,3,32.8,2,21,6.29,-1.65,2,23,11.50,0,0,0,0,0,0,0,0,0,32,65%,0,0%,0,0%,True,Dwayne Haskins,False,3,24
2019.0,2019-10-06,5.0,5.0,,WAS,NWE,L 7-33,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dwayne Haskins,False,7,33
2019.0,2019-10-13,6.0,6.0,,WAS,MIA,W 17-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Dwayne Haskins,True,17,16
2019.0,2019-10-20,7.0,7.0,,WAS,SFO,L 0-9,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dwayne Haskins,False,0,9
2019.0,2019-10-24,8.0,8.0,22.174,WAS,MIN,L 9-19,False,3,5,60.00,33,0,1,40.0,2,18,6.60,-2.40,0,0,,0,0,0,0,0,0,0,0,0,14,33%,0,0%,0,0%,True,Dwayne Haskins,False,9,19
2019.0,2019-11-03,9.0,9.0,22.184,WAS,BUF,L 9-24,True,15,22,68.18,144,0,0,86.2,4,28,6.55,6.55,3,14,4.67,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,True,Dwayne Haskins,False,9,24
2019.0,2019-11-17,10.0,11.0,22.198,WAS,NYJ,L 17-34,True,19,35,54.29,214,2,1,79.9,6,43,6.11,5.97,4,5,1.25,0,0,0,2,0,0,2,-9,0,65,100%,0,0%,0,0%,False,Dwayne Haskins,False,17,34
2019.0,2019-11-24,11.0,12.0,22.205,WAS,DET,W 19-16,True,13,29,44.83,156,0,1,47.5,3,12,5.38,3.83,3,28,9.33,0,0,0,1,1,0,0,0,0,57,98%,0,0%,0,0%,False,Dwayne Haskins,True,19,16
2019.0,2019-12-01,12.0,13.0,22.212,WAS,CAR,W 29-21,True,13,25,52.00,147,0,0,69.9,5,33,5.88,5.88,4,6,1.50,0,0,0,2,0,0,0,-1,0,64,100%,0,0%,0,0%,True,Dwayne Haskins,True,29,21
2019.0,2019-12-08,13.0,14.0,22.219,WAS,GNB,L 15-20,True,16,27,59.26,170,1,1,74.6,4,29,6.30,5.37,1,-1,-1.00,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Dwayne Haskins,False,15,20
2019.0,2019-12-15,14.0,15.0,22.226,WAS,PHI,L 27-37,True,19,28,67.86,261,2,0,121.3,1,10,9.32,10.75,3,26,8.67,0,0,0,1,1,0,0,-11,0,53,100%,0,0%,0,0%,False,Dwayne Haskins,False,27,37
2019.0,2019-12-22,15.0,16.0,22.233,WAS,NYG,L 35-41,True,12,15,80.00,133,2,0,143.2,2,10,8.87,11.53,0,0,,0,0,0,0,0,0,0,0,0,35,50%,0,0%,0,0%,False,Dwayne Haskins,False,35,41
2019.0,2019-12-29,16.0,17.0,,WAS,DAL,L 16-47,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dwayne Haskins,False,16,47
2020.0,2020-09-13,1.0,1.0,23.133,WAS,PHI,W 27-17,True,17,31,54.84,178,1,0,82.5,3,19,5.74,6.39,7,17,2.43,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,False,Dwayne Haskins,True,27,17
2020.0,2020-09-20,2.0,2.0,23.14,WAS,ARI,L 15-30,True,19,33,57.58,223,1,0,88.3,4,24,6.76,7.36,1,8,8.00,0,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,True,Dwayne Haskins,False,15,30
2020.0,2020-09-27,3.0,3.0,23.147,WAS,CLE,L 20-34,True,21,37,56.76,224,2,3,58.8,3,18,6.05,3.49,2,2,1.00,0,0,0,2,1,0,1,-7,0,64,100%,0,0%,0,0%,True,Dwayne Haskins,False,20,34
2020.0,2020-10-04,4.0,4.0,23.154,WAS,BAL,L 17-31,True,32,45,71.11,314,0,0,90.4,3,40,6.98,6.98,3,3,1.00,1,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Dwayne Haskins,False,17,31
2020.0,2020-10-11,5.0,5.0,,WAS,LAR,L 10-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,False,10,30
2020.0,2020-10-18,6.0,6.0,,WAS,NYG,L 19-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dwayne Haskins,False,19,20
2020.0,2020-10-25,7.0,7.0,,WAS,DAL,W 25-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,True,25,3
2020.0,2020-11-08,8.0,9.0,,WAS,NYG,L 20-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,False,20,23
2020.0,2020-11-15,9.0,10.0,,WAS,DET,L 27-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Dwayne Haskins,False,27,30
2020.0,2020-11-22,10.0,11.0,,WAS,CIN,W 20-9,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Dwayne Haskins,True,20,9
2020.0,2020-11-26,11.0,12.0,,WAS,DAL,W 41-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Dwayne Haskins,True,41,16
2020.0,2020-12-07,12.0,13.0,,WAS,PIT,W 23-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Dwayne Haskins,True,23,17
2020.0,2020-12-13,13.0,14.0,23.224,WAS,SFO,W 23-15,False,7,12,58.33,51,0,0,68.4,1,8,4.25,4.25,4,-12,-3.00,0,0,0,0,0,0,0,0,0,31,49%,0,0%,0,0%,True,Dwayne Haskins,True,23,15
2020.0,2020-12-20,14.0,15.0,23.231,WAS,SEA,L 15-20,True,38,55,69.09,295,1,2,72.9,4,26,5.36,4.09,3,28,9.33,0,0,0,1,0,0,1,0,0,80,100%,0,0%,0,0%,False,Dwayne Haskins,False,15,20
2020.0,2020-12-27,15.0,16.0,23.238,WAS,CAR,L 13-20,True,14,28,50.00,154,0,2,36.9,2,6,5.50,2.29,0,0,,0,0,0,1,1,0,0,0,0,46,65%,0,0%,0,0%,False,Dwayne Haskins,False,13,20
2021.0,2021-09-12,1.0,1.0,,PIT,BUF,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dwayne Haskins,True,23,16
2021.0,2021-09-19,2.0,2.0,,PIT,LVR,L 17-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,False,17,26
2021.0,2021-09-26,3.0,3.0,,PIT,CIN,L 10-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,False,10,24
2021.0,2021-10-03,4.0,4.0,,PIT,GNB,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dwayne Haskins,False,17,27
2021.0,2021-10-10,5.0,5.0,,PIT,DEN,W 27-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dwayne Haskins,True,27,19
