Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,23.008,NYG,DAL,L 3-19,True,5,4,44,11.00,0,80.0%,8.80,0,0,,0,,0,0,0,0,0,0,0,0,47,82%,0,0%,11,46%,True,Evan Engram,False,3,19
2017.0,2017-09-18,2.0,2.0,23.016,NYG,DET,L 10-24,False,7,4,49,12.25,1,57.1%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,43,77%,0,0%,12,48%,False,Evan Engram,False,10,24
2017.0,2017-09-24,3.0,3.0,23.022,NYG,PHI,L 24-27,False,7,5,45,9.00,0,71.4%,6.43,0,0,,0,,0,0,0,0,0,0,0,0,57,81%,0,0%,9,32%,True,Evan Engram,False,24,27
2017.0,2017-10-01,4.0,4.0,23.029,NYG,TAM,L 23-25,True,11,6,62,10.33,0,54.5%,5.64,0,0,,0,,0,0,0,0,0,0,0,0,67,84%,0,0%,13,45%,True,Evan Engram,False,23,25
2017.0,2017-10-08,5.0,5.0,23.036,NYG,LAC,L 22-27,True,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,57,83%,0,0%,13,41%,False,Evan Engram,False,22,27
2017.0,2017-10-15,6.0,6.0,23.043,NYG,DEN,W 23-10,True,7,5,82,16.40,1,71.4%,11.71,0,0,,0,,1,6,0,0,0,0,0,0,38,70%,0,0%,12,43%,True,Evan Engram,True,23,10
2017.0,2017-10-22,7.0,7.0,23.05,NYG,SEA,L 7-24,True,12,6,60,10.00,1,50.0%,5.00,0,0,,0,,1,6,0,0,0,0,0,0,47,80%,0,0%,12,46%,False,Evan Engram,False,7,24
2017.0,2017-11-05,8.0,9.0,23.064,NYG,LAR,L 17-51,True,10,4,70,17.50,1,40.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,58,85%,0,0%,4,12%,False,Evan Engram,False,17,51
2017.0,2017-11-12,9.0,10.0,23.071,NYG,SFO,L 21-31,True,9,6,31,5.17,1,66.7%,3.44,0,0,,0,,1,6,0,0,0,0,0,0,52,79%,0,0%,4,17%,True,Evan Engram,False,21,31
2017.0,2017-11-19,10.0,11.0,23.078,NYG,KAN,W 12-9,True,6,1,9,9.00,0,16.7%,1.50,0,0,,0,,0,0,0,0,0,0,0,0,58,84%,0,0%,3,12%,False,Evan Engram,True,12,9
2017.0,2017-11-23,11.0,12.0,23.082,NYG,WAS,L 10-20,True,7,3,18,6.00,0,42.9%,2.57,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,8,27%,True,Evan Engram,False,10,20
2017.0,2017-12-03,12.0,13.0,23.092,NYG,OAK,L 17-24,True,8,7,99,14.14,1,87.5%,12.38,0,0,,0,,1,6,0,0,0,0,0,0,53,85%,0,0%,3,11%,True,Evan Engram,False,17,24
2017.0,2017-12-10,13.0,14.0,23.099,NYG,DAL,L 10-30,False,7,4,54,13.50,0,57.1%,7.71,0,0,,0,,0,0,0,0,0,0,0,0,63,79%,0,0%,2,7%,False,Evan Engram,False,10,30
2017.0,2017-12-17,14.0,15.0,23.106,NYG,PHI,L 29-34,False,13,8,87,10.88,0,61.5%,6.69,1,14,14.00,0,,0,0,0,0,0,0,0,0,73,84%,0,0%,9,29%,False,Evan Engram,False,29,34
2017.0,2017-12-24,15.0,16.0,23.113,NYG,ARI,L 0-23,True,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0,0,0,0,0,0,13,18%,0,0%,0,0%,True,Evan Engram,False,0,23
2017.0,2017-12-31,16.0,17.0,,NYG,WAS,W 18-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Evan Engram,True,18,10
2018.0,2018-09-09,1.0,1.0,24.007,NYG,JAX,L 15-20,True,5,2,18,9.00,0,40.0%,3.60,0,0,,0,,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,False,Evan Engram,False,15,20
2018.0,2018-09-16,2.0,2.0,24.014,NYG,DAL,L 13-20,True,7,7,67,9.57,1,100.0%,9.57,0,0,,0,,1,6,0,0,0,0,0,0,60,88%,0,0%,2,8%,True,Evan Engram,False,13,20
2018.0,2018-09-23,3.0,3.0,24.021,NYG,HOU,W 27-22,True,1,1,19,19.00,0,100.0%,19.00,0,0,,0,,0,0,0,0,0,0,0,0,13,21%,0,0%,0,0%,True,Evan Engram,True,27,22
