Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2005.0,2005-09-11,1.0,1.0,22.12,SFO,STL,W 28-25,False,4,17,4.25,0,2,2,21,10.50,0,100.0%,10.50,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,28,25
2005.0,2005-09-18,2.0,2.0,22.127,SFO,PHI,L 3-42,False,4,15,3.75,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,3,42
2005.0,2005-09-25,3.0,3.0,22.134,SFO,DAL,L 31-34,False,7,42,6.00,0,2,1,5,5.00,0,50.0%,2.50,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,31,34
2005.0,2005-10-02,4.0,4.0,22.141,SFO,ARI,L 14-31,False,2,4,2.00,0,2,2,-12,-6.00,0,100.0%,-6.00,,0,0,1,1,0,0,0,0,,,,,,,True,Frank Gore,False,14,31
2005.0,2005-10-09,5.0,5.0,22.148,SFO,IND,L 3-28,False,8,31,3.88,0,3,1,14,14.00,0,33.3%,4.67,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,3,28
2005.0,2005-10-23,6.0,7.0,22.162,SFO,WAS,L 17-52,False,9,89,9.89,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,False,17,52
2005.0,2005-10-30,7.0,8.0,22.169,SFO,TAM,W 15-10,False,10,40,4.00,0,1,1,-7,-7.00,0,100.0%,-7.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,15,10
2005.0,2005-11-06,8.0,9.0,22.176,SFO,NYG,L 6-24,False,7,33,4.71,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,6,24
2005.0,2005-11-13,9.0,10.0,22.183,SFO,CHI,L 9-17,False,14,55,3.93,0,0,0,0,,0,0.0%,,,0,0,0,,0,1,0,0,,,,,,,True,Frank Gore,False,9,17
2005.0,2005-11-20,10.0,11.0,,SFO,SEA,L 25-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Frank Gore,False,25,27
2005.0,2005-11-27,11.0,12.0,,SFO,TEN,L 22-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Frank Gore,False,22,33
2005.0,2005-12-04,12.0,13.0,22.204,SFO,ARI,L 10-17,False,6,22,3.67,0,1,1,31,31.00,0,100.0%,31.00,,0,0,1,1,0,0,0,0,,,,,,,False,Frank Gore,False,10,17
2005.0,2005-12-11,13.0,14.0,22.211,SFO,SEA,L 3-41,False,2,5,2.50,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,3,41
2005.0,2005-12-18,14.0,15.0,22.218,SFO,JAX,L 9-10,True,19,79,4.16,0,4,3,57,19.00,0,75.0%,14.25,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,9,10
2005.0,2005-12-24,15.0,16.0,22.224,SFO,STL,W 24-20,False,10,68,6.80,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,24,20
2005.0,2006-01-01,16.0,17.0,22.232,SFO,HOU,W 20-17,False,25,108,4.32,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,17
2006.0,2006-09-10,1.0,1.0,23.119,SFO,ARI,L 27-34,True,16,87,5.44,2,9,6,83,13.83,0,66.7%,9.22,,2,12,1,1,0,0,0,0,,,,,,,True,Frank Gore,False,27,34
2006.0,2006-09-17,2.0,2.0,23.126,SFO,STL,W 20-13,True,29,127,4.38,1,4,2,10,5.00,0,50.0%,2.50,,1,6,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,20,13
2006.0,2006-09-24,3.0,3.0,23.133,SFO,PHI,L 24-38,True,16,52,3.25,0,7,6,22,3.67,0,85.7%,3.14,,0,0,1,1,0,0,0,0,,,,,,,False,Frank Gore,False,24,38
2006.0,2006-10-01,4.0,4.0,23.14,SFO,KAN,L 0-41,True,14,65,4.64,0,4,2,14,7.00,0,50.0%,3.50,,0,0,1,1,0,0,0,0,,,,,,,True,Frank Gore,False,0,41
2006.0,2006-10-08,5.0,5.0,23.147,SFO,OAK,W 34-20,True,27,134,4.96,0,3,3,38,12.67,0,100.0%,12.67,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,34,20
2006.0,2006-10-15,6.0,6.0,23.154,SFO,SDG,L 19-48,True,10,55,5.50,0,7,5,35,7.00,0,71.4%,5.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,19,48
2006.0,2006-10-29,7.0,8.0,23.168,SFO,CHI,L 10-41,True,12,111,9.25,0,4,2,9,4.50,0,50.0%,2.25,,0,0,1,0,0,0,0,0,,,,,,,True,Frank Gore,False,10,41
2006.0,2006-11-05,8.0,9.0,23.175,SFO,MIN,W 9-3,True,19,41,2.16,0,7,5,36,7.20,0,71.4%,5.14,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,9,3
2006.0,2006-11-12,9.0,10.0,23.182,SFO,DET,W 19-13,True,22,159,7.23,1,3,2,14,7.00,0,66.7%,4.67,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,19,13
2006.0,2006-11-19,10.0,11.0,23.189,SFO,SEA,W 20-14,True,24,212,8.83,0,4,4,26,6.50,0,100.0%,6.50,,0,0,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,20,14
2006.0,2006-11-26,11.0,12.0,23.196,SFO,STL,L 17-20,True,21,134,6.38,1,4,4,31,7.75,0,100.0%,7.75,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,False,17,20
2006.0,2006-12-03,12.0,13.0,23.203,SFO,NOR,L 10-34,True,13,40,3.08,0,7,5,28,5.60,0,71.4%,4.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,10,34
2006.0,2006-12-10,13.0,14.0,23.21,SFO,GNB,L 19-30,True,18,130,7.22,1,4,3,38,12.67,0,75.0%,9.50,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,False,19,30
2006.0,2006-12-14,14.0,15.0,23.214,SFO,SEA,W 24-14,True,29,144,4.97,0,7,4,34,8.50,1,57.1%,4.86,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,24,14
2006.0,2006-12-24,15.0,16.0,23.224,SFO,ARI,L 20-26,True,11,51,4.64,2,7,6,35,5.83,0,85.7%,5.00,,2,12,0,,0,0,0,0,,,,,,,False,Frank Gore,False,20,26
2006.0,2006-12-31,16.0,17.0,23.231,SFO,DEN,W 26-23,True,31,153,4.94,0,5,2,32,16.00,0,40.0%,6.40,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,True,26,23
2007.0,2007-09-10,1.0,1.0,24.119,SFO,ARI,W 20-17,True,18,55,3.06,1,3,1,21,21.00,0,33.3%,7.00,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,17
2007.0,2007-09-16,2.0,2.0,24.125,SFO,STL,W 17-16,True,20,81,4.05,2,4,2,4,2.00,0,50.0%,1.00,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,17,16
2007.0,2007-09-23,3.0,3.0,24.132,SFO,PIT,L 16-37,True,14,39,2.79,0,2,2,12,6.00,0,100.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,16,37
2007.0,2007-09-30,4.0,4.0,24.139,SFO,SEA,L 3-23,True,16,79,4.94,0,5,3,42,14.00,0,60.0%,8.40,,0,0,2,1,0,1,0,0,,,,,,,False,Frank Gore,False,3,23
2007.0,2007-10-07,5.0,5.0,24.146,SFO,BAL,L 7-9,True,16,52,3.25,0,5,3,23,7.67,0,60.0%,4.60,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,7,9
2007.0,2007-10-21,6.0,7.0,24.16,SFO,NYG,L 15-33,True,14,88,6.29,0,3,3,23,7.67,0,100.0%,7.67,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,15,33
2007.0,2007-10-28,7.0,8.0,24.167,SFO,NOR,L 10-31,True,12,41,3.42,0,1,1,0,0.00,0,100.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,10,31
2007.0,2007-11-04,8.0,9.0,,SFO,ATL,L 16-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Frank Gore,False,16,20
2007.0,2007-11-12,9.0,10.0,24.182,SFO,SEA,L 0-24,True,13,72,5.54,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,0,24
2007.0,2007-11-18,10.0,11.0,24.188,SFO,STL,L 9-13,True,15,32,2.13,0,7,5,31,6.20,0,71.4%,4.43,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,9,13
2007.0,2007-11-25,11.0,12.0,24.195,SFO,ARI,W 37-31,True,21,116,5.52,2,12,11,98,8.91,0,91.7%,8.17,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,37,31
2007.0,2007-12-02,12.0,13.0,24.202,SFO,CAR,L 14-31,True,12,58,4.83,0,5,5,53,10.60,0,100.0%,10.60,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,14,31
2007.0,2007-12-09,13.0,14.0,24.209,SFO,MIN,L 7-27,True,16,68,4.25,0,10,8,49,6.13,0,80.0%,4.90,,0,0,2,2,0,0,0,0,,,,,,,False,Frank Gore,False,7,27
