Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-10,1,1,22.354,GNB,CHI,False,6,1,5,5.00,0,16.7%,0.83,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,0,26,Greg Jennings
2006,2006-09-17,2,2,22.361,GNB,NOR,True,12,6,67,11.17,1,50.0%,5.58,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,27,34,Greg Jennings
2006,2006-09-24,3,3,23.003,GNB,DET,True,5,3,101,33.67,1,60.0%,20.20,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,31,24,Greg Jennings
2006,2006-10-02,4,4,23.011,GNB,PHI,True,10,5,86,17.20,0,50.0%,8.60,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,True,False,9,31,Greg Jennings
2006,2006-10-08,5,5,23.017,GNB,STL,True,10,5,105,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,20,23,Greg Jennings
2006,2006-10-22,6,7,23.031,GNB,MIA,True,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,24,Greg Jennings
2006,2006-10-29,7,8,,GNB,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,14,Greg Jennings
2006,2006-11-05,8,9,23.045,GNB,BUF,False,5,5,69,13.80,0,100.0%,13.80,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,24,Greg Jennings
2006,2006-11-12,9,10,23.052,GNB,MIN,False,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,17,Greg Jennings
2006,2006-11-19,10,11,23.059,GNB,NWE,True,10,1,26,26.00,0,10.0%,2.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,0,35,Greg Jennings
