Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-09-09,1.0,1.0,24.257,STL,DET,L 23-27,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,37%,True,Greg Zuerlein,False,23,27
2012.0,2012-09-16,2.0,2.0,24.264,STL,WAS,W 31-28,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,13,41%,False,Greg Zuerlein,True,31,28
2012.0,2012-09-23,3.0,3.0,24.271,STL,CHI,L 6-23,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,5,18%,True,Greg Zuerlein,False,6,23
2012.0,2012-09-30,4.0,4.0,24.278,STL,SEA,W 19-13,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,11,42%,False,Greg Zuerlein,True,19,13
2012.0,2012-10-04,5.0,5.0,24.282,STL,ARI,W 17-3,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,27%,False,Greg Zuerlein,True,17,3
2012.0,2012-10-14,6.0,6.0,24.292,STL,MIA,L 14-17,False,,,,2,5,40.0,0,6,0.0,1,0,1,0,0,0,0%,0,0%,9,33%,True,Greg Zuerlein,False,14,17
2012.0,2012-10-21,7.0,7.0,24.299,STL,GNB,L 20-30,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,31%,False,Greg Zuerlein,False,20,30
2012.0,2012-10-28,8.0,8.0,24.306,STL,NWE,L 7-45,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,4,15%,False,Greg Zuerlein,False,7,45
2012.0,2012-11-11,9.0,10.0,24.32,STL,SFO,T 24-24,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0%,0,0%,10,30%,True,Greg Zuerlein,False,24,24
2012.0,2012-11-18,10.0,11.0,24.327,STL,NYJ,L 13-27,False,1,1,100.0,,,,0,1,0.0,1,0,1,0,0,0,0%,0,0%,3,12%,False,Greg Zuerlein,False,13,27
2012.0,2012-11-25,11.0,12.0,24.334,STL,ARI,W 31-17,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0%,0,0%,12,39%,True,Greg Zuerlein,True,31,17
2012.0,2012-12-02,12.0,13.0,24.341,STL,SFO,W 16-13,False,,,,2,3,66.7,0,6,0.0,0,0,0,,,0,0%,0,0%,5,17%,False,Greg Zuerlein,True,16,13
2012.0,2012-12-09,13.0,14.0,24.348,STL,BUF,W 15-12,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,4,15%,True,Greg Zuerlein,True,15,12
2012.0,2012-12-16,14.0,15.0,24.355,STL,MIN,L 22-36,False,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,7,23%,False,Greg Zuerlein,False,22,36
2012.0,2012-12-23,15.0,16.0,24.362,STL,TAM,W 28-13,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,38%,True,Greg Zuerlein,True,28,13
2012.0,2012-12-30,16.0,17.0,25.003,STL,SEA,L 13-20,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0%,0,0%,8,29%,True,Greg Zuerlein,False,13,20
2013.0,2013-09-08,1.0,1.0,25.255,STL,ARI,W 27-24,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,12,41%,False,Greg Zuerlein,True,27,24
2013.0,2013-09-15,2.0,2.0,25.262,STL,ATL,L 24-31,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,28%,True,Greg Zuerlein,False,24,31
2013.0,2013-09-22,3.0,3.0,25.269,STL,DAL,L 7-31,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,3,12%,True,Greg Zuerlein,False,7,31
2013.0,2013-09-26,4.0,4.0,25.273,STL,SFO,L 11-35,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,3,8%,False,Greg Zuerlein,False,11,35
2013.0,2013-10-06,5.0,5.0,25.283,STL,JAX,W 34-20,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,13,37%,False,Greg Zuerlein,True,34,20
2013.0,2013-10-13,6.0,6.0,25.29,STL,HOU,W 38-13,False,5,5,100.0,1,1,100.0,0,8,0.0,1,0,1,0,0,0,0%,0,0%,13,52%,True,Greg Zuerlein,True,38,13
2013.0,2013-10-20,7.0,7.0,25.297,STL,CAR,L 15-30,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,25%,True,Greg Zuerlein,False,15,30
2013.0,2013-10-28,8.0,8.0,25.305,STL,SEA,L 9-14,False,,,,3,4,75.0,0,9,0.0,0,0,0,,,0,0%,0,0%,8,31%,False,Greg Zuerlein,False,9,14
2013.0,2013-11-03,9.0,9.0,25.311,STL,TEN,L 21-28,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0%,0,0%,8,30%,False,Greg Zuerlein,False,21,28
2013.0,2013-11-10,10.0,10.0,25.318,STL,IND,W 38-8,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,13,50%,True,Greg Zuerlein,True,38,8
2013.0,2013-11-24,11.0,12.0,25.332,STL,CHI,W 42-21,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,14,54%,False,Greg Zuerlein,True,42,21
2013.0,2013-12-01,12.0,13.0,25.339,STL,SFO,L 13-23,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,25%,True,Greg Zuerlein,False,13,23
2013.0,2013-12-08,13.0,14.0,25.346,STL,ARI,L 10-30,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,Greg Zuerlein,False,10,30
2013.0,2013-12-15,14.0,15.0,25.353,STL,NOR,W 27-16,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,41%,False,Greg Zuerlein,True,27,16
2013.0,2013-12-22,15.0,16.0,25.36,STL,TAM,W 23-13,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,48%,False,Greg Zuerlein,True,23,13
2013.0,2013-12-29,16.0,17.0,26.002,STL,SEA,L 9-27,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,3,10%,True,Greg Zuerlein,False,9,27
