Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,21.242,NYG,WAS,False,4,2,18,9.00,0,50.0%,4.50,0,0,,0,1,16,16.00,0,0,0,0,,0,0,0,0,,,,,,,False,True,23,17,Hakeem Nicks
2009,2009-09-20,2,2,,NYG,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,33,31,Hakeem Nicks
2009,2009-09-27,3,3,,NYG,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,0,Hakeem Nicks
2009,2009-10-04,4,4,21.263,NYG,KAN,False,3,1,54,54.00,1,33.3%,18.00,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,27,16,Hakeem Nicks
2009,2009-10-11,5,5,21.270,NYG,OAK,False,6,4,49,12.25,1,66.7%,8.17,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,44,7,Hakeem Nicks
2009,2009-10-18,6,6,21.277,NYG,NOR,False,8,5,114,22.80,1,62.5%,14.25,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,27,48,Hakeem Nicks
2009,2009-10-25,7,7,21.284,NYG,ARI,False,7,4,80,20.00,1,57.1%,11.43,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,17,24,Hakeem Nicks
2009,2009-11-01,8,8,21.291,NYG,PHI,True,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,,,,,,,True,False,17,40,Hakeem Nicks
2009,2009-11-08,9,9,21.298,NYG,SDG,False,5,3,39,13.00,0,60.0%,7.80,1,9,9.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,21,Hakeem Nicks
2009,2009-11-22,10,11,21.312,NYG,ATL,False,7,5,65,13.00,0,71.4%,9.29,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,31,Hakeem Nicks
2009,2009-11-26,11,12,21.316,NYG,DEN,True,6,4,66,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,26,Hakeem Nicks
2009,2009-12-06,12,13,21.326,NYG,DAL,False,3,2,37,18.50,1,66.7%,12.33,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,31,24,Hakeem Nicks
2009,2009-12-13,13,14,21.333,NYG,PHI,True,7,4,110,27.50,1,57.1%,15.71,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,38,45,Hakeem Nicks
2009,2009-12-21,14,15,21.341,NYG,WAS,True,3,2,66,33.00,0,66.7%,22.00,1,-1,-1.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,45,12,Hakeem Nicks
2009,2009-12-27,15,16,21.347,NYG,CAR,True,8,6,44,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,9,41,Hakeem Nicks
2009,2010-01-03,16,17,21.354,NYG,MIN,True,2,1,-5,-5.00,0,50.0%,-2.50,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,,,,,,,True,False,7,44,Hakeem Nicks
2010,2010-09-12,1,1,22.241,NYG,CAR,True,8,4,75,18.75,3,50.0%,9.38,0,0,,0,0,0,,0,3,18,0,,0,0,0,0,,,,,,,False,True,31,18,Hakeem Nicks
2010,2010-09-19,2,2,22.248,NYG,IND,False,5,2,38,19.00,1,40.0%,7.60,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,14,38,Hakeem Nicks
2010,2010-09-26,3,3,22.255,NYG,TEN,True,11,7,56,8.00,0,63.6%,5.09,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,29,Hakeem Nicks
2010,2010-10-03,4,4,22.262,NYG,CHI,True,9,8,110,13.75,0,88.9%,12.22,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,17,3,Hakeem Nicks
2010,2010-10-10,5,5,22.269,NYG,HOU,True,17,12,130,10.83,2,70.6%,7.65,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,True,34,10,Hakeem Nicks
2010,2010-10-17,6,6,22.276,NYG,DET,True,7,3,8,2.67,0,42.9%,1.14,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,28,20,Hakeem Nicks
2010,2010-10-25,7,7,22.284,NYG,DAL,True,14,9,108,12.00,2,64.3%,7.71,0,0,,0,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,True,41,35,Hakeem Nicks
2010,2010-11-07,8,9,22.297,NYG,SEA,True,13,6,128,21.33,1,46.2%,9.85,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,41,7,Hakeem Nicks
2010,2010-11-14,9,10,22.304,NYG,DAL,True,8,5,82,16.40,0,62.5%,10.25,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,33,Hakeem Nicks
2010,2010-11-21,10,11,22.311,NYG,PHI,True,9,6,65,10.83,0,66.7%,7.22,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,,,,,,,True,False,17,27,Hakeem Nicks
2010,2010-11-28,11,12,,NYG,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,20,Hakeem Nicks
2010,2010-12-05,12,13,,NYG,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,7,Hakeem Nicks
2010,2010-12-13,13,14,22.333,NYG,MIN,True,9,7,96,13.71,0,77.8%,10.67,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,21,3,Hakeem Nicks
