Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,,CAR,SFO,W 23-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Harrison Butker,True,23,3
2017.0,2017-10-02,4.0,4.0,22.08,KAN,WAS,W 29-20,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,43%,False,Harrison Butker,True,29,20
2017.0,2017-10-08,5.0,5.0,22.086,KAN,HOU,W 42-34,False,3,3,100.0,5,5,100.0,0,18,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,18,56%,True,Harrison Butker,True,42,34
2017.0,2017-10-15,6.0,6.0,22.093,KAN,PIT,L 13-19,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,28%,False,Harrison Butker,False,13,19
2017.0,2017-10-19,7.0,7.0,22.097,KAN,OAK,L 30-31,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,41%,True,Harrison Butker,False,30,31
2017.0,2017-10-30,8.0,8.0,22.108,KAN,DEN,W 29-19,False,2,2,100.0,5,5,100.0,0,17,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,47%,False,Harrison Butker,True,29,19
2017.0,2017-11-05,9.0,9.0,22.114,KAN,DAL,L 17-28,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,24%,True,Harrison Butker,False,17,28
2017.0,2017-11-19,10.0,11.0,22.128,KAN,NYG,L 9-12,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Harrison Butker,False,9,12
2017.0,2017-11-26,11.0,12.0,22.135,KAN,BUF,L 10-16,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,17%,False,Harrison Butker,False,10,16
2017.0,2017-12-03,12.0,13.0,22.142,KAN,NYJ,L 31-38,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,39%,True,Harrison Butker,False,31,38
2017.0,2017-12-10,13.0,14.0,22.149,KAN,OAK,W 26-15,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,48%,False,Harrison Butker,True,26,15
2017.0,2017-12-16,14.0,15.0,22.155,KAN,LAC,W 30-13,False,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,56%,False,Harrison Butker,True,30,13
2017.0,2017-12-24,15.0,16.0,22.163,KAN,MIA,W 29-13,False,2,2,100.0,5,6,83.3,0,17,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,16,59%,False,Harrison Butker,True,29,13
2017.0,2017-12-31,16.0,17.0,22.17,KAN,DEN,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,36%,True,Harrison Butker,True,27,24
2018.0,2018-09-09,1.0,1.0,23.057,KAN,LAC,W 38-28,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,43%,True,Harrison Butker,True,38,28
2018.0,2018-09-16,2.0,2.0,23.064,KAN,PIT,W 42-37,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,37%,True,Harrison Butker,True,42,37
2018.0,2018-09-23,3.0,3.0,23.071,KAN,SFO,W 38-27,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,46%,False,Harrison Butker,True,38,27
2018.0,2018-10-01,4.0,4.0,23.079,KAN,DEN,W 27-23,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Harrison Butker,True,27,23
2018.0,2018-10-07,5.0,5.0,23.085,KAN,JAX,W 30-14,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,54%,False,Harrison Butker,True,30,14
2018.0,2018-10-14,6.0,6.0,23.092,KAN,NWE,L 40-43,False,4,4,100.0,4,4,100.0,0,16,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,17,47%,True,Harrison Butker,False,40,43
2018.0,2018-10-21,7.0,7.0,23.099,KAN,CIN,W 45-10,False,6,6,100.0,1,2,50.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,16,59%,False,Harrison Butker,True,45,10
