Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,23.357,ATL,DET,False,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,21,Harry Douglas
2008,2008-09-14,2,2,23.364,ATL,TAM,False,4,2,34,17.00,0,50.0%,8.50,1,33,33.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,9,24,Harry Douglas
2008,2008-09-21,3,3,24.005,ATL,KAN,False,2,2,10,5.00,0,100.0%,5.00,1,-8,-8.00,0,1,0,0.00,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,38,14,Harry Douglas
2008,2008-09-28,4,4,24.012,ATL,CAR,False,5,2,8,4.00,0,40.0%,1.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,9,24,Harry Douglas
2008,2008-10-05,5,5,24.019,ATL,GNB,False,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,24,Harry Douglas
2008,2008-10-12,6,6,24.026,ATL,CHI,False,6,5,96,19.20,0,83.3%,16.00,1,-11,-11.00,0,1,10,10.00,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,22,20,Harry Douglas
2008,2008-10-26,7,8,24.040,ATL,PHI,False,2,0,0,,0,0.0%,0.00,2,10,5.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,27,Harry Douglas
2008,2008-11-02,8,9,24.047,ATL,OAK,False,1,1,12,12.00,0,100.0%,12.00,1,2,2.00,0,0,0,,0,2,13,6.50,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,0,Harry Douglas
2008,2008-11-09,9,10,24.054,ATL,NOR,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,33,16.50,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,20,Harry Douglas
2008,2008-11-16,10,11,24.061,ATL,DEN,False,1,0,0,,0,0.0%,0.00,0,0,,0,1,22,22.00,0,1,9,9.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,20,24,Harry Douglas
2008,2008-11-23,11,12,24.068,ATL,CAR,False,6,4,92,23.00,0,66.7%,15.33,2,3,1.50,1,0,0,,0,3,93,31.00,1,,2,12,0,,0,0,0,0,,,,,,,False,True,45,28,Harry Douglas
2008,2008-11-30,12,13,24.075,ATL,SDG,False,3,3,13,4.33,1,100.0%,4.33,0,0,,0,1,14,14.00,0,2,32,16.00,0,,1,6,1,1,0,0,0,0,,,,,,,True,True,22,16,Harry Douglas
2008,2008-12-07,13,14,24.082,ATL,NOR,False,3,2,45,22.50,0,66.7%,15.00,0,0,,0,0,0,,0,2,2,1.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,25,29,Harry Douglas
2008,2008-12-14,14,15,24.089,ATL,TAM,False,1,0,0,,0,0.0%,0.00,1,11,11.00,0,0,0,,0,4,37,9.25,0,,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Harry Douglas
2008,2008-12-21,15,16,24.096,ATL,MIN,False,2,1,4,4.00,0,50.0%,2.00,1,4,4.00,0,0,0,,0,1,4,4.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,17,Harry Douglas
2008,2008-12-28,16,17,24.103,ATL,STL,False,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,2,3,1.50,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,27,Harry Douglas
2010,2010-09-12,1,1,25.361,ATL,PIT,True,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,9,15,Harry Douglas
2010,2010-09-19,2,2,26.003,ATL,ARI,False,8,2,31,15.50,0,25.0%,3.88,1,-5,-5.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,41,7,Harry Douglas
2010,2010-09-26,3,3,26.010,ATL,NOR,True,5,1,1,1.00,0,20.0%,0.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,24,Harry Douglas
2010,2010-10-03,4,4,26.017,ATL,SFO,True,8,3,59,19.67,1,37.5%,7.38,0,0,,0,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,16,14,Harry Douglas
2010,2010-10-10,5,5,26.024,ATL,CLE,False,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,20,10,Harry Douglas
2010,2010-10-17,6,6,26.031,ATL,PHI,False,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,31,Harry Douglas
