Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1998,1998-09-06,1,1,22.182,PIT,BAL,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,20,13,Hines Ward
1998,1998-09-13,2,2,22.189,PIT,CHI,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,False,True,17,12,Hines Ward
1998,1998-09-20,3,3,22.196,PIT,MIA,False,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,0,21,Hines Ward
1998,1998-09-27,4,4,22.203,PIT,SEA,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,False,True,13,10,Hines Ward
1998,1998-10-11,5,6,22.217,PIT,CIN,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,True,False,20,25,Hines Ward
1998,1998-10-26,7,8,22.232,PIT,KAN,False,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,20,13,Hines Ward
1998,1998-11-01,8,9,22.238,PIT,TEN,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,False,False,31,41,Hines Ward
1998,1998-11-09,9,10,22.246,PIT,GNB,False,2,2,56,28.00,0,100.0%,28.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,27,20,Hines Ward
1998,1998-11-15,10,11,22.252,PIT,TEN,False,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,14,23,Hines Ward
1998,1998-11-22,11,12,22.259,PIT,JAX,False,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,30,15,Hines Ward
1998,1998-11-26,12,13,22.263,PIT,DET,False,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,16,19,Hines Ward
1998,1998-12-06,13,14,22.273,PIT,NWE,False,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,9,23,Hines Ward
1998,1998-12-13,14,15,22.280,PIT,TAM,False,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,3,16,Hines Ward
1998,1998-12-20,15,16,22.287,PIT,CIN,False,4,1,17,17.00,0,25.0%,4.25,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,24,25,Hines Ward
1998,1998-12-28,16,17,22.295,PIT,JAX,False,5,1,24,24.00,0,20.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,3,21,Hines Ward
1999,1999-09-12,1,1,23.188,PIT,CLE,True,4,3,51,17.00,1,75.0%,12.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,,0,,0,0,0,0,True,True,43,0,Hines Ward
1999,1999-09-19,2,2,23.195,PIT,BAL,True,5,2,31,15.50,0,40.0%,6.20,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,True,True,23,20,Hines Ward
1999,1999-09-26,3,3,23.202,PIT,SEA,True,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,False,False,10,29,Hines Ward
1999,1999-10-03,4,4,23.209,PIT,JAX,True,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,3,17,Hines Ward
1999,1999-10-10,5,5,23.216,PIT,BUF,True,6,6,67,11.17,1,100.0%,11.17,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,True,False,21,24,Hines Ward
1999,1999-10-17,6,6,23.223,PIT,CIN,True,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,17,3,Hines Ward
1999,1999-10-25,7,7,23.231,PIT,ATL,True,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,13,9,Hines Ward
1999,1999-11-07,8,9,23.244,PIT,SFO,True,4,4,31,7.75,1,100.0%,7.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,27,6,Hines Ward
1999,1999-11-14,9,10,23.251,PIT,CLE,True,9,4,39,9.75,0,44.4%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,False,15,16,Hines Ward
1999,1999-11-21,10,11,23.258,PIT,TEN,True,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,True,False,10,16,Hines Ward
1999,1999-11-28,11,12,23.265,PIT,CIN,False,11,7,89,12.71,1,63.6%,8.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,,0,,0,0,0,0,False,False,20,27,Hines Ward
1999,1999-12-02,12,13,23.269,PIT,JAX,True,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,6,20,Hines Ward
1999,1999-12-12,13,14,23.279,PIT,BAL,True,5,3,43,14.33,1,60.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,False,False,24,31,Hines Ward
1999,1999-12-18,14,15,23.285,PIT,KAN,False,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,1,0,0,0,0,0,True,False,19,35,Hines Ward
1999,1999-12-26,15,16,23.293,PIT,CAR,True,8,5,40,8.00,1,62.5%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,False,True,30,20,Hines Ward
